row_order,section,move_type,move_id,input,name,damage,startup,active,recovery,total,hit_advantage,block_advantage,guard,cancel,hitconfirm,chip,damage_scaling,punish_advantage,perfect_parry_advantage,drive_rush_cancel_on_hit,drive_rush_cancel_on_block,after_drive_rush_on_hit,after_drive_rush_on_block,hitstun,blockstun,hitstop,drive_damage_block,drive_damage_hit,drive_gain,super_gain_hit,super_gain_block,invuln,armor,airborne,attack_range,range_notes,juggle_start,juggle_increase,juggle_limit,projectile_speed,pushback_hit,pushback_block,images,hitboxes,notes
1,Normals and Target Combos,ground_normal,rashid_5lp,5LP,Standing Light Punch,300,4,2,9,14,+4,-1,LH,Chn Sp SA,12,,20% Starter,+8,-9,+5,0,+8,+3,15,10,9,500,[2000],250,300 (210),150 (75),,,,1.11,,1,1,0,,0.405,0.418,SF6_Rashid_5lp.png,SF6_Rashid_5lp_hitbox.png,Chains into 5LP/2LP/2LK
2,Normals and Target Combos,ground_normal,rashid_5mp,5MP,Standing Medium Punch,600,6,3,14,22,+5,+1,LH,TC Sp SA,15,,,+9,-15,+12,+8,+9,+5,22,18,11,3000,[4000],1500,500 (350),250 (125),,,,1.132,,1,1,0,,,,SF6_Rashid_5mp.png,SF6_Rashid_5mp_hitbox.png,Useful for starting combos and block pressure; has a Target Combo follow-up that can be canceled into 236LP for safety on block or into higher damage routes on hit
3,Normals and Target Combos,ground_normal,rashid_5hp,5HP,Standing Heavy Punch,800,9,3,21,32,+1,-4,LH,Sp SA,17,,,+5,-22,+14,+9,+5,0,25,20,13,5000,[8000],2000,1000 (700),500 (250),,,,1.449,,1,1,0,,,,SF6_Rashid_5hp.png,SF6_Rashid_5hp_hitbox.png,Decent mid-range button with a strong hitbox for counterpoking; can combo to 214HK after Drive Rush or Punish Counter; special/DR cancel is delayed until after 2nd active frame
4,Normals and Target Combos,ground_normal,rashid_5lk,5LK,Standing Light Kick,300,4,3,10,16,+3,-1,LH,Sp SA,13,,20% Starter,+7,-11,+4,0,+7,+3,16,12,9,500,[2000],250,300 (210),150 (75),,,,1.01,,1,1,0,,0.266,0.271,SF6_Rashid_5lk.png,SF6_Rashid_5lk_hitbox.png,Highest hitstun light normal makes it useful for special cancels (the only light normal that can combo into 214LK naturally); DR cancel is delayed until after active frames
5,Normals and Target Combos,ground_normal,rashid_5mk,5MK,Standing Medium Kick,600,8,3,17(19),27(29),+6,-3,LH,-,,,,+10,-18,,,+10,+1,26,17,11,4000,[6000],2000,700 (490),350 (175),,,,1.578,,1,1,0,,,,SF6_Rashid_5mk.png,SF6_Rashid_5mk_hitbox.png,Combo starter that links into 5MP or into itself on counter-hit; 2 extra recovery frames on whiff
6,Normals and Target Combos,ground_normal,rashid_5hk,5HK,Standing Heavy Kick,800,13,8,18,38,-1,-5,LH,-,,,,KD +49 Launch,-24,,,+3,-1,25,21,13,6000,[10000],4000,1000 (700),500 (250),,,,1.964,,2 air [3 PC Ground],2,1,,,,SF6_Rashid_5hk.png,"SF6_Rashid_5hk_hitbox_preview.png, SF6_Rashid_5hk_hitbox_1.png, SF6_Rashid_5hk_hitbox_2.png, SF6_Rashid_5hk_hitbox_3.png","Puts airborne opponents into limited juggle state; Punish Counter launches grounded opponents into limited juggle state and causes airborne opponents to fall closer to Rashid; decent anti-air hitbox, but very slow and cannot hit cross-up; high pushback on hit and block; forces stand on hit; final 2 active frames whiff on crouching opponents unless they extend a vertical hurtbox; has an extended hurtbox 1f before active that is vulnerable to projectiles"
7,Normals and Target Combos,ground_normal,rashid_2lp,2LP,Crouching Light Punch,300,5,3,7,14,+5,-1,LH,Chn Sp SA,13,,20% Starter,+9,-8,+4,-2,+9,+3,15,9,9,500,[2000],250,300 (210),150 (75),,,,1.02,"Less range than 5LP (4f startup), but links to 5HP on Punish Counter",1,1,0,,,,SF6_Rashid_2lp.png,SF6_Rashid_2lp_hitbox.png,Chains into 5LP/2LP/2LK; DR cancel is delayed until after 2nd active frame; topmost hurtbox on frames 1-7 is vulnerable only to aerial strikes (preventing its use as an anti-air)
8,Normals and Target Combos,ground_normal,rashid_2mp,2MP,Crouching Medium Punch,600,6,4,13,22,+4,+1,LH,Sp SA,16,,,+8,-15,+11,+8,+8,+5,21,18,11,3000,[4000],1500,500 (350),250 (125),,,,1.168 (0.877),,1,1,0,,,,SF6_Rashid_2mp.png,"SF6_Rashid_2mp_hitbox_preview.png, SF6_Rashid_2mp_hitbox_1.png, SF6_Rashid_2mp_hitbox_2.png",Combo and pressure tool with many active frames for easy oki; can anti-air on frames 7-9 but cannot hit opponents behind Rashid; whiffs on crouching opponents at longer ranges unless they extend a vertical hurtbox
9,Normals and Target Combos,ground_normal,rashid_2hp,2HP,Crouching Heavy Punch,900,12,3,21(23),35(37),+5,-6,LH,SA,17 (SA),,20% Starter,+9,-22,,,+9,-2,29,18,13,5000,[8000],2500,1000 (700),500 (250),,,,1.748 (1.663),,1,1,0,,,,SF6_Rashid_2hp.png,SF6_Rashid_2hp_hitbox.png,"Decent poke that can be buffered into supers; good close range Punish Counter starter (combos into 5HP), but high pushback makes it less reliable at longer ranges; 2 extra recovery frames on whiff; topmost hurtboxes on frames 8-14 are projectile invincible (avoids Sagat's MP/HP Tiger Shot)"
10,Normals and Target Combos,ground_normal,rashid_2lk,2LK,Crouching Light Kick,200,5,3,8,15,+3,-1,L,Chn,,,20% Starter,+7,-9,,,+7,+3,14,10,9,500,[2000],250,300 (210),150 (75),,,,1.10,,1,1,0,,,,SF6_Rashid_2lk.png,SF6_Rashid_2lk_hitbox.png,Chains into 5LP/2LP/2LK
11,Normals and Target Combos,ground_normal,rashid_2mk,2MK,Crouching Medium Kick,500,7,3,18,27,-1,-5,L,Sp SA,13,,20% Starter,+3,-19,+8,+4,+3,-1,20,16,9,2000,[4000],1000,600 (420),300 (150),,,,1.405,,1,1,0,,,,SF6_Rashid_2mk.png,SF6_Rashid_2mk_hitbox.png,Standard cancelable low poke; Range: 1.405; DR cancel is delayed until after active frames
12,Normals and Target Combos,ground_normal,rashid_2hk,2HK,Cyclone Slicer,900,9,3,24(28),35(39),KD +31,-11,L,-,,,,HKD +47,-27,,,KD +31,-7,,18,13,4000,[10000],3000,1000 (700),500 (250),,,,1.711,,1,1,4,,,,SF6_Rashid_2hk.png,SF6_Rashid_2hk_hitbox.png,Can be juggled into even without Drive Rush; 4f extra recovery on block; disadvantage on block is fixed regardless of which active frame connects (cannot make it safer when meaty)
13,Normals and Target Combos,air_normal,rashid_jlp,j.LP,Jumping Light Punch,300,4,5,3 land,-,+8(+9),+4(+5),H,-,,,,+12(+13),-3(-2),,,,,13,9,9,1500,[2000],500,300 (210),150 (75),,,,0.85,,1,1,0,,,,SF6_Rashid_jlp.png,SF6_Rashid_jlp_hitbox.png,Quick air-to-air
14,Normals and Target Combos,air_normal,rashid_jmp,j.MP,Jumping Medium Punch,600,9,5,3 land,-,+9(+11),+5(+7),H,Sp,,,,+13(+15),-4(-2),,,,,15,11,11,3000,[4000],1000,500 (350),250 (125),,,,0.93,,1 air,10,5,,,,SF6_Rashid_jmp.png,SF6_Rashid_jmp_hitbox.png,"Puts airborne opponents into limited juggle state; cancels into j.214K from forward jumps; lower body projectile invuln 9-22f (if used immediately on the way up, can avoid the 2nd hit of JP's OD Amnesia bombs)"
15,Normals and Target Combos,air_normal,rashid_jhp,j.HP,Jumping Heavy Punch,400x2,8,4(2)3,3 land,-,+11(+15),+7(+11),"H,H",-,,,,+15(+19),-6(-2),,,,,"19,19","15,15","10,10",2000x2,[2500x2],1000x2,500x2 (350x2),250x2 (125x2),,,,1.07 (0.94),,1 air,0,"0,1",,,,SF6_Rashid_jhp.png,"SF6_Rashid_jhp_hitbox_preview.png, SF6_Rashid_jhp_hitbox_1.png, SF6_Rashid_jhp_hitbox_2.png","1st hit puts airborne opponents into limited juggle state, 2nd hit causes spike knockdown; if 1st hit is stand blocked, the 2nd hit will not hit overhead against crouch block; lower body projectile invuln 8-23f except around attack hitbox (cannot be used to avoid the 2nd hit of JP's OD Amnesia bombs)"
16,Normals and Target Combos,air_normal,rashid_jlk,j.LK,Jumping Light Kick,300,5,5,3 land,-,+7(+9),+3(+5),H,-,,,,+11(+13),-4(-2),,,,,13,9,9,1500,[2000],500,300 (210),150 (75),,,,1.17,,1,1,0,,,,SF6_Rashid_jlk.png,SF6_Rashid_jlk_hitbox.png,Longest horizontal range of Rashid's jump normals
17,Normals and Target Combos,air_normal,rashid_jmk,j.MK,Jumping Medium Kick,500,7,6,3 land,-,+7(+13),+3(+9),H,-,,,,+11(+17),-8(-2),,,,,17,13,11,2500,[4000],1000,500 (350),250 (125),,,,0.72,,1,1,0,,,,SF6_Rashid_jmk.png,SF6_Rashid_jmk_hitbox.png,"Cross-up; lower body projectile invuln 7-20f (if used immediately on the way up, can avoid the 2nd hit of JP's OD Amnesia bombs)"
18,Normals and Target Combos,air_normal,rashid_jhk,j.HK,Jumping Heavy Kick,800,10,5,3 land,-,+8(+15),+4(+11),H,-,,,,+12(+19),-9(-2),,,,,19,15,13,4000,[5000],2000,1000 (700),500 (250),,,,1.02,,1,0,0,,,,SF6_Rashid_jhk.png,SF6_Rashid_jhk_hitbox.png,"When used after j.214K or 214P~4K, causes a spike knockdown vs. airborne opponents; lower body projectile invuln 10-19f except around attack hitbox (cannot be used to avoid the 2nd hit of JP's OD Amnesia bombs)"
19,Specials,special,rashid_walljump,9 (against wall),Wall Jump,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,Until Land (FKD),,,,,,,,,SF6_Rashid_walljump.png,SF6_Rashid_walljump_hitbox.png,"Counter-hit state during entire duration; can be done from Back or Neutral jump if fully against the wall, or after Forward Jump against a cornered opponent; cannot be performed after j.2HP or j.214K"
20,Normals and Target Combos,ground_normal,rashid_6mp,6MP,Flapping Spin,300x2,8(24),2(14)2,18,43,+1,-3,LH,Sp SA (1st),11,,,+5,-18,+13,+7,+5,+1,"23,21 (37)","17,17 (33)","8,8",1500x2,[2500x2],750x2,250x2 (175x2),125x2 (62x2),,,,2.436 (1.461),,1 air (1st),"1,1","4,4",,,,"SF6_Rashid_6mp.png, SF6_Rashid_6mp2.png","SF6_Rashid_6mp_hitbox_preview.png, SF6_Rashid_6mp_hitbox_1.png, SF6_Rashid_6mp_hitbox_2.png",() refers to startup of 2nd hit; 1st hit puts airborne opponents into limited juggle state (or maintains juggle state when used mid-combo); 2nd hit causes air reset; counter-hit/Punish Counter bonus advantage applies to both hits; decent range for whiff punishing; can be affected by Air Current on frames 3-10 (travels fullscreen)
21,Normals and Target Combos,ground_normal,rashid_6hp,6HP,Beak Assault,800,22,3,21,45,+3,-3,H,-,,,,+7,-22,,,+7,+1,27,21,13,5000,[5000],2000,1000 (700),500 (250),,,,1.863 (1.817),,1,1,0,,,,SF6_Rashid_6hp.png,SF6_Rashid_6hp_hitbox.png,Long-ranged overhead that can lead to combos if well-spaced; not actually airborne despite the animation; can be affected by Air Current on frames 4-25 (travels nearly fullscreen)
22,Normals and Target Combos,ground_normal,rashid_6hk,6HK,Crescent Kick,900,16,4,20(23),39(42),+2(+5),-3(0),LH,-,,,20% Starter,+6(+9),-22(-19),,,+6(+9),+1(+4),26,21,13,6000,[10000],3000,1000 (700),500 (250),7-19 Lower Body,,,1.892 (1.805),,1,1,1,,,,SF6_Rashid_6hk.png,"SF6_Rashid_6hk_hitbox_preview.png, SF6_Rashid_6hk_hitbox_1.png, SF6_Rashid_6hk_hitbox_2.png","3f extra recovery on whiff; useful for hopping over low pokes and comboing into MP normals on Punish Counter, but not actually airborne; good option out of Drive Rush; can be spaced to hit on later active frames for better advantage; can be affected by Air Current on frames 6-19 (travels fullscreen)"
23,Normals and Target Combos,air_normal,rashid_j2hp,j.2HP,Blitz Strike,850,10,5,3 land,-,-9(-1),-29(-21),H,Sp,14,,15% Starter,-5(+3),-44(-36),,,,,37,17,12,4000,[5000],2000,1000 (700),500 (250),,,Until Land (FKD after bounce),0.63,,1 air,1(0),12(16),,,,SF6_Rashid_j2hp.png,SF6_Rashid_j2hp_hitbox.png,"Can be performed during forward jump or after j.214K; causes spike knockdown and OTG juggle state vs. airborne opponents; cancelable into j.214K; bounces off opponent on hit/block/parry, allowing Rashid to follow up with another airborne move (except another j.2HP) on frames 12-23; if Rashid hits airborne opponent 1f before landing, he lands immediately rather than bouncing; listed frame advantage assumes a grounded opponent and no follow-up air attack; juggle data in () refers to version after j.214K; lower body projectile invuln 10-19f except around attack hitbox"
24,Normals and Target Combos,air_normal,rashid_j8hk,j.8HK,Aerial Shot,800,8,5,3 land,-,+12(+15),+8(+11),H,-,,,,+16(+19),-5(-2),,,,,19,15,13,4000,[5000],2000,1000 (700),500 (250),,,,1.02,,1 air,0,0,,,,SF6_Rashid_j8hk.png,"SF6_Rashid_j8hk_hitbox_preview.png, SF6_Rashid_j8hk_hitbox_1.png, SF6_Rashid_j8hk_hitbox_2.png","During neutral jump only; puts airborne opponents into limited juggle state, making it a useful air-to-air; lower body projectile invuln 8-19f (if used immediately on the way up, can avoid the 2nd hit of JP's OD Amnesia bombs)"
