row_order,section,move_type,move_id,input,name,damage,startup,active,recovery,total,hit_advantage,block_advantage,guard,cancel,hitconfirm,chip,damage_scaling,punish_advantage,perfect_parry_advantage,drive_rush_cancel_on_hit,drive_rush_cancel_on_block,after_drive_rush_on_hit,after_drive_rush_on_block,hitstun,blockstun,hitstop,drive_damage_block,drive_damage_hit,drive_gain,super_gain_hit,super_gain_block,invuln,armor,airborne,attack_range,range_notes,juggle_start,juggle_increase,juggle_limit,projectile_speed,pushback_hit,pushback_block,images,hitboxes,notes
1,Normals and Target Combos,ground_normal,terry_5lp,5LP,Standing Light Punch,300,4,3,7,13,+4,-1,LH,Chn Sp SA,13,,20% Starter,+8,-8,+4,-1,+8,+3,14,9,9,500,[2000],250,300 (210),150 (75),,,,1.01,,1,1,0,,0.289,0.333,SF6_Terry_5lp.png,SF6_Terry_5lp_hitbox.png,"Chains into 5LP/2LP/2LK; faster chain timing than 2LP (better vs. DI); more range than 2LP, but less hitstun (cannot combo naturally into 236LP, 214MP, or 236LK)"
2,Normals and Target Combos,ground_normal,terry_5mp,5MP,Standing Medium Punch,700,7,3,16,25,+2,-3,LH,Sp SA TC,15 / 17 TC,,,+6,-17,+11,+6,+6,+3,21,16,11,3000,[4000],1500,500 (350),250 (125),,,,1.297,,1,1,0,,,,SF6_Terry_5mp.png,SF6_Terry_5mp_hitbox.png,Moves Terry slightly forward; cancelable into 3 different Target Combo routes; good against opponents in Burnout due to its low pushback
3,Normals and Target Combos,ground_normal,terry_5hp,5HP,Standing Heavy Punch,400x2,9,"1,3",18(16),30(28),+2,+1,"LH,LH",Sp SA,27(17),,,+6,-20,+17/+13,+11/+10,+6,+5,"27,23 (24 total)","21,20 (21 total)","12,10 / 13 (2nd only)","2000,3000",[4000x2],1000x2,500x2 (350x2),250x2 (125x2),,,,1.245 (0.983),,1,1,0,,,,SF6_Terry_5hp.png,"SF6_Terry_5hp_hitbox_preview.png, SF6_Terry_5hp_hitbox_1.png, SF6_Terry_5hp_hitbox_2.png","2 hits; 2f less recovery on block; both hits are cancelable, making it easy to hitconfirm; 1st hit has more hitstun, allowing combos into 236HK; Counter-hit/Punish Counter advantage carries through both hits; short range but good hitbox priority for counterpoking; 1st hit has much less range (only 2nd hit will connect as a ranged poke); when used out of Drive Rush on block, Terry is left slightly out of throw range but can microwalk + throw to beat 4f light normals"
4,Normals and Target Combos,ground_normal,terry_5lk,5LK,Standing Light Kick,300,5,2,12,18,+2,-2,LH,Sp SA,12 (DR: 13),,20% Starter,+6,-12,+4,0,+6,+2,16,12,9,500,[2000],250,300 (210),150 (75),,,,1.19,,1,1,0,,,,SF6_Terry_5lk.png,SF6_Terry_5lk_hitbox.png,Terry's longest range light normal for 5f punishes (but below average for a 5LK); useful in LK Power Charge loops when spaced; DR cancel is delayed until after 1st recovery frame
5,Normals and Target Combos,ground_normal,terry_5mk,5MK,Standing Medium Kick,700,9,3,18,29,+5,-2,LH,-,,,,+9,-19,,,+9,+2,26,19,11,4000,[6000],2000,700 (490),350 (175),,,,1.542,,1,1,0,,,,SF6_Terry_5mk.png,SF6_Terry_5mk_hitbox.png,Terry's main mid-range poke that can also link to 5LK at closer ranges; can easily link to SA1 on Counter-hit; front leg hurtbox is raised on frames 3-20 making it strong against low pokes
6,Normals and Target Combos,ground_normal,terry_5hk,5HK,Standing Heavy Kick,900,12,4,21,36,+1,-4,LH,-,,,,KD +59 Crumple,-23,,,+5,0,26,21,13,6000,[8000],3000,1000 (700),500 (250),,,,1.802 (1.774),,1 [-1 PC],1,0,,,,SF6_Terry_5hk.png,"SF6_Terry_5hk_hitbox_preview.png, SF6_Terry_5hk_hitbox_1.png, SF6_Terry_5hk_hitbox_2.png",Solid poke for chipping the opponent's Drive gauge with its good range and hitbox priority; Punish Counter puts grounded opponents into a free juggle crumple state (+18 before opponent is knocked down); Punish Counter puts airborne opponents into limited juggle state; extends a hurtbox 1f before active that is vulnerable to projectiles; decent anti-air on frames 14-15 (strict timing to use effectively)
7,Normals and Target Combos,ground_normal,terry_2lp,2LP,Crouching Light Punch,300,4,3,8,14,+4,-1,LH,Chn Sp SA,13,,20% Starter,+8,-9,+5,0,+8,+3,15,10,9,500,[2000],250,300 (210),150 (75),,,,0.91,,1,1,0,,0.299,0.330,SF6_Terry_2lp.png,SF6_Terry_2lp_hitbox.png,"Chains into 5LP/2LP/2LK; shortest range of Terry's light normals, but naturally combos into 236LP, 214MP, and 236LK; topmost hurtbox on frames 1-6 is vulnerable only to aerial strikes (preventing its use as an anti-air)"
8,Normals and Target Combos,ground_normal,terry_2mp,2MP,Crouching Medium Punch,600,6,4,13(14/15),22(23/24),+5,-1,LH,Sp SA,16,,,+9,-16,+12,+7,+9,+3,22,17,11,3000,[4000],1500,600 (420),250 (125),,,,1.16,,1,1,0,,,,SF6_Terry_2mp.png,SF6_Terry_2mp_hitbox.png,"2f extra recovery on whiff; 1f extra recovery on block; great poke, counterpoke, meaty, and combo tool that can be up to +3 on block; topmost hurtbox on frames 1-9 is vulnerable only to aerial strikes (preventing its use as an anti-air)"
9,Normals and Target Combos,ground_normal,terry_2hp,2HP,Crouching Heavy Punch,800,8,6(4),22(20),35(31),+1,-4,LH,Sp SA,18,,,+5,-22,+15,+10,+5,0,25,20,13,5000,[8000],2000,1000 (700),500 (250),,,,0.79 (0.78),,1,1,0,,,,SF6_Terry_2hp.png,"SF6_Terry_2hp_hitbox_preview.png, SF6_Terry_2hp_hitbox_1.png, SF6_Terry_2hp_hitbox_2.png, SF6_Terry_2hp_hitbox_3.png","Forces stand; good anti-air on frames 10-13 but cannot hit cross-up; very short horizontal range; only first 2 active frames are cancelable; if the attack connects on the first 2 active frames, it has 2 fewer active and recovery frames (meaty timing can be up to 2f worse on hit/block if 3rd active frame connects); active frames 4-6 whiff on crouching opponents unless they extend a vertical hurtbox; delaying the cancel into 236PP can grant better frame advantage for combo extensions"
10,Normals and Target Combos,ground_normal,terry_2lk,2LK,Crouching Light Kick,200,5,2,11,17,+3,-2,L,Chn,,,20% Starter,+7,-11,,,+7,+2,16,11,9,500,[2000],250,300 (210),150 (75),,,,1.10,,1,1,0,,,,SF6_Terry_2lk.png,SF6_Terry_2lk_hitbox.png,"Chains into 5LP/2LP/2LK; good range, hitbox priority, and low pushback for a 2LK make it a great combo/blockstring starter or Drive Rush starter that can link into 2MP/5MP on hit"
