row_order,section,move_type,move_id,input,name,damage,startup,active,recovery,total,hit_advantage,block_advantage,guard,cancel,hitconfirm,chip,damage_scaling,punish_advantage,perfect_parry_advantage,drive_rush_cancel_on_hit,drive_rush_cancel_on_block,after_drive_rush_on_hit,after_drive_rush_on_block,hitstun,blockstun,hitstop,drive_damage_block,drive_damage_hit,drive_gain,super_gain_hit,super_gain_block,invuln,armor,airborne,attack_range,range_notes,juggle_start,juggle_increase,juggle_limit,projectile_speed,pushback_hit,pushback_block,images,hitboxes,notes
1,Normals and Target Combos,ground_normal,zangief_5lp,5LP,Standing Light Punch,400,7(4),3,9,18,+4,+2,LH,Chn Sp SA,13,,20% Starter,+8,-10,+6,+4,+8,+6,16,14,9,500,[2000],250,300 (210),150 (75),,,,1.56 (1.51),,1,1,0,,,,SF6_Zangief_5lp.png,"SF6_Zangief_5lp_hitbox.png, SF6_Zangief_5lp_hitbox_2.png",Chains into 5LP/2LP/2LK with no gap on blockstring; 4f startup when chained into; sets up a true mixup on block between strike and command throw
2,Normals and Target Combos,ground_normal,zangief_5mp,5MP,Standing Medium Punch,700,9,4,17,29,+2,-2,LH,TC,28,,,+6,-19,,,+6,+2,23,19,11,5000,[6000],2500,700 (490),350 (175),,,,1.66,,1,1,0,,,,SF6_Zangief_5mp.png,SF6_Zangief_5mp_hitbox.png,"Great poke due to its range and hitbox; TC follow-up is extremely lenient, but only works after counter-hit, Punish Counter, or Drive Rush; can perform TC follow-up on whiff; 6f blockstring gap when canceling to 5MP~MP"
3,Normals and Target Combos,ground_normal,zangief_5hp,5HP,Standing Heavy Punch,1000,(6~22)+10,3,22(24),40(42),+3,-3,LH,-,,,,KD +32,-23,,,+7,+1,28,22,13,6000,[8000],3500,1000 (700),500 (250),,4-release (Upper Body),,2.186 (2.136),,1 air,1,0,,,,SF6_Zangief_5hp.png,"SF6_Zangief_5hp_hitbox.png, SF6_Zangief_5hp_hitbox_2.png, SF6_Zangief_5hp_hitbox_3.png",Button can be held up to 22f for armored partial charge (armor loses to hitboxes that connect on Zangief's lower body); 10f startup after button release (total startup 16-32f); 2 extra recovery frames on whiff; counter-hit also gives KD +32; puts airborne opponents into limited juggle state
4,Normals and Target Combos,ground_normal,zangief_5hp_hold,5[HP],Standing Heavy Punch (hold),1400,32,3,22(24),56(58),KD +40,+3,LH,-,,,,HKD +54,-23,,,KD +40,+7,,28,13,10000,[13000],6000,1000 (700),500 (250),,4-34 (Upper Body),,2.446 (2.396),,1,1,0,,,,SF6_Zangief_5hp_hold.png,"SF6_Zangief_5hp_hold_hitbox.png, SF6_Zangief_5hp_hold_hitbox_2.png, SF6_Zangief_5hp_hold_hitbox_3.png, SF6_Zangief_5hp_hold_hitbox_4.png",Armor loses to hitboxes that connect on Zangief's lower body; button must be held 23f for full charge; 2 extra recovery frames on whiff; Counter-hit gives HKD +40; Punish Counter causes opponent to slide far along the ground
5,Normals and Target Combos,ground_normal,zangief_5lk,5LK,Standing Light Kick,400,7,2,17,25,-2,-4,LH,Sp SA,13,,20% Starter,+2,-17,+7,+5,+2,0,17,15,9,500,[2000],250,300 (210),150 (75),,,,1.668 (1.657),,1,1,0,,,,SF6_Zangief_5lk.png,SF6_Zangief_5lk_hitbox.png,Very long range for a light normal (slightly longer than 5MP)
6,Normals and Target Combos,ground_normal,zangief_5mk,5MK,Standing Medium Kick,900,10,4,19,32,+1,-4,LH,-,,,,+5,-21,,,+5,0,24,19,11,6000,[8000],3000,900 (630),450 (225),,,,1.778,,1,1,0,,,,SF6_Zangief_5mk.png,SF6_Zangief_5mk_hitbox.png,Strong poke due to its range and hitbox priority
7,Normals and Target Combos,ground_normal,zangief_5hk,5HK,Standing Heavy Kick,1000,13,4,21,37,+3,+1,LH,-,,,,KD +51 Spin,-23,,,+7,+5,28,26,13,7000,[11000],4000,1000 (700),500 (250),13-22 Air (Leg),,,1.892,,1 air [0 PC Ground/Air],1,0,,,,SF6_Zangief_5hk.png,SF6_Zangief_5hk_hitbox.png,Cannot hit crouching opponents; puts airborne opponents into limited juggle state; Punish Counter puts grounded/airborne opponents into free juggle state; extends a hurtbox 1f before active that is vulnerable to projectiles; good anti-air but slow to startup
8,Normals and Target Combos,ground_normal,zangief_2lp,2LP,Crouching Light Punch,300,6(3),2,8,15,+6,+1,LH,Chn Sp SA,12,,20% Starter,+10,-8,+6,+1,+10,+5,16,11,9,500,[2000],250,300 (210),150 (75),,,,1.52,,1,1,0,,,,SF6_Zangief_2lp.png,SF6_Zangief_2lp_hitbox.png,Chains into 5LP/2LP/2LK with no blockstring gap into 2LP/2LK; 3f startup when chained into; topmost hurtbox on frames 1-7 is vulnerable only to aerial strikes (preventing its use as an anti-air)
9,Normals and Target Combos,ground_normal,zangief_2mp,2MP,Crouching Medium Punch,700,8,3,16,26,+3,-1,LH,Sp SA,15,,,+7,-17,+12,+8,+7,+3,22,18,11,6000,[8000],3000,800 (560),400 (200),,,,1.49,,1,1,0,,,,SF6_Zangief_2mp.png,SF6_Zangief_2mp_hitbox.png,"Useful in combos due to its cancelability, especially into SA2; decent hitbox priority in neutral; topmost hurtbox is vulnerable only to aerial strikes on frames 1-7 (preventing its use as an anti-air), and is projectile invincible on frames 1-15 to avoid High Tiger Shot (frames 16-26 are still vulnerable)"
10,Normals and Target Combos,ground_normal,zangief_2hp,2HP,Crouching Heavy Punch,1000,11,9,35,54,KD +20,-20,LH,-,,,,KD +58,-42,,,KD +20,-16,,24,13,7000,[11000],4000,1000 (700),500 (250),10-19 Air (Head),,,1.68,,1 air [0 PC Ground/Air],0,0,,,,SF6_Zangief_2hp.png,"SF6_Zangief_2hp_hitbox.png, SF6_Zangief_2hp_hitbox_2.png, SF6_Zangief_2hp_hitbox_3.png, SF6_Zangief_2hp_hitbox_4.png, SF6_Zangief_2hp_hitbox_5.png, SF6_Zangief_2hp_hitbox_6.png","Active frames 4-8 cannot hit grounded opponents, but can anti-air cross-ups; useful anti-air with slow startup; puts airborne opponents into limited juggle state; Punish Counter puts grounded/airborne opponents into free juggle state, followed by OTG bounce which can be followed up with Drive Rush buttons midscreen or an auto-timed 3MP in the corner"
