category_order,category,row_order,move_name,input_raw_display,input_token_json,startup,active,recovery,on_hit,on_block,cancel,damage,combo_scaling,drive_gain_on_hit,drive_loss_on_block,drive_loss_on_punish_counter,sa_gain,attribute,notes
1,通常技,1,立ち弱P（ブレーンチョップ）,icon_punch_l 弱,"[{""type"": ""text"", ""value"": ""立ち弱P（ブレーンチョップ）""}, {""type"": ""image"", ""value"": ""icon_punch_l"", ""src"": ""/6/assets/images/common/controller/icon_punch_l.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch_l.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""弱""}, {""type"": ""separator"", ""value"": ""|""}]",7,7-9,9,4,2,C,400,始動補正20%,250,-500,-2000,300,上,連打キャンセル対応
1,通常技,2,[連打版]立ち弱P（ブレーンチョップ）,icon_punch_l 弱,"[{""type"": ""text"", ""value"": ""[連打版]立ち弱P（ブレーンチョップ）""}, {""type"": ""image"", ""value"": ""icon_punch_l"", ""src"": ""/6/assets/images/common/controller/icon_punch_l.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch_l.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""弱""}, {""type"": ""separator"", ""value"": ""|""}]",4,4-6,9,4,2,C,400,始動補正20%,250,-500,-2000,300,上,連打キャンセル対応
1,通常技,3,立ち弱K（ローキック）,icon_kick_l 弱,"[{""type"": ""text"", ""value"": ""立ち弱K（ローキック）""}, {""type"": ""image"", ""value"": ""icon_kick_l"", ""src"": ""/6/assets/images/common/controller/icon_kick_l.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_kick_l.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""弱""}, {""type"": ""separator"", ""value"": ""|""}]",7,7-8,17,-2,-4,C,400,始動補正20%,250,-500,-2000,300,上,
1,通常技,4,立ち中P（カウンターチョップ）,icon_punch_m 中,"[{""type"": ""text"", ""value"": ""立ち中P（カウンターチョップ）""}, {""type"": ""image"", ""value"": ""icon_punch_m"", ""src"": ""/6/assets/images/common/controller/icon_punch_m.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch_m.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""中""}, {""type"": ""separator"", ""value"": ""|""}]",9,9-12,17,2,-2,,700,,2500,-5000,-6000,700,上,
1,通常技,5,立ち中K（ミドルキック）,icon_kick_m 中,"[{""type"": ""text"", ""value"": ""立ち中K（ミドルキック）""}, {""type"": ""image"", ""value"": ""icon_kick_m"", ""src"": ""/6/assets/images/common/controller/icon_kick_m.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_kick_m.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""中""}, {""type"": ""separator"", ""value"": ""|""}]",10,10-13,19,1,-4,,900,,3000,-6000,-8000,900,上,
1,通常技,6,立ち強P（ダイナマイトパンチ）,icon_punch_h 強,"[{""type"": ""text"", ""value"": ""立ち強P（ダイナマイトパンチ）""}, {""type"": ""image"", ""value"": ""icon_punch_h"", ""src"": ""/6/assets/images/common/controller/icon_punch_h.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch_h.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""強""}, {""type"": ""separator"", ""value"": ""|""}]",16,16-18,22,3,-3,,1000,,3500,-6000,-8000,1000,上,カウンター/パニッシュカウンター時吹き飛びダウン 空振り時硬直2F増加 ボタンホールド時、4F～上半身アーマー判定（1回） 23F以上ホールドすると性能変化
1,通常技,7,立ち強P（ダイナマイトパンチ）（ホールド）,icon_punch_h 強ホールド,"[{""type"": ""text"", ""value"": ""立ち強P（ダイナマイトパンチ）（ホールド）""}, {""type"": ""image"", ""value"": ""icon_punch_h"", ""src"": ""/6/assets/images/common/controller/icon_punch_h.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch_h.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""強ホールド""}, {""type"": ""separator"", ""value"": ""|""}]",32,32-34,22,D,3,,1400,,6000,-10000,-13000,1400,上,4-34F 上半身アーマー判定（1回） パニッシュカウンター時吹き飛び時間増加 空振り時硬直2F増加
1,通常技,8,立ち強K（ロシアンハイキック）,icon_kick_h 強,"[{""type"": ""text"", ""value"": ""立ち強K（ロシアンハイキック）""}, {""type"": ""image"", ""value"": ""icon_kick_h"", ""src"": ""/6/assets/images/common/controller/icon_kick_h.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_kick_h.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""強""}, {""type"": ""separator"", ""value"": ""|""}]",13,13-16,21,3,1,,1000,,4000,-7000,-11000,1000,上,空中ヒット時吹き飛びダウン パニッシュカウンター時吹き飛びダウン&吹き飛び時間増加
1,通常技,9,しゃがみ弱P（ヘルフィンガー）,key-d key-plus icon_punch_l 弱,"[{""type"": ""text"", ""value"": ""しゃがみ弱P（ヘルフィンガー）""}, {""type"": ""image"", ""value"": ""key-d"", ""src"": ""/6/assets/images/common/controller/key-d.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-d.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""key-plus"", ""src"": ""/6/assets/images/common/controller/key-plus.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-plus.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""icon_punch_l"", ""src"": ""/6/assets/images/common/controller/icon_punch_l.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch_l.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""弱""}, {""type"": ""separator"", ""value"": ""|""}]",6,6-7,8,6,1,C,300,始動補正20%,250,-500,-2000,300,上,連打キャンセル対応
1,通常技,10,[連打版]しゃがみ弱P（ヘルフィンガー）,key-d key-plus icon_punch_l 弱,"[{""type"": ""text"", ""value"": ""[連打版]しゃがみ弱P（ヘルフィンガー）""}, {""type"": ""image"", ""value"": ""key-d"", ""src"": ""/6/assets/images/common/controller/key-d.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-d.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""key-plus"", ""src"": ""/6/assets/images/common/controller/key-plus.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-plus.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""icon_punch_l"", ""src"": ""/6/assets/images/common/controller/icon_punch_l.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch_l.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""弱""}, {""type"": ""separator"", ""value"": ""|""}]",3,3-4,8,6,1,C,300,始動補正20%,250,-500,-2000,300,上,連打キャンセル対応
1,通常技,11,しゃがみ弱K（ショートスタンプ）,key-d key-plus icon_kick_l 弱,"[{""type"": ""text"", ""value"": ""しゃがみ弱K（ショートスタンプ）""}, {""type"": ""image"", ""value"": ""key-d"", ""src"": ""/6/assets/images/common/controller/key-d.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-d.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""key-plus"", ""src"": ""/6/assets/images/common/controller/key-plus.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-plus.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""icon_kick_l"", ""src"": ""/6/assets/images/common/controller/icon_kick_l.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_kick_l.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""弱""}, {""type"": ""separator"", ""value"": ""|""}]",4,4-6,12,0,-3,,250,始動補正20%,250,-500,-2000,300,下,連打キャンセル対応
1,通常技,12,[連打版]しゃがみ弱K（ショートスタンプ）,key-d key-plus icon_kick_l 弱,"[{""type"": ""text"", ""value"": ""[連打版]しゃがみ弱K（ショートスタンプ）""}, {""type"": ""image"", ""value"": ""key-d"", ""src"": ""/6/assets/images/common/controller/key-d.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-d.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""key-plus"", ""src"": ""/6/assets/images/common/controller/key-plus.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-plus.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""icon_kick_l"", ""src"": ""/6/assets/images/common/controller/icon_kick_l.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_kick_l.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""弱""}, {""type"": ""separator"", ""value"": ""|""}]",3,3-5,12,0,-3,,250,始動補正20%,250,-500,-2000,300,下,連打キャンセル対応
1,通常技,13,しゃがみ中P（ロシアンフィスト）,key-d key-plus icon_punch_m 中,"[{""type"": ""text"", ""value"": ""しゃがみ中P（ロシアンフィスト）""}, {""type"": ""image"", ""value"": ""key-d"", ""src"": ""/6/assets/images/common/controller/key-d.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-d.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""key-plus"", ""src"": ""/6/assets/images/common/controller/key-plus.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-plus.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""icon_punch_m"", ""src"": ""/6/assets/images/common/controller/icon_punch_m.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch_m.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""中""}, {""type"": ""separator"", ""value"": ""|""}]",8,8-10,16,3,-1,C,700,,3000,-6000,-8000,800,上,
1,通常技,14,しゃがみ中K（ダイナマイトキック）,key-d key-plus icon_kick_m 中,"[{""type"": ""text"", ""value"": ""しゃがみ中K（ダイナマイトキック）""}, {""type"": ""image"", ""value"": ""key-d"", ""src"": ""/6/assets/images/common/controller/key-d.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-d.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""key-plus"", ""src"": ""/6/assets/images/common/controller/key-plus.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-plus.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""icon_kick_m"", ""src"": ""/6/assets/images/common/controller/icon_kick_m.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_kick_m.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""中""}, {""type"": ""separator"", ""value"": ""|""}]",9,9-11,18,3,-2,,700,始動補正20%,2500,-5000,-8000,700,下,
1,通常技,15,しゃがみ強P（ダイナマイトエルボ－）,key-d key-plus icon_punch_h 強,"[{""type"": ""text"", ""value"": ""しゃがみ強P（ダイナマイトエルボ－）""}, {""type"": ""image"", ""value"": ""key-d"", ""src"": ""/6/assets/images/common/controller/key-d.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-d.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""key-plus"", ""src"": ""/6/assets/images/common/controller/key-plus.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-plus.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""icon_punch_h"", ""src"": ""/6/assets/images/common/controller/icon_punch_h.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch_h.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""強""}, {""type"": ""separator"", ""value"": ""|""}]",11,11-19,35,D,-20,,1000,,4000,-7000,-11000,1000,上,パニッシュカウンター時吹き飛び時間増加、 パニッシュカウンター時床バウンド
1,通常技,16,しゃがみ強K（ビッグスタンプ）,key-d key-plus icon_kick_h 強,"[{""type"": ""text"", ""value"": ""しゃがみ強K（ビッグスタンプ）""}, {""type"": ""image"", ""value"": ""key-d"", ""src"": ""/6/assets/images/common/controller/key-d.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-d.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""key-plus"", ""src"": ""/6/assets/images/common/controller/key-plus.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/key-plus.png"", ""class_name"": """"}, {""type"": ""image"", ""value"": ""icon_kick_h"", ""src"": ""/6/assets/images/common/controller/icon_kick_h.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_kick_h.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""強""}, {""type"": ""separator"", ""value"": ""|""}]",12,12-14,27,D,-13,,1000,,3500,-4000,-10000,1000,下,パニッシュカウンター時ダウン時間増加、ハードノックダウン
1,通常技,17,ジャンプ弱P（ジャンピングフィンガー）,（ジャンプ中に） icon_punch_l 弱,"[{""type"": ""text"", ""value"": ""ジャンプ弱P（ジャンピングフィンガー）""}, {""type"": ""text"", ""value"": ""（ジャンプ中に）""}, {""type"": ""image"", ""value"": ""icon_punch_l"", ""src"": ""/6/assets/images/common/controller/icon_punch_l.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch_l.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""弱""}, {""type"": ""separator"", ""value"": ""|""}]",5,5-11,着地後3,,,,300,,500,-1500,-2000,300,中,
1,通常技,18,ジャンプ弱K（ダブルニードロップ）,（ジャンプ中に） icon_kick_l 弱,"[{""type"": ""text"", ""value"": ""ジャンプ弱K（ダブルニードロップ）""}, {""type"": ""text"", ""value"": ""（ジャンプ中に）""}, {""type"": ""image"", ""value"": ""icon_kick_l"", ""src"": ""/6/assets/images/common/controller/icon_kick_l.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_kick_l.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""弱""}, {""type"": ""separator"", ""value"": ""|""}]",5,5-14,着地後3,,,,300,,500,-1500,-2000,300,中,めくり性能
1,通常技,19,ジャンプ中P（ジャンピングフィスト）,（ジャンプ中に） icon_punch_m 中,"[{""type"": ""text"", ""value"": ""ジャンプ中P（ジャンピングフィスト）""}, {""type"": ""text"", ""value"": ""（ジャンプ中に）""}, {""type"": ""image"", ""value"": ""icon_punch_m"", ""src"": ""/6/assets/images/common/controller/icon_punch_m.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch_m.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""中""}, {""type"": ""separator"", ""value"": ""|""}]",8,8-12,着地後3,,,,700,,1000,-3000,-4000,500,中,
1,通常技,20,ジャンプ中K（ジャンピングロシアンスタンプ）,（ジャンプ中に） icon_kick_m 中,"[{""type"": ""text"", ""value"": ""ジャンプ中K（ジャンピングロシアンスタンプ）""}, {""type"": ""text"", ""value"": ""（ジャンプ中に）""}, {""type"": ""image"", ""value"": ""icon_kick_m"", ""src"": ""/6/assets/images/common/controller/icon_kick_m.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_kick_m.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""中""}, {""type"": ""separator"", ""value"": ""|""}]",8,8-15,着地後3,,,,500,,1000,-2500,-4000,500,中,
1,通常技,21,ジャンプ強P（ジャンピングロシアンチョップ）,（ジャンプ中に） icon_punch_h 強,"[{""type"": ""text"", ""value"": ""ジャンプ強P（ジャンピングロシアンチョップ）""}, {""type"": ""text"", ""value"": ""（ジャンプ中に）""}, {""type"": ""image"", ""value"": ""icon_punch_h"", ""src"": ""/6/assets/images/common/controller/icon_punch_h.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_punch_h.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""強""}, {""type"": ""separator"", ""value"": ""|""}]",9,9-14,着地後3,,,,800,,2000,-4000,-5000,1000,中,空中ヒット時叩きつけダウン
1,通常技,22,ジャンプ強K（ドロップキック）,（ジャンプ中に） icon_kick_h 強,"[{""type"": ""text"", ""value"": ""ジャンプ強K（ドロップキック）""}, {""type"": ""text"", ""value"": ""（ジャンプ中に）""}, {""type"": ""image"", ""value"": ""icon_kick_h"", ""src"": ""/6/assets/images/common/controller/icon_kick_h.png"", ""resolved_src"": ""https://www.streetfighter.com/6/assets/images/common/controller/icon_kick_h.png"", ""class_name"": """"}, {""type"": ""text"", ""value"": ""強""}, {""type"": ""separator"", ""value"": ""|""}]",10,10-16,着地後3,,,,800,,2000,-4000,-5000,1000,中,20F以上ホールドすると性能変化
