official_row_order,official_category,official_move_name,official_input_display,official_input_signature,official_input_family,startup,active,recovery,damage,on_hit,on_block,cancel,match_status,match_method,candidate_count,supercombo_move_id,supercombo_move_type,supercombo_input,supercombo_name,supercombo_startup,supercombo_active,supercombo_recovery,supercombo_hit_advantage,supercombo_block_advantage,supercombo_cancel,supercombo_damage,field_comparisons_json
1,通常技,立ち弱P （蛇突）,icon_punch_l 弱,5LP,5LP,5,5-6,7,300,4,-1,C,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,a.k.i._5lp,ground_normal,5LP,Standing Light Punch,5,2,7,+4,-1,Sp SA TC,300,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""2"", ""official_raw"": ""5-6"", ""supercombo"": ""2"", ""supercombo_raw"": ""2""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""300"", ""official_raw"": ""300"", ""supercombo"": ""300"", ""supercombo_raw"": ""300""}, ""recovery"": {""comparable"": true, ""match"": true, ""official"": ""7"", ""official_raw"": ""7"", ""supercombo"": ""7"", ""supercombo_raw"": ""7""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""5"", ""official_raw"": ""5"", ""supercombo"": ""5"", ""supercombo_raw"": ""5""}}"
2,通常技,立ち弱K （蛇咬脚）,icon_kick_l 弱,5LK,5LK,4,4-6,12,300,3,-3,C,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,a.k.i._5lk,ground_normal,5LK,Standing Light Kick,4,3,12,+3,-3,Sp SA,300,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""3"", ""official_raw"": ""4-6"", ""supercombo"": ""3"", ""supercombo_raw"": ""3""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""300"", ""official_raw"": ""300"", ""supercombo"": ""300"", ""supercombo_raw"": ""300""}, ""recovery"": {""comparable"": true, ""match"": true, ""official"": ""12"", ""official_raw"": ""12"", ""supercombo"": ""12"", ""supercombo_raw"": ""12""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""4"", ""official_raw"": ""4"", ""supercombo"": ""4"", ""supercombo_raw"": ""4""}}"
3,通常技,立ち中P （蛇咬手）,icon_punch_m 中,5MP,5MP,6,6-10,14,600,3,-3,C,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+damage_match,1,a.k.i._5mp,ground_normal,5MP,Standing Medium Punch,6,5,14(16),+3,-3,Sp SA,600,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""5"", ""official_raw"": ""6-10"", ""supercombo"": ""5"", ""supercombo_raw"": ""5""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""600"", ""official_raw"": ""600"", ""supercombo"": ""600"", ""supercombo_raw"": ""600""}, ""recovery"": {""comparable"": false, ""official"": ""14"", ""official_raw"": ""14"", ""reason"": ""condition_dependent_supercombo_field"", ""supercombo"": ""14"", ""supercombo_raw"": ""14(16)""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""6"", ""official_raw"": ""6"", ""supercombo"": ""6"", ""supercombo_raw"": ""6""}}"
4,通常技,立ち中K （蛇蝎蹴）,icon_kick_m 中,5MK,5MK,8,8-10,15,700,6,-2,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+damage_match,1,a.k.i._5mk,ground_normal,5MK,Standing Medium Kick,8,3,15(17),+6,-2,-,700,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""3"", ""official_raw"": ""8-10"", ""supercombo"": ""3"", ""supercombo_raw"": ""3""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""700"", ""official_raw"": ""700"", ""supercombo"": ""700"", ""supercombo_raw"": ""700""}, ""recovery"": {""comparable"": false, ""official"": ""15"", ""official_raw"": ""15"", ""reason"": ""condition_dependent_supercombo_field"", ""supercombo"": ""15"", ""supercombo_raw"": ""15(17)""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""8"", ""official_raw"": ""8"", ""supercombo"": ""8"", ""supercombo_raw"": ""8""}}"
5,通常技,立ち強P （蛇突牙）,icon_punch_h 強,5HP,5HP,12,12-14,21,800,1,-4,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,a.k.i._5hp,ground_normal,5HP,Standing Heavy Punch,12,3,21,+1,-4,TC,800,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""3"", ""official_raw"": ""12-14"", ""supercombo"": ""3"", ""supercombo_raw"": ""3""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""800"", ""official_raw"": ""800"", ""supercombo"": ""800"", ""supercombo_raw"": ""800""}, ""recovery"": {""comparable"": true, ""match"": true, ""official"": ""21"", ""official_raw"": ""21"", ""supercombo"": ""21"", ""supercombo_raw"": ""21""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""12"", ""official_raw"": ""12"", ""supercombo"": ""12"", ""supercombo_raw"": ""12""}}"
6,通常技,立ち強K （蛇旋脚）,icon_kick_h 強,5HK,5HK,9,9-12,19,800,4,-3,C,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,a.k.i._5hk,ground_normal,5HK,Standing Heavy Kick,9,4,19,+4,-3,Sp SA,800,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""4"", ""official_raw"": ""9-12"", ""supercombo"": ""4"", ""supercombo_raw"": ""4""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""800"", ""official_raw"": ""800"", ""supercombo"": ""800"", ""supercombo_raw"": ""800""}, ""recovery"": {""comparable"": true, ""match"": true, ""official"": ""19"", ""official_raw"": ""19"", ""supercombo"": ""19"", ""supercombo_raw"": ""19""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""9"", ""official_raw"": ""9"", ""supercombo"": ""9"", ""supercombo_raw"": ""9""}}"
7,通常技,しゃがみ弱P （潜蛇突）,key-d key-plus icon_punch_l 弱,2LP,2LP,4,4-5,9,300,4,-1,C,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,a.k.i._2lp,ground_normal,2LP,Crouching Light Punch,4,2,9,+4,-1,Chn Sp SA,300,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""2"", ""official_raw"": ""4-5"", ""supercombo"": ""2"", ""supercombo_raw"": ""2""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""300"", ""official_raw"": ""300"", ""supercombo"": ""300"", ""supercombo_raw"": ""300""}, ""recovery"": {""comparable"": true, ""match"": true, ""official"": ""9"", ""official_raw"": ""9"", ""supercombo"": ""9"", ""supercombo_raw"": ""9""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""4"", ""official_raw"": ""4"", ""supercombo"": ""4"", ""supercombo_raw"": ""4""}}"
8,通常技,しゃがみ弱K （蹴突蛇）,key-d key-plus icon_kick_l 弱,2LK,2LK,5,5-7,8,200,3,-2,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,a.k.i._2lk,ground_normal,2LK,Crouching Light Kick,5,3,8,+3,-2,Chn,200,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""3"", ""official_raw"": ""5-7"", ""supercombo"": ""3"", ""supercombo_raw"": ""3""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""200"", ""official_raw"": ""200"", ""supercombo"": ""200"", ""supercombo_raw"": ""200""}, ""recovery"": {""comparable"": true, ""match"": true, ""official"": ""8"", ""official_raw"": ""8"", ""supercombo"": ""8"", ""supercombo_raw"": ""8""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""5"", ""official_raw"": ""5"", ""supercombo"": ""5"", ""supercombo_raw"": ""5""}}"
9,通常技,しゃがみ中P （蛇伸突）,key-d key-plus icon_punch_m 中,2MP,2MP,7,7-9,18,600,1,-3,C,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,a.k.i._2mp,ground_normal,2MP,Crouching Medium Punch,7,3,18,+1,-3,Sp SA,600,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""3"", ""official_raw"": ""7-9"", ""supercombo"": ""3"", ""supercombo_raw"": ""3""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""600"", ""official_raw"": ""600"", ""supercombo"": ""600"", ""supercombo_raw"": ""600""}, ""recovery"": {""comparable"": true, ""match"": true, ""official"": ""18"", ""official_raw"": ""18"", ""supercombo"": ""18"", ""supercombo_raw"": ""18""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""7"", ""official_raw"": ""7"", ""supercombo"": ""7"", ""supercombo_raw"": ""7""}}"
10,通常技,しゃがみ中K （蛇落蹴）,key-d key-plus icon_kick_m 中,2MK,2MK,7,7-9,16,600,5,1,SA,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,a.k.i._2mk,ground_normal,2MK,Crouching Medium Kick,7,3,16,+5,+1,SA,600,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""3"", ""official_raw"": ""7-9"", ""supercombo"": ""3"", ""supercombo_raw"": ""3""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""600"", ""official_raw"": ""600"", ""supercombo"": ""600"", ""supercombo_raw"": ""600""}, ""recovery"": {""comparable"": true, ""match"": true, ""official"": ""16"", ""official_raw"": ""16"", ""supercombo"": ""16"", ""supercombo_raw"": ""16""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""7"", ""official_raw"": ""7"", ""supercombo"": ""7"", ""supercombo_raw"": ""7""}}"
11,通常技,しゃがみ強P （修蛇）,key-d key-plus icon_punch_h 強,2HP,2HP,10,10-12,28,900,D,-8,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,a.k.i._2hp,ground_normal,2HP,Xiu She,10,3,28,KD +27,-8,-,900,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""3"", ""official_raw"": ""10-12"", ""supercombo"": ""3"", ""supercombo_raw"": ""3""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""900"", ""official_raw"": ""900"", ""supercombo"": ""900"", ""supercombo_raw"": ""900""}, ""recovery"": {""comparable"": true, ""match"": true, ""official"": ""28"", ""official_raw"": ""28"", ""supercombo"": ""28"", ""supercombo_raw"": ""28""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""10"", ""official_raw"": ""10"", ""supercombo"": ""10"", ""supercombo_raw"": ""10""}}"
12,通常技,しゃがみ強K （蛇尾脚）,key-d key-plus icon_kick_h 強,2HK,2HK,10,10-15,20,900,0,-3,SA,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,a.k.i._2hk,ground_normal,2HK,Crouching Heavy Kick,10,6,20,0,-3,SA,900,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""6"", ""official_raw"": ""10-15"", ""supercombo"": ""6"", ""supercombo_raw"": ""6""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""900"", ""official_raw"": ""900"", ""supercombo"": ""900"", ""supercombo_raw"": ""900""}, ""recovery"": {""comparable"": true, ""match"": true, ""official"": ""20"", ""official_raw"": ""20"", ""supercombo"": ""20"", ""supercombo_raw"": ""20""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""10"", ""official_raw"": ""10"", ""supercombo"": ""10"", ""supercombo_raw"": ""10""}}"
13,通常技,ジャンプ弱P （空蛇突）,（ジャンプ中に） icon_punch_l 弱,j.LP,j.LP,5,5-13,着地後3,300,,,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,a.k.i._jlp,air_normal,j.LP,Jumping Light Punch,5,9,3 land,+2(+9),-2(+5),-,300,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""9"", ""official_raw"": ""5-13"", ""supercombo"": ""9"", ""supercombo_raw"": ""9""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""300"", ""official_raw"": ""300"", ""supercombo"": ""300"", ""supercombo_raw"": ""300""}, ""recovery"": {""comparable"": true, ""match"": true, ""official"": ""land:3"", ""official_raw"": ""着地後3"", ""reason"": ""landing_recovery_equivalent"", ""supercombo"": ""land:3"", ""supercombo_raw"": ""3 land""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""5"", ""official_raw"": ""5"", ""supercombo"": ""5"", ""supercombo_raw"": ""5""}}"
14,通常技,ジャンプ弱K （空蛇蹴）,（ジャンプ中に） icon_kick_l 弱,j.LK,j.LK,5,5-10,着地後3,300,,,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,a.k.i._jlk,air_normal,j.LK,Jumping Light Kick,5,6,3 land,+4(+10),0(+6),-,300,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""6"", ""official_raw"": ""5-10"", ""supercombo"": ""6"", ""supercombo_raw"": ""6""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""300"", ""official_raw"": ""300"", ""supercombo"": ""300"", ""supercombo_raw"": ""300""}, ""recovery"": {""comparable"": true, ""match"": true, ""official"": ""land:3"", ""official_raw"": ""着地後3"", ""reason"": ""landing_recovery_equivalent"", ""supercombo"": ""land:3"", ""supercombo_raw"": ""3 land""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""5"", ""official_raw"": ""5"", ""supercombo"": ""5"", ""supercombo_raw"": ""5""}}"
