row_order,section,move_type,move_id,input,name,damage,startup,active,recovery,total,hit_advantage,block_advantage,guard,cancel,hitconfirm,chip,damage_scaling,punish_advantage,perfect_parry_advantage,drive_rush_cancel_on_hit,drive_rush_cancel_on_block,after_drive_rush_on_hit,after_drive_rush_on_block,hitstun,blockstun,hitstop,drive_damage_block,drive_damage_hit,drive_gain,super_gain_hit,super_gain_block,invuln,armor,airborne,attack_range,range_notes,juggle_start,juggle_increase,juggle_limit,projectile_speed,pushback_hit,pushback_block,images,hitboxes,notes
1,Normals and Target Combos,ground_normal,alex_5lp,5LP,Standing Light Punch,300,4,2,9,14,+5,-1,LH,Chn Sp SA,12,,20% Starter,+9,-9,+6,0,+9,+3,16,10,9,500,[2000],250,300 (210),150 (75),,,,1.08,,1,1,0,,0.319,0.330,SF6_Alex_5lp.png,SF6_Alex_5lp_hitbox.png,Chains into 5LP/2LP/2LK; Alex's only 4f attack with above average range
2,Normals and Target Combos,ground_normal,alex_5mp,5MP,Standing Medium Punch,600,7,4,15(17),25(27),+3,0,LH,Sp SA TC,16 / 19 TC,,,+7,-17,+12,+9,+7,+4,22,19,11,3000,[4000],1500,500 (350),250 (125),,,,1.30,,1,1,0,,,,SF6_Alex_5mp.png,SF6_Alex_5mp_hitbox.png,2f extra recovery on whiff; extends a wide arm and foot hurtbox on the first 15 recovery frames; can lead to a hitconfirmable TC knockdown; great meaty tool with very low pushback (up to +6 oH / +3 oB)
3,Normals and Target Combos,ground_normal,alex_5hp,5HP,Standing Heavy Punch,900,12,5,19,35,+4,-3,LH,SA,19 SA,,10% Starter,+8,-22,,,+8,+1,28,21,13,5000,[8000],2000,1000 (700),500 (250),,,,1.78,,1,1,0,,,,SF6_Alex_5hp.png,SF6_Alex_5hp_hitbox.png,"Disjointed poke with great range to harass the opponent's Drive gauge; cancelable into Super for a hitconfirm or to punish Drive Impact; extends a wide arm and foot hurtbox on the first 12 recovery frames; high active frame count for meaty setups (up to +8 oH / +1 oB, but high pushback on block); can be held for a stronger, fully cancelable version (uncharged version comes out if button is held up to 15 frames); holding the button 1-7f results in 12f startup; holding the button 8-15f increases the total startup incrementally by 1f (up to a maximum startup of 20f)"
4,Normals and Target Combos,ground_normal,alex_5hp_hold,5[HP],Standing Heavy Punch (Hold),1000,23,3,22,47,+5,+2,LH,PS Sp SA,19 / 20 PS / (29 PC),,20% Starter,+13,-23,+20,+17,+9,+6,30,27,15 (25 PC),8000,[12000],3000,1000 (700),500 (250),,,,2.03,,1,1,1,,,,SF6_Alex_5hp_hold.png,SF6_Alex_5hp_hitbox.png,"Button must be held 16f (early release results in uncharged version); more damage and range than uncharged version; has juggle potential unlike uncharged version (useful in some routes like juggled SA2 when not fully cornered); puts airborne opponents into a limited juggle state; stops forward momentum when used out of Drive Rush (good for baiting DR checks, but will usually be out of range for link follow-ups afterward); enables true blockstring into HP Flash Chop for huge Drive damage and plus frames; true blockstring when canceled into Drive Impact (can be delayed to manually create a gap); extends a front leg hurtbox on frames 8-19 of startup (more easily counterpoked by lows); extends a wide arm and foot hurtbox on the first 15 recovery frames; can be safe to Drive Impact if absorbed late; Prowler Stance cancel: +9 oH / +6 oB"
5,Normals and Target Combos,ground_normal,alex_5lk,5LK,Standing Light Kick,300,6,2,13,20,+1,-5,LH,Sp SA,12,,20% Starter,+5,-13,+5,-1,+5,-1,16,10,9,500,[2000],250,300 (210),150 (75),,,,1.44,,1,1,0,,,,SF6_Alex_5lk.png,SF6_Alex_5lk_hitbox.png,Very long range for a 6-frame button (but slow for a light normal); DR cancel is delayed until after active frames
6,Normals and Target Combos,ground_normal,alex_5mk,5MK,Standing Medium Kick,700,9,3,19,30,+3,-4,LH,-,,,,+7,-20,,,+7,0,25,18,11,4000,[6000],2000,700 (490),350 (175),,,,1.70,,1,1,0,,,,SF6_Alex_5mk.png,SF6_Alex_5mk_hitbox.png,Foot hurtbox shifts backward on frames 5-16f (more effective at counter-hitting low pokes); long range poke with good hitbox priority and no extended hurtbox before active frames; creates a useful spacing trap against Ryu/Akuma/Terry 2MK and Ed 2MP using 5LP~2LP~2LP or 2LK~5LP~2LP that grants a Punish Counter link to 5LK; extends a wide leg hurtbox on the first 11 recovery frames
7,Normals and Target Combos,ground_normal,alex_5hk,5HK,Standing Heavy Kick,900,16,3,23,41,+1,-4,LH,-,,,15% Starter,KD +62 Crumple,-24,,,+5,0,27,22,13 (25 PC),5000,[8000],3000,1000 (700),500 (250),,,,2.05 (2.00),,1 [-1 PC Ground],1,0,,,,SF6_Alex_5hk.png,"SF6_Alex_5hk_hitbox.png,SF6_Alex_5hk_hitbox_2.png","Disjointed poke with great range; grounded Punish Counter crumple puts opponent into a free juggle crumple state and is +23 before opponent falls to the ground (no grounded combo possible); puts airborne opponents into a limited juggle state (free juggle on Punish Counter); extends a hurtbox 1f before active that is vulnerable to projectiles; can be held for a stronger, longer-range version (uncharged version comes out if button is held up to 15 frames); holding the button 1-8f results in 16f startup; holding the button 9-15f increases the total startup incrementally by 1f (up to a maximum startup of 23f)"
8,Normals and Target Combos,ground_normal,alex_5hk_hold,5[HK],Standing Heavy Kick (Hold),1000,25,3,20,47,KD +40,+2,LH,PS,19 (29 PC),,15% Starter,KD +69,-21,,,,+6,,25,15 (25 PC),8000,[12000],3000,1100 (770),550 (275),,,,2.30 (2.20),,1 [0 PC],1,1,,,,SF6_Alex_5hk_hold.png,"SF6_Alex_5hk_charged_hitbox.png, SF6_Alex_5hk_charged_hitbox_2.png","Button must be held 16f (early release results in uncharged version); more damage, range, and juggle potential than uncharged version; stops forward momentum when used out of Drive Rush (good for baiting DR checks); Punish Counter (ground/air) puts opponent into a free juggle state; puts airborne opponents into a limited juggle state on normal hit; startup frames 17-24 extend a small leg hurtbox (more easily counter-poked by standing buttons); extends a wide leg hurtbox on the first 10 recovery frames; Prowler Stance cancel: KD +42 oH / +4 oB (KD advantage varies on airborne opponents)"
9,Normals and Target Combos,ground_normal,alex_2lp,2LP,Crouching Light Punch,300,5,3,8,15,+5,-2,LH,Chn Sp SA,13,,20% Starter,+9,-9,+5,-2,+9,+2,16,9,9,500,[2000],250,300 (210),150 (75),,,,1.23,,1,1,0,,,,SF6_Alex_2lp.png,SF6_Alex_2lp_hitbox.png,Chains into 5LP/2LP/2LK; topmost hurtbox on frames 1-7 is vulnerable only to aerial attacks (preventing its use as an anti-air) and is projectile invincible to avoid High Tiger Shot; DR cancel is delayed until after 2nd active frame
10,Normals and Target Combos,ground_normal,alex_2mp,2MP,Crouching Medium Punch,600,8,2,16(20),25(29),+1,-2,LH,Sp SA,14,,,+5,-16,+8,+5,+5,+2,19,16,11,3000,[4000],1500,500 (350),250 (125),,,,1.58,,1,1,0,,,,SF6_Alex_2mp.png,SF6_Alex_2mp_hitbox.png,"4f extra recovery on whiff; topmost hurtbox on frames 1-9 is vulnerable only to aerial attacks (preventing its use as an anti-air) and is projectile invincible to avoid High Tiger Shot; Special/DR/DI cancel is delayed until after active frames; relatively poor DR Cancel options (no natural combo into 2HP > 236HP, max range cannot cancel to 4MK > 2HP, and only a true blockstring into 5LP/2LP/2LK)"
