row_order,section,move_type,move_id,input,name,damage,startup,active,recovery,total,hit_advantage,block_advantage,guard,cancel,hitconfirm,chip,damage_scaling,punish_advantage,perfect_parry_advantage,drive_rush_cancel_on_hit,drive_rush_cancel_on_block,after_drive_rush_on_hit,after_drive_rush_on_block,hitstun,blockstun,hitstop,drive_damage_block,drive_damage_hit,drive_gain,super_gain_hit,super_gain_block,invuln,armor,airborne,attack_range,range_notes,juggle_start,juggle_increase,juggle_limit,projectile_speed,pushback_hit,pushback_block,images,hitboxes,notes
4,Normals and Target Combos,ground_normal,alex_5hp_hold,5[HP],Standing Heavy Punch (Hold),1000,23,3,22,47,+5,+2,LH,PS Sp SA,19 / 20 PS / (29 PC),,20% Starter,+13,-23,+20,+17,+9,+6,30,27,15 (25 PC),8000,[12000],3000,1000 (700),500 (250),,,,2.03,,1,1,1,,,,SF6_Alex_5hp_hold.png,SF6_Alex_5hp_hitbox.png,"Button must be held 16f (early release results in uncharged version); more damage and range than uncharged version; has juggle potential unlike uncharged version (useful in some routes like juggled SA2 when not fully cornered); puts airborne opponents into a limited juggle state; stops forward momentum when used out of Drive Rush (good for baiting DR checks, but will usually be out of range for link follow-ups afterward); enables true blockstring into HP Flash Chop for huge Drive damage and plus frames; true blockstring when canceled into Drive Impact (can be delayed to manually create a gap); extends a front leg hurtbox on frames 8-19 of startup (more easily counterpoked by lows); extends a wide arm and foot hurtbox on the first 15 recovery frames; can be safe to Drive Impact if absorbed late; Prowler Stance cancel: +9 oH / +6 oB"
8,Normals and Target Combos,ground_normal,alex_5hk_hold,5[HK],Standing Heavy Kick (Hold),1000,25,3,20,47,KD +40,+2,LH,PS,19 (29 PC),,15% Starter,KD +69,-21,,,,+6,,25,15 (25 PC),8000,[12000],3000,1100 (770),550 (275),,,,2.30 (2.20),,1 [0 PC],1,1,,,,SF6_Alex_5hk_hold.png,"SF6_Alex_5hk_charged_hitbox.png, SF6_Alex_5hk_charged_hitbox_2.png","Button must be held 16f (early release results in uncharged version); more damage, range, and juggle potential than uncharged version; stops forward momentum when used out of Drive Rush (good for baiting DR checks); Punish Counter (ground/air) puts opponent into a free juggle state; puts airborne opponents into a limited juggle state on normal hit; startup frames 17-24 extend a small leg hurtbox (more easily counter-poked by standing buttons); extends a wide leg hurtbox on the first 10 recovery frames; Prowler Stance cancel: KD +42 oH / +4 oB (KD advantage varies on airborne opponents)"
23,Normals and Target Combos,ground_normal,alex_4mk_backturn,4MK (Backturn),Collapsing Driver,"600,1400",7,3,15,24,HKD +33,-,LH,-,,,Both hits apply scaling,HKD +33,,,,,,,,11,,[8000],3500,2500 (1750),,,,,1.38,,,,,,,,"SF6_Alex_4mk_backturn.png, SF6_Alex_4mk_backturn_2.png",SF6_Alex_4mk_backturn_hitbox.png,Performs a cinematic knockdown on backturned opponents; can be canceled into after 236HP on hit; counts as 2 separate moves for damage scaling; can whiff after max range 236HP on crouching opponents; deals less damage than Power Drop but maintains same side and gives better HKD oki
27,Specials,special,alex_2pp,2PP,Prowler Stance,-,18~,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SF6_Alex_2pp.png,SF6_Alex_2pp_2.png","SF6_Alex_2pp_hitbox.png,SF6_Alex_2pp_hitbox_2.png",Cannot block while in stance (counter-hit state for entire duration); Alex is in a crouching state on frame 5 onward (stand-sized hurtbox until frame 8); crouch-sized hurtbox on frames 9-15; Low Profile on frame 16~ (but does not duck under standard projectiles); can transition into one of several different follow-ups on frame 18 onward (frame 17 for Stance Exit); can be canceled with any up input (2PP~8); Alex remains in stance until canceled or hit; Alex switches facing direction when opponent switches sides
28,Specials,special,alex_2pp_8,2PP~8,Exit Prowler Stance,-,-,-,25,25,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SF6_Alex_2pp_8.png,SF6_Alex_2pp_8_hitbox.png,Can start exiting stance 1 frame earlier than other follow-ups; fastest total stance + exit time is 42f; Low Profile and crouch state on frames 1-9 of exit animation; Alex remains in a counter-hit state for entire exit duration; holding up direction will buffer the Stance Exit at the earliest possible timing
29,Specials,special,alex_2pp_6,2PP~6,Low Rush,-,-,-,28,28,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SF6_Alex_2pp_6.png,SF6_Alex_2pp_6_hitbox.png,"Distance: 1.76; cancelable into Slash Elbow (6P) on frames 1-14 (if done later, Elbow is buffered at the usual follow-up timing); can perform Tactical Hop (LK) / Air Stampede (MK) on frame 18~; can perform Stance Exit on frame 28 (final recovery frame); cancelable into other Stance follow-ups on frame 21~; maintains Low Profile / crouch for entire duration and remains in Prowler Stance afterward; holding forward does not buffer the dash (must be timed using the standard input buffer window)"
30,Specials,special,alex_2pp_4,2PP~4,Low Retreat,-,-,-,31,31,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SF6_Alex_2pp_4.png,SF6_Alex_2pp_4_hitbox.png,Distance: 1.00; cannot cancel into follow-ups during the dash animation (except Stance Exit 1f before recovery ends); maintains Low Profile / crouch for entire duration and remains in Prowler Stance afterward; holding back does not buffer the dash (must be timed using the standard input buffer window)
31,Specials,special,alex_2pp_6p,2PP~6P,Slashing Elbow,1000,12/15/18,4,18,33/36/39,+3,-1,LH,-,,,20% Starter,KD +56,-20,,,,,25,21,13 (15 CH/PC),4000,[4000],2000,800 (560),400 (200),,,,2.32 / 2.60 / 3.14,,1,1,5,,,,SF6_Alex_2pp_6p.png,"SF6_Alex_2pp_6p_hitbox.png, SF6_Alex_2pp_6p_hitbox_2.png, SF6_Alex_2pp_6p_hitbox_3.png, SF6_Alex_2pp_6p_hitbox_4.png","Button strength determines distance and startup (LP shortest/fastest, HP longest/slowest); exits Stance after use; high active frame count allows it to be spaced or used with meaty timing for better advantage; Counter-hit/Punish Counter puts opponent into a limited juggle state; puts airborne opponents into a limited juggle state; head and arm hurtbox are anti-air invuln on frames 8-15 (LP) / 11-18 (MP) / 14-21 (HP); maintains Low Profile on startup until 5f before active; maintains crouch state until the end of active frames (standing-sized hurtboxes after the Low Profile frames end); expands significantly on the 3rd active frame making it easier to space for advantage on block; causes a screen shake effect when blocked with frame advantage (3rd/4th active frames)"
32,Specials,special,alex_2pp_lp,2PP~LP,Palm Jab,300,4,3,9,15,+7*,+1*,LH,Chn Sp SA,13,,20% Starter,+11*,-10,+9,+3,,,19,13,9,500,[2000],300,300 (210),150 (75),,,,1.36,,1,1,0,,,,SF6_Alex_2pp_lp.png,SF6_Alex_2pp_lp_hitbox.png,"Fast and long range jab that maintains the stance's Low Profile and crouching state; cancelable into other Prowler Stance moves (except Stance Exit, Forward/Back Dash, Hyper Takedown, or Slashing Elbow) and into standard specials / DI / DR; Alex remains in stance if not canceled (forced to exit after Perfect Parry); chained jabs form a true blockstring (can chain 4 jabs on hit or 3 on block); frame advantage compares the end of the jab recovery to the opponent's hitstun/blockstun but is only really relevant for tick throws with Hyper Takedown or when using Slashing Elbow afterward; can only tick throw into Hyper Takedown (Stance LP+LK) after 1 jab"
33,Specials,special,alex_2pp_mp,2PP~MP,Shoulder Launcher<br>(Falling Moon),400x2 (2680),7,"2,5",17,30,KD +51,-6,LH,-,,,,HKD +22,-22,,,,,,"16,16 (18 total)","11,11",1500x2,[5000],1000x2 [2500],400x2 (280x2) [2400(1680)],200x2 (100x2),"1-6 Air (Upper/Mid), 7-13 Air (all)",,,1.10 (0.81),,"1,1","1,1","2,3",,,,"SF6_Alex_2pp_mp.png, SF6_Alex_2pp_mp_2.png","SF6_Alex_2pp_mp_hitbox.png,SF6_Alex_2pp_mp_hitbox_2.png,SF6_Alex_2pp_mp_hitbox_3.png","Counter-hit/Punish Counter transitions into Falling Moon for higher damage, Hard Knockdown, and improved meter properties (regardless of whether 1st or 2nd hit connects); () refers to Falling Moon damage; not airborne despite the animation; puts opponents into a limited juggle state on normal hit; maintains Low Profile on frames 1-7 and considered crouching on frames 1-13; cannot hit cross-up but will autocorrect if input while dashing under the opponent (allows for side swap juggle routes); can be canceled into from Palm Jab"
