official_row_order,official_category,official_move_name,official_input_display,official_input_signature,official_input_family,startup,active,recovery,damage,on_hit,on_block,cancel,match_status,match_method,candidate_count,supercombo_move_id,supercombo_move_type,supercombo_input,supercombo_name,supercombo_startup,supercombo_active,supercombo_recovery,supercombo_hit_advantage,supercombo_block_advantage,supercombo_cancel,supercombo_damage,field_comparisons_json
1,通常技,立ち弱P （ベアアタック）,icon_punch_l 弱,5LP,5LP,5,5-7,10,300,3,-3,C,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,blanka_5lp,ground_normal,5LP,Standing Light Punch,5,3,10,+3,-3,Sp SA,300,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""3"", ""official_raw"": ""5-7"", ""supercombo"": ""3"", ""supercombo_raw"": ""3""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""300"", ""official_raw"": ""300"", ""supercombo"": ""300"", ""supercombo_raw"": ""300""}, ""recovery"": {""comparable"": true, ""match"": true, ""official"": ""10"", ""official_raw"": ""10"", ""supercombo"": ""10"", ""supercombo_raw"": ""10""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""5"", ""official_raw"": ""5"", ""supercombo"": ""5"", ""supercombo_raw"": ""5""}}"
2,通常技,立ち弱K （ビーストキック）,icon_kick_l 弱,5LK,5LK,4,4-7,7,300,5,-2,C,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,blanka_5lk,ground_normal,5LK,Standing Light Kick,4,4,7,+5,-2,Chn Sp SA,300,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""4"", ""official_raw"": ""4-7"", ""supercombo"": ""4"", ""supercombo_raw"": ""4""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""300"", ""official_raw"": ""300"", ""supercombo"": ""300"", ""supercombo_raw"": ""300""}, ""recovery"": {""comparable"": true, ""match"": true, ""official"": ""7"", ""official_raw"": ""7"", ""supercombo"": ""7"", ""supercombo_raw"": ""7""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""4"", ""official_raw"": ""4"", ""supercombo"": ""4"", ""supercombo_raw"": ""4""}}"
3,通常技,立ち中P （ビーストチョップ）,icon_punch_m 中,5MP,5MP,10,10-12,15,700,3,-4,SA,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,blanka_5mp,ground_normal,5MP,Standing Medium Punch,10,3,15,+3,-4,SA,700,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""3"", ""official_raw"": ""10-12"", ""supercombo"": ""3"", ""supercombo_raw"": ""3""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""700"", ""official_raw"": ""700"", ""supercombo"": ""700"", ""supercombo_raw"": ""700""}, ""recovery"": {""comparable"": true, ""match"": true, ""official"": ""15"", ""official_raw"": ""15"", ""supercombo"": ""15"", ""supercombo_raw"": ""15""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""10"", ""official_raw"": ""10"", ""supercombo"": ""10"", ""supercombo_raw"": ""10""}}"
4,通常技,立ち中K （ブラッディーテイル）,icon_kick_m 中,5MK,5MK,8,8-10,17,600,5,-2,C,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+damage_match,1,blanka_5mk,ground_normal,5MK,Standing Medium Kick,8,3,17(20),+5,-2,Sp SA,600,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""3"", ""official_raw"": ""8-10"", ""supercombo"": ""3"", ""supercombo_raw"": ""3""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""600"", ""official_raw"": ""600"", ""supercombo"": ""600"", ""supercombo_raw"": ""600""}, ""recovery"": {""comparable"": false, ""official"": ""17"", ""official_raw"": ""17"", ""reason"": ""condition_dependent_supercombo_field"", ""supercombo"": ""17"", ""supercombo_raw"": ""17(20)""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""8"", ""official_raw"": ""8"", ""supercombo"": ""8"", ""supercombo_raw"": ""8""}}"
5,通常技,立ち強P （ジャングルアーチ）,icon_punch_h 強,5HP,5HP,10,10-16,22,800,3,-3,C,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+damage_match,1,blanka_5hp,ground_normal,5HP,Standing Heavy Punch,10,7,17(22),+3,-3,Sp SA,800,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""7"", ""official_raw"": ""10-16"", ""supercombo"": ""7"", ""supercombo_raw"": ""7""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""800"", ""official_raw"": ""800"", ""supercombo"": ""800"", ""supercombo_raw"": ""800""}, ""recovery"": {""comparable"": false, ""official"": ""22"", ""official_raw"": ""22"", ""reason"": ""condition_dependent_supercombo_field"", ""supercombo"": ""17"", ""supercombo_raw"": ""17(22)""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""10"", ""official_raw"": ""10"", ""supercombo"": ""10"", ""supercombo_raw"": ""10""}}"
6,通常技,立ち強K （ワイルドダンス）,icon_kick_h 強,5HK,5HK,7,7-15,18,800,6,-4,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+damage_match,1,blanka_5hk,ground_normal,5HK,Standing Heavy Kick,7,9,18(15),+6,-4,-,800,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""9"", ""official_raw"": ""7-15"", ""supercombo"": ""9"", ""supercombo_raw"": ""9""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""800"", ""official_raw"": ""800"", ""supercombo"": ""800"", ""supercombo_raw"": ""800""}, ""recovery"": {""comparable"": false, ""official"": ""18"", ""official_raw"": ""18"", ""reason"": ""condition_dependent_supercombo_field"", ""supercombo"": ""18"", ""supercombo_raw"": ""18(15)""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""7"", ""official_raw"": ""7"", ""supercombo"": ""7"", ""supercombo_raw"": ""7""}}"
7,通常技,しゃがみ弱P （キャットクロー）,key-d key-plus icon_punch_l 弱,2LP,2LP,6,6-8,8,300,5,-2,C,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,blanka_2lp,ground_normal,2LP,Crouching Light Punch,6,3,8,+5,-2,Chn Sp SA,300,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""3"", ""official_raw"": ""6-8"", ""supercombo"": ""3"", ""supercombo_raw"": ""3""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""300"", ""official_raw"": ""300"", ""supercombo"": ""300"", ""supercombo_raw"": ""300""}, ""recovery"": {""comparable"": true, ""match"": true, ""official"": ""8"", ""official_raw"": ""8"", ""supercombo"": ""8"", ""supercombo_raw"": ""8""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""6"", ""official_raw"": ""6"", ""supercombo"": ""6"", ""supercombo_raw"": ""6""}}"
8,通常技,しゃがみ弱K （ジャングルトラップ）,key-d key-plus icon_kick_l 弱,2LK,2LK,5,5-6,10,200,3,-3,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,blanka_2lk,ground_normal,2LK,Crouching Light Kick,5,2,10,+3,-3,Chn,200,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""2"", ""official_raw"": ""5-6"", ""supercombo"": ""2"", ""supercombo_raw"": ""2""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""200"", ""official_raw"": ""200"", ""supercombo"": ""200"", ""supercombo_raw"": ""200""}, ""recovery"": {""comparable"": true, ""match"": true, ""official"": ""10"", ""official_raw"": ""10"", ""supercombo"": ""10"", ""supercombo_raw"": ""10""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""5"", ""official_raw"": ""5"", ""supercombo"": ""5"", ""supercombo_raw"": ""5""}}"
9,通常技,しゃがみ中P （ベアクロー）,key-d key-plus icon_punch_m 中,2MP,2MP,9,9-13,16,600,-1,-5,C,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,blanka_2mp,ground_normal,2MP,Crouching Medium Punch,9,5,16,-1,-5,Sp SA,600,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""5"", ""official_raw"": ""9-13"", ""supercombo"": ""5"", ""supercombo_raw"": ""5""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""600"", ""official_raw"": ""600"", ""supercombo"": ""600"", ""supercombo_raw"": ""600""}, ""recovery"": {""comparable"": true, ""match"": true, ""official"": ""16"", ""official_raw"": ""16"", ""supercombo"": ""16"", ""supercombo_raw"": ""16""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""9"", ""official_raw"": ""9"", ""supercombo"": ""9"", ""supercombo_raw"": ""9""}}"
10,通常技,しゃがみ中K （ビーストステップ）,key-d key-plus icon_kick_m 中,2MK,2MK,8,8-10,※16,500,5,-5,C,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+damage_match,1,blanka_2mk,ground_normal,2MK,Crouching Medium Kick,8,3,16(18),+5,-5,Sp SA,500,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""3"", ""official_raw"": ""8-10"", ""supercombo"": ""3"", ""supercombo_raw"": ""3""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""500"", ""official_raw"": ""500"", ""supercombo"": ""500"", ""supercombo_raw"": ""500""}, ""recovery"": {""comparable"": false, ""official"": """", ""official_raw"": ""※16"", ""reason"": ""condition_dependent_supercombo_field"", ""supercombo"": ""16"", ""supercombo_raw"": ""16(18)""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""8"", ""official_raw"": ""8"", ""supercombo"": ""8"", ""supercombo_raw"": ""8""}}"
