row_order,section,move_type,move_id,input,name,damage,startup,active,recovery,total,hit_advantage,block_advantage,guard,cancel,hitconfirm,chip,damage_scaling,punish_advantage,perfect_parry_advantage,drive_rush_cancel_on_hit,drive_rush_cancel_on_block,after_drive_rush_on_hit,after_drive_rush_on_block,hitstun,blockstun,hitstop,drive_damage_block,drive_damage_hit,drive_gain,super_gain_hit,super_gain_block,invuln,armor,airborne,attack_range,range_notes,juggle_start,juggle_increase,juggle_limit,projectile_speed,pushback_hit,pushback_block,images,hitboxes,notes
1,Normals and Target Combos,ground_normal,cammy_5lp,5LP,Standing Light Punch,300,4,3,7,13,+5,-2,LH,Chn Sp SA,13,,20% Starter,+9,-8,+4,-3,+9,+2,15,8,9,500,[2000],250,300 (210),150 (75),,,,1.05,,1,1,0,,0.352,0.304,SF6_Cammy_5lp.png,SF6_Cammy_5lp_hitbox.png,Chains into 5LP/2LP/2LK; extended hurtbox appears for 2f before active; DR cancel is delayed until after 2nd active frame
2,Normals and Target Combos,ground_normal,cammy_5mp,5MP,Standing Medium Punch,600,6,4,13,22,+6,-1,LH,-,,,,+10,-15,,,+10,+3,23,16,11,3000,[4000],1500,500 (350),250 (125),,,,1.04,,1,1,0,,,,SF6_Cammy_5mp.png,SF6_Cammy_5mp_hitbox.png,"Can get frame advantage with meaty timing and leads to good conversions on counter-hit; decent Drive Rush starter (links to 5HP on hit, frame traps into itself) but doesn't carry much forward momentum; extended hurtbox remains for 4f after active frames"
3,Normals and Target Combos,ground_normal,cammy_5hp,5HP,Standing Heavy Punch,800,8,3,20,30,+2,-3,LH,Sp SA TC,17 Sp / 19 TC,,,+6,-21,+15,+10,+6,+1,25,20,13,4000,[8000],2000,1000 (700),500 (250),,,,1.39,,1,1,0,,,,SF6_Cammy_5hp.png,SF6_Cammy_5hp_hitbox.png,"Great disjointed hitbox; moves Cammy far forward during startup, giving it good range but making it easier to whiff punish; good Drive Rush starter (good momentum, links into 4MP~HK if close enough or frame traps into 5LP/2LP)"
4,Normals and Target Combos,ground_normal,cammy_5lk,5LK,Standing Light Kick,300,5,3,10,17,+2,-3,LH,Sp SA,13,,20% Starter,+6,-11,+4,-1,+6,+1,15,10,9,500,[2000],250,300 (210),150 (75),,,,1.27,,1,1,0,,,,SF6_Cammy_5lk.png,SF6_Cammy_5lk_hitbox.png,Good range for 5f punishes and light conversions; extended hurtbox appears for 2f before active; special cancel is delayed until after active frames (prevents OD Spiral Arrow combo); DR cancel is delayed until after 2nd active frame
5,Normals and Target Combos,ground_normal,cammy_5mk,5MK,Standing Medium Kick,700,8,3,18,28,+3,-4,LH,-,,,,+7,-19,,,+7,0,24,17,11,4000,[6000],2000,700 (490),350 (175),,,,1.57,,1,1,0,,,,SF6_Cammy_5mk.png,SF6_Cammy_5mk_hitbox.png,"Great ranged poke, vulnerable to DI if predicted; extended hurtbox remains for 7f after active frames, making it somewhat more whiff punishable"
6,Normals and Target Combos,ground_normal,cammy_5hk,5HK,Standing Heavy Kick,900,11,3,19(21),32(34),+2,-3,LH,-,,,,KD +44,-20,,,+6,+1,24,19,13,6000,[10000],3000,1200 (840),600 (300),,,,1.879,,1,10,10,,,,SF6_Cammy_5hk.png,SF6_Cammy_5hk_hitbox.png,"2f extra recovery on whiff; great ranged poke; Punish Counter knockdown does not lead to follow-up combo, but gives great corner carry; extends a hurtbox 1f before active that is vulnerable to projectiles; crouch-sized hurtbox on frames 1-28; particularly vulnerable to Drive Impact in neutral; can anti-air some long range jump-ins; has high juggle potential (causes air reset when juggled into)"
7,Normals and Target Combos,ground_normal,cammy_2lp,2LP,Crouching Light Punch,300,4,2,8,13,+5,-2,LH,Chn Sp SA,12,,20% Starter,+9,-8,+4,-3,+9,+2,15,8,9,500,[2000],250,300 (210),150 (75),,,,1.05,,1,1,0,,0.352,0.304,SF6_Cammy_2lp.png,SF6_Cammy_2lp_hitbox.png,Chains into 5LP/2LP/2LK; extended hurtbox appears for 2f before active; DR cancel is delayed until after active frames
8,Normals and Target Combos,ground_normal,cammy_2mp,2MP,Crouching Medium Punch,600,7,3,14(17),23(26),+5,-2,LH,Sp SA,15,,,+9,-15,+12,+5,+9,+2,22,15,11,3000,[4000],1500,500 (350),250 (125),,,,1.335,,1,1,0,,,,SF6_Cammy_2mp.png,SF6_Cammy_2mp_hitbox.png,Good counterpoke and useful combo filler after 2HP or CH 5LP/2LP/5MP; 3f extra recovery on whiff; extends a wide hurtbox during recovery on whiff
9,Normals and Target Combos,ground_normal,cammy_2hp,2HP,Crouching Heavy Punch,700,10,4,15,28,+7,+1,LH,-,,,,+11,-17,,,+11,+5,26,20,13,5000,[8000],2500,1000 (700),500 (250),,,,1.08,,1,1,0,,,,SF6_Cammy_2hp.png,SF6_Cammy_2hp_hitbox.png,"Forces stand; Good for starting pressure, especially with meaty timing (236HK + Dash 2HP sets gives enough advantage to link 5HP); extended hurtbox appears for 2f before active; situationally useful anti-air"
10,Normals and Target Combos,ground_normal,cammy_2lk,2LK,Crouching Light Kick,200,5,3,7,14,+3,-2,L,Chn,,,20% Starter,+7,-8,,,+7,+2,13,8,9,500,[2000],250,300 (210),150 (75),,,,1.14,,1,1,0,,,,SF6_Cammy_2lk.png,SF6_Cammy_2lk_hitbox.png,Chains into 5LP/2LP/2LK; low hitconfirm starter; extended hurtbox appears for 2f before active and remains 5f after active
