official_row_order,official_category,official_move_name,official_input_display,official_input_signature,official_input_family,startup,active,recovery,damage,on_hit,on_block,cancel,match_status,match_method,candidate_count,supercombo_move_id,supercombo_move_type,supercombo_input,supercombo_name,supercombo_startup,supercombo_active,supercombo_recovery,supercombo_hit_advantage,supercombo_block_advantage,supercombo_cancel,supercombo_damage,field_comparisons_json
1,通常技,立ち弱P （ジャブ）,icon_punch_l 弱,5LP,5LP,4,4-6,6,300,4,-1,C,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,dee_jay_5lp,ground_normal,5LP,Standing Light Punch,4,3,6,+4,-1,Chn Sp SA TC,300,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""3"", ""official_raw"": ""4-6"", ""supercombo"": ""3"", ""supercombo_raw"": ""3""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""300"", ""official_raw"": ""300"", ""supercombo"": ""300"", ""supercombo_raw"": ""300""}, ""recovery"": {""comparable"": true, ""match"": true, ""official"": ""6"", ""official_raw"": ""6"", ""supercombo"": ""6"", ""supercombo_raw"": ""6""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""4"", ""official_raw"": ""4"", ""supercombo"": ""4"", ""supercombo_raw"": ""4""}}"
2,通常技,立ち弱K （ローキック）,icon_kick_l 弱,5LK,5LK,5,5-6,12,300,2,-2,C,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,dee_jay_5lk,ground_normal,5LK,Standing Light Kick,5,2,12,+2,-2,Sp SA,300,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""2"", ""official_raw"": ""5-6"", ""supercombo"": ""2"", ""supercombo_raw"": ""2""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""300"", ""official_raw"": ""300"", ""supercombo"": ""300"", ""supercombo_raw"": ""300""}, ""recovery"": {""comparable"": true, ""match"": true, ""official"": ""12"", ""official_raw"": ""12"", ""supercombo"": ""12"", ""supercombo_raw"": ""12""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""5"", ""official_raw"": ""5"", ""supercombo"": ""5"", ""supercombo_raw"": ""5""}}"
3,通常技,立ち中P （フロントフック）,icon_punch_m 中,5MP,5MP,7,7-9,13,600,5,2,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,dee_jay_5mp,ground_normal,5MP,Standing Medium Punch,7,3,13,+5,+2,TC,600,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""3"", ""official_raw"": ""7-9"", ""supercombo"": ""3"", ""supercombo_raw"": ""3""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""600"", ""official_raw"": ""600"", ""supercombo"": ""600"", ""supercombo_raw"": ""600""}, ""recovery"": {""comparable"": true, ""match"": true, ""official"": ""13"", ""official_raw"": ""13"", ""supercombo"": ""13"", ""supercombo_raw"": ""13""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""7"", ""official_raw"": ""7"", ""supercombo"": ""7"", ""supercombo_raw"": ""7""}}"
4,通常技,立ち中K （ミドルキック）,icon_kick_m 中,5MK,5MK,9,9-11,16,600,6,-1,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,dee_jay_5mk,ground_normal,5MK,Standing Medium Kick,9,3,16,+6,-1,-,600,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""3"", ""official_raw"": ""9-11"", ""supercombo"": ""3"", ""supercombo_raw"": ""3""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""600"", ""official_raw"": ""600"", ""supercombo"": ""600"", ""supercombo_raw"": ""600""}, ""recovery"": {""comparable"": true, ""match"": true, ""official"": ""16"", ""official_raw"": ""16"", ""supercombo"": ""16"", ""supercombo_raw"": ""16""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""9"", ""official_raw"": ""9"", ""supercombo"": ""9"", ""supercombo_raw"": ""9""}}"
5,通常技,立ち強P （ブラストアッパー）,icon_punch_h 強,5HP,5HP,9,9-14,18,800,3,-4,C,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match,1,dee_jay_5hp,ground_normal,5HP,Standing Heavy Punch,9,6,18,+3(+8),-4(+1),Sp SA (close),800(700),"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""6"", ""official_raw"": ""9-14"", ""supercombo"": ""6"", ""supercombo_raw"": ""6""}, ""damage"": {""comparable"": false, ""official"": ""800"", ""official_raw"": ""800"", ""reason"": ""condition_dependent_supercombo_field"", ""supercombo"": ""800"", ""supercombo_raw"": ""800(700)""}, ""recovery"": {""comparable"": true, ""match"": true, ""official"": ""18"", ""official_raw"": ""18"", ""supercombo"": ""18"", ""supercombo_raw"": ""18""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""9"", ""official_raw"": ""9"", ""supercombo"": ""9"", ""supercombo_raw"": ""9""}}"
6,通常技,立ち強K （マキシマムキック）,icon_kick_h 強,5HK,5HK,12,12-14,※22,800,1,-5,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+damage_match,1,dee_jay_5hk,ground_normal,5HK,Standing Heavy Kick,12,3,22(26),+1,-5,-,800,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""3"", ""official_raw"": ""12-14"", ""supercombo"": ""3"", ""supercombo_raw"": ""3""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""800"", ""official_raw"": ""800"", ""supercombo"": ""800"", ""supercombo_raw"": ""800""}, ""recovery"": {""comparable"": false, ""official"": """", ""official_raw"": ""※22"", ""reason"": ""condition_dependent_supercombo_field"", ""supercombo"": ""22"", ""supercombo_raw"": ""22(26)""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""12"", ""official_raw"": ""12"", ""supercombo"": ""12"", ""supercombo_raw"": ""12""}}"
7,通常技,しゃがみ弱P （アンダージャブ）,key-d key-plus icon_punch_l 弱,2LP,2LP,5,5-7,8,300,4,-1,C,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,dee_jay_2lp,ground_normal,2LP,Crouching Light Punch,5,3,8,+4,-1,Chn Sp SA,300,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""3"", ""official_raw"": ""5-7"", ""supercombo"": ""3"", ""supercombo_raw"": ""3""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""300"", ""official_raw"": ""300"", ""supercombo"": ""300"", ""supercombo_raw"": ""300""}, ""recovery"": {""comparable"": true, ""match"": true, ""official"": ""8"", ""official_raw"": ""8"", ""supercombo"": ""8"", ""supercombo_raw"": ""8""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""5"", ""official_raw"": ""5"", ""supercombo"": ""5"", ""supercombo_raw"": ""5""}}"
8,通常技,しゃがみ弱K （アンダーウィップ）,key-d key-plus icon_kick_l 弱,2LK,2LK,5,5-6,10,200,2,-2,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,dee_jay_2lk,ground_normal,2LK,Crouching Light Kick,5,2,10,+2,-2,Chn,200,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""2"", ""official_raw"": ""5-6"", ""supercombo"": ""2"", ""supercombo_raw"": ""2""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""200"", ""official_raw"": ""200"", ""supercombo"": ""200"", ""supercombo_raw"": ""200""}, ""recovery"": {""comparable"": true, ""match"": true, ""official"": ""10"", ""official_raw"": ""10"", ""supercombo"": ""10"", ""supercombo_raw"": ""10""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""5"", ""official_raw"": ""5"", ""supercombo"": ""5"", ""supercombo_raw"": ""5""}}"
9,通常技,しゃがみ中P （レッグクラッシュエルボー）,key-d key-plus icon_punch_m 中,2MP,2MP,6,6-9,※14,600,5,-1,C,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+damage_match,1,dee_jay_2mp,ground_normal,2MP,Crouching Medium Punch,6,4,14(15),+5,-1,Sp SA,600,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""4"", ""official_raw"": ""6-9"", ""supercombo"": ""4"", ""supercombo_raw"": ""4""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""600"", ""official_raw"": ""600"", ""supercombo"": ""600"", ""supercombo_raw"": ""600""}, ""recovery"": {""comparable"": false, ""official"": """", ""official_raw"": ""※14"", ""reason"": ""condition_dependent_supercombo_field"", ""supercombo"": ""14"", ""supercombo_raw"": ""14(15)""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""6"", ""official_raw"": ""6"", ""supercombo"": ""6"", ""supercombo_raw"": ""6""}}"
10,通常技,しゃがみ中K （グランドスクラッチ）,key-d key-plus icon_kick_m 中,2MK,2MK,8,8-11,19,700,,-6,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,dee_jay_2mk,ground_normal,2MK,Crouching Medium Kick,8,4,19,KD +29,-6,-,700,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""4"", ""official_raw"": ""8-11"", ""supercombo"": ""4"", ""supercombo_raw"": ""4""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""700"", ""official_raw"": ""700"", ""supercombo"": ""700"", ""supercombo_raw"": ""700""}, ""recovery"": {""comparable"": true, ""match"": true, ""official"": ""19"", ""official_raw"": ""19"", ""supercombo"": ""19"", ""supercombo_raw"": ""19""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""8"", ""official_raw"": ""8"", ""supercombo"": ""8"", ""supercombo_raw"": ""8""}}"
