row_order,section,move_type,move_id,input,name,damage,startup,active,recovery,total,hit_advantage,block_advantage,guard,cancel,hitconfirm,chip,damage_scaling,punish_advantage,perfect_parry_advantage,drive_rush_cancel_on_hit,drive_rush_cancel_on_block,after_drive_rush_on_hit,after_drive_rush_on_block,hitstun,blockstun,hitstop,drive_damage_block,drive_damage_hit,drive_gain,super_gain_hit,super_gain_block,invuln,armor,airborne,attack_range,range_notes,juggle_start,juggle_increase,juggle_limit,projectile_speed,pushback_hit,pushback_block,images,hitboxes,notes
1,Normals and Target Combos,ground_normal,dee_jay_5lp,5LP,Standing Light Punch,300,4,3,6,12,+4,-1,LH,Chn Sp SA TC,13 (12 TC),,20% Starter,+8,-7,+3,-2,+8,+3,13,8,9,500,[2000],250(150),300 (210),150 (75),,,,1.04,,1,1,0,,0.409,0.428,SF6_Dee_Jay_5lp.png,SF6_Dee_Jay_5lp_hitbox.png,Chains into 5LP/2LP/2LK; very low recovery makes it safer than most lights when Perfect Parried; [4]6LP cancel: -9/-14; 236LK cancel: -14/-19
2,Normals and Target Combos,ground_normal,dee_jay_5mp,5MP,Standing Medium Punch,600,7,3,13,22,+5,+2,LH,TC,"21 (~MP), 17 (~HP)",,,+9,-14,,,+9,+6,21,18,11,4000,[6000],2000,500 (350),250 (125),,,,1.18,,1,1,0,,,,SF6_Dee_Jay_5mp.png,SF6_Dee_Jay_5mp_hitbox.png,Good combo/frame trap starter with 2 different Target Combo follow-ups
3,Normals and Target Combos,ground_normal,dee_jay_5hp,5HP,Standing Heavy Punch,800(700),9,6,18,32,+3(+8),-4(+1),LH,Sp SA (close),16,,20% Starter,+7(+12),-22(-17),+17,+10,+7(+12),0(+5),27,20,13,5000,[8000],2000,1000 (700),500 (250),,,,1.796 (0.962),,1,1,0,,,,"SF6_Dee_Jay_5hp.png, SF6_Dee_Jay_5hp_2.png","SF6_Dee_Jay_5hp_hitbox_preview.png, SF6_Dee_Jay_5hp_hitbox_1.png, SF6_Dee_Jay_5hp_hitbox_2.png","The first 2 active frames are cancelable, can hit crouching, and force stand (important for [2]8HK combo routes); active frames 3-6 deal 100 less damage and have much longer range, but are not cancelable and whiff on crouching opponents (unless they extend a vertical hurtbox); much better frame advantage on a long-range connect (useful as a shimmy tool and punish starter); [4]6LP cancel: +5/-2; 236LK cancel: 0/-7"
4,Normals and Target Combos,ground_normal,dee_jay_5lk,5LK,Standing Light Kick,300,5,2,12,18,+2,-2,LH,Sp SA,14,,20% Starter,+6,-12,+5,+1,+6,+2,16,12,9,500,[2000],250,300 (210),150 (75),,,,1.239,,1,1,0,,,,SF6_Dee_Jay_5lk.png,SF6_Dee_Jay_5lk_hitbox.png,"Good buffer tool; combos into 236HK on hit, or 236KK on Punish Counter making it a useful 5f punish tool; [4]6LP cancel: -6/-10; 236LK cancel: -11/-15; DR cancel is delayed until after 2nd active frame"
5,Normals and Target Combos,ground_normal,dee_jay_5mk,5MK,Standing Medium Kick,600,9,3,16,27,+6,-1,LH,-,,,,+10,-17,,,+10,+3,25,18,11,4000,[6000],2000,700 (490),350 (175),,,,1.618,,1,1,0,,,,SF6_Dee_Jay_5mk.png,SF6_Dee_Jay_5mk_hitbox.png,Decent neutral poke that can lead to combos at close range
6,Normals and Target Combos,ground_normal,dee_jay_5hk,5HK,Standing Heavy Kick,800,12,3,22(26),36(40),+1,-5,LH,-,,,20% Starter,+18 Stagger,-23,,,+5,-1,26,20,13,6000,[8000],3000,1000 (700),500 (250),,,,1.939,,1,1,0,,,,SF6_Dee_Jay_5hk.png,SF6_Dee_Jay_5hk_hitbox.png,Great poke that leads to full Drive Rush conversions on Punish Counter (or a spinning limited juggle state on airborne Punish Counter); 4f extra recovery on whiff; extends a hurtbox 1f before active that is vulnerable to projectiles
7,Normals and Target Combos,ground_normal,dee_jay_2lp,2LP,Crouching Light Punch,300,5,3,8,15,+4,-1,LH,Chn Sp SA,13,,20% Starter,+8,-9,+5,0,+8,+3,15,10,9,500,[2000],250,300 (210),150 (75),,,,1.18,Slightly shorter than 5LK but better follow-ups,1,1,0,,,,SF6_Dee_Jay_2lp.png,SF6_Dee_Jay_2lp_hitbox.png,Chains into 5LP/2LP/2LK; [4]6LP cancel: -7/-12; 236LK cancel: -12/-17; topmost hurtbox on frames 1-7 is vulnerable only to aerial strikes (preventing its use as an anti-air)
8,Normals and Target Combos,ground_normal,dee_jay_2mp,2MP,Crouching Medium Punch,600,6,4,14(15),23(24),+5,-1,LH,Sp SA,19*,,,+9,-16,+13,+7,+9,+3,23,17,11,3000,[4000],1500,500 (350),250 (125),,,,1.225,,1,1,0,,,,SF6_Dee_Jay_2mp.png,SF6_Dee_Jay_2mp_hitbox.png,"1f extra recovery on whiff; good combo/buffer tool and meaty normal; good hitbox priority against low pokes; very long special hitconfirm window (but only 13f when canceling to 214MP or 16f into 236KK); when used out of Drive Rush, can link to 5HP on crouching opponents; [4]6LP cancel: +1/-5; 236LK cancel: -4/-10"
9,Normals and Target Combos,ground_normal,dee_jay_2hp,2HP,Crouching Heavy Punch,800,8,2,20,29,+6,-2,LH,-,,,,+12 Stagger,-20,,,+10,+2,28,20,13(20),4000,[10000],3000,1000 (700),500 (250),,,,1.449,,1,1,0,,,,SF6_Dee_Jay_2hp.png,SF6_Dee_Jay_2hp_hitbox.png,Forces Stand on hit (important combo starter for [2]8K routes); good combo/punish starter; Punish Counter vs. airborne causes limited juggle state and Hard Knockdown (but generally no juggle follow-up)
10,Normals and Target Combos,ground_normal,dee_jay_2lk,2LK,Crouching Light Kick,200,5,2,10,16,+2,-2,L,Chn,,,20% Starter,+6,-10,,,+6,+2,14,10,9,500,[2000],250,300 (210),150 (75),,,,1.22,,1,1,0,,,,SF6_Dee_Jay_2lk.png,SF6_Dee_Jay_2lk_hitbox.png,Chains into 5LP/2LP/2LK
11,Normals and Target Combos,ground_normal,dee_jay_2mk,2MK,Crouching Medium Kick,700,8,4,19,30,KD +29,-6,L,-,,,,HKD +29,-21,,,KD +29,-2,,17,11,4000,[6000],2000,600 (420),300 (150),,,,1.52,Faster/safer than traditional sweep,1,1,0,,,,SF6_Dee_Jay_2mk.png,SF6_Dee_Jay_2mk_hitbox.png,"Acts like a sweep, but safer (difficult for many characters to punish); HKD on Punish Counter only; good hitbox priority; has an extended hurtbox on whiff until the end of recovery"
12,Normals and Target Combos,ground_normal,dee_jay_2hk,2HK,Sliding Heel Kick,900,14,10,15,38,HKD +33(+42),-11(-2),L,-,,,,HKD +52(+61),-23(-14),,,HKD +33(+42),-7(+2),,14,13,4000,[10000],3000,1000 (700),500 (250),12-23 Air (Legs/Upper Body),,,2.186 (1.622),Slides forward; Range 1.62 on 1st active frame,1 air,1,0,,,,SF6_Dee_Jay_2hk.png,SF6_Dee_Jay_2hk_hitbox.png,"Can anti-air (solid hitbox, but slow startup); puts airborne opponents into limited juggle state (better juggle adv. on CH/PC)"
13,Normals and Target Combos,air_normal,dee_jay_jlp,j.LP,Jumping Light Punch,300,4,7,3 land,-,+4(+9),0(+5),H,-,,,,+8(+13),-7(-2),,,,,13,9,9,1500,[2000],500,300 (210),150 (75),,,,1.02,,1,1,0,,,,SF6_Dee_Jay_jlp.png,SF6_Dee_Jay_jlp_hitbox.png,Can be used as a fuzzy instant overhead
14,Normals and Target Combos,air_normal,dee_jay_jmp,j.MP,Jumping Medium Punch,700,6,4,3 land,-,+10(+11),+6(+7),H,TC,,,,+14(+15),-3(-2),,,,,15,11,11,2500,[4000],1000,500 (350),250 (125),,,,0.91,,1 air,10,2,,,,SF6_Dee_Jay_jmp.png,SF6_Dee_Jay_jmp_hitbox.png,"Puts airborne opponents into limited juggle state; can chain to j.HP for a spike knockdown (very lenient 25f cancel window); lower body projectile invuln 6-22f (if used immediately on the way up, can avoid the 2nd hit of JP's OD Amnesia bombs)"
15,Normals and Target Combos,air_normal,dee_jay_jhp,j.HP,Jumping Heavy Punch,800,9,6,3 land,-,+8(+15),+4(+11),H,-,,,,+12(+19),-9(-2),,,,,19,15,13,4000,[5000],2000,1000 (700),500 (250),,,,0.78,,1,1,0,,,,SF6_Dee_Jay_jhp.png,SF6_Dee_Jay_jhp_hitbox.png,Causes spike knockdown vs. airborne opponents; lower body projectile invuln 9-23f except around attack hitbox (cannot be used to avoid the 2nd hit of JP's OD Amnesia bombs)
16,Normals and Target Combos,air_normal,dee_jay_jlk,j.LK,Jumping Light Kick,300,4,6,3 land,-,+6(+9),+2(+5),H,-,,,,+10(+13),-5(-2),,,,,13,9,9,1500,[2000],500,300 (210),150 (75),,,,0.95,,1,1,0,,,,SF6_Dee_Jay_jlk.png,SF6_Dee_Jay_jlk_hitbox.png,Decent air-to-air normal
17,Normals and Target Combos,air_normal,dee_jay_jmk,j.MK,Jumping Medium Kick,500,8,6,3 land,-,+9(+13),+5(+9),H,-,,,,+13(+17),-6(-2),,,,,17,13,11,2500,[4000],1000,500 (350),250 (125),,,,1.35,,1,1,0,,,,SF6_Dee_Jay_jmk.png,SF6_Dee_Jay_jmk_hitbox.png,Cross-up; lower body projectile invuln 8-21f except around attack hitbox (cannot be used to avoid the 2nd hit of JP's OD Amnesia bombs)
