row_order,section,move_type,move_id,input,name,damage,startup,active,recovery,total,hit_advantage,block_advantage,guard,cancel,hitconfirm,chip,damage_scaling,punish_advantage,perfect_parry_advantage,drive_rush_cancel_on_hit,drive_rush_cancel_on_block,after_drive_rush_on_hit,after_drive_rush_on_block,hitstun,blockstun,hitstop,drive_damage_block,drive_damage_hit,drive_gain,super_gain_hit,super_gain_block,invuln,armor,airborne,attack_range,range_notes,juggle_start,juggle_increase,juggle_limit,projectile_speed,pushback_hit,pushback_block,images,hitboxes,notes
1,Normals and Target Combos,ground_normal,akuma_5lp,5LP,Standing Light Punch,300,4,3,7,13,+4,-1,LH,Chn Sp SA,13,,20% Starter,+8,-8,+4,-1,+8,+3,14,9,9,500,[2000],250,300 (210),150 (75),,,,1.02,,1,1,0,,0.364,0.378,SF6_Akuma_5lp.png,SF6_Akuma_5lp_hitbox.png,Chains into 5LP/2LP/2LK; fastest chain timing (more useful vs. DI)
2,Normals and Target Combos,ground_normal,akuma_5mp,5MP,Standing Medium Punch,600,6,4,11(13),20(22),+4,+1,LH,Sp SA TC,16,,,+8,-13,+9,+6,+8,+5,19,16,11,3000,[4000],1500,500 (350),250 (125),,,,0.95,,1,1,0,,,,SF6_Akuma_5mp.png,SF6_Akuma_5mp_hitbox.png,2f extra recovery on whiff; primary tool for block pressure (high active frame count makes it strong for oki); leads into much stronger combos on counter-hit
3,Normals and Target Combos,ground_normal,akuma_5hp,5HP,Standing Heavy Punch,800,9,5,18,31,+3,-3,LH,Sp SA,19,,,+7,-21,+14,+8,+7,+1,26,20,13,5000,[8000],2000,1000 (700),500 (250),,,,1.483,,1,1,0,,,,SF6_Akuma_5hp.png,SF6_Akuma_5hp_hitbox.png,Long-range hitconfirmable poke with a great hitbox; special/DR cancel is delayed until after 3rd active frame
4,Normals and Target Combos,ground_normal,akuma_5lk,5LK,Standing Light Kick,300,5,3,11,18,+2,-4,LH,Sp SA,13,,20% Starter,+6,-12,+4,-2,+6,0,16,10,9,500,[2000],250,300 (210),150 (75),,,,1.303,,1,1,0,,,,SF6_Akuma_5lk.png,SF6_Akuma_5lk_hitbox.png,"Good range for a light normal; useful in light confirms, punishes, and neutral buffers; DR cancel is delayed until after active frames"
5,Normals and Target Combos,ground_normal,akuma_5mk,5MK,Standing Medium Kick,700,7,5,15,26,+3,-3,LH,Sp SA TC,17 (15*),,,+7,-18,+13,+7,+7,+1,23,17,11,4000,[6000],2000,500 (350),250 (125),,,,1.23,,1,1,0,,,,SF6_Akuma_5mk.png,SF6_Akuma_5mk_hitbox.png,Forces stand (important for 214LK in combos and whiff punishes); high active frame count and good hitbox for counterpoking and for meaty pressure; only 15f to hitconfirm TC cancel without CH/PC/DR
6,Normals and Target Combos,ground_normal,akuma_5hk,5HK,Standing Heavy Kick,400x2,13(24),3(8)4,15(16),42(43),+7,+3(-13),LH,-,,,Combo (2 hits),+11,-17(-29),,,+11,+7(-9),37(26),33(22),"8(10),13",3000x2,[5000x2],1500x2,500x2 (350x2),250x2 (125x2),,,,2.532 (1.82),,"1,1 air","1,1","0,1",,,,"SF6_Akuma_5hk.png, SF6_Akuma_5hk_2.png","SF6_Akuma_5hk_hitbox_preview.png, SF6_Akuma_5hk_hitbox_1.png, SF6_Akuma_5hk_hitbox_2.png","2 hits; 1st hit forces stand (important for combos); both the 2nd hit and the farthest-reaching hitbox of 1st hit whiff on crouching opponents unless they extend a vertical hurtbox; if 1st hit is stand blocked, both hits will connect on block; 1f extra recovery when 2nd hit whiffs; Counter-hit/Punish Counter advantage carries through both hits; great punish starter since scaling doesn't apply; both hits put airborne opponents into limited juggle state"
7,Normals and Target Combos,ground_normal,akuma_2lp,2LP,Crouching Light Punch,300,4,2,9,14,+5,-1,LH,Chn Sp SA,13,,20% Starter,+9,-9,+5,-1,+9,+3,16,10,9,500,[2000],250,300 (210),150 (75),,,,1.00,,1,1,0,,0.383,0.341,SF6_Akuma_2lp.png,SF6_Akuma_2lp_hitbox.png,Chains into 5LP/2LP/2LK; Akuma's best light normal for combos due to 5LK link and 5MK counter-hit link; DR cancel is delayed until after active frames; topmost hurtbox on frames 1-5 is vulnerable only to aerial strikes (preventing its use as an anti-air)
8,Normals and Target Combos,ground_normal,akuma_2mp,2MP,Crouching Medium Punch,600,6,3,14(16),22(24),+6,-1,LH,Sp SA,16,,,+10,-15,+13,+6,+10,+3,23,16,11,3000,[4000],1500,500 (350),250 (125),,,,1.18,,1,1,0,,,,SF6_Akuma_2mp.png,SF6_Akuma_2mp_hitbox.png,"2f extra recovery on whiff; excellent button for combos, midscreen buffers, and Drive Rush pressure (more rewarding than 5MP); topmost hurtbox on frames 1-8 is vulnerable only to aerial strikes (preventing its use as an anti-air); extends a wider hurtbox until the end of recovery"
9,Normals and Target Combos,ground_normal,akuma_2hp,2HP,Crouching Heavy Punch,900,8,8,19,34,+1,-8,LH,Sp SA,17,,,+5,-25,+18,+9,+5,-4,28(27),19,13,6000,[8000],3000,1000 (700),500 (250),,,,0.90,,1,1,0,,,,SF6_Akuma_2hp.png,"SF6_Akuma_2hp_hitbox_preview.png, SF6_Akuma_2hp_hitbox_1.png, SF6_Akuma_2hp_hitbox_2.png, SF6_Akuma_2hp_hitbox_3.png","Forces stand (important combo/punish tool for 214LK); head/arm hurtbox is anti-air invuln while active on frames 8-15; good anti-air for vertical approaches but cannot hit cross-up (anti-air hitbox takes ~11f to come out, making it slower than average); only cancelable on active frames 1-3 with 1f extra hitstun on these frames"
10,Normals and Target Combos,ground_normal,akuma_2lk,2LK,Crouching Light Kick,200,5,2,10,16,+3,-3,L,Chn,,,20% Starter,+7,-10,,,+7,+1,15,9,9,500,[2000],250,300 (210),150 (75),,,,1.05,,1,1,0,,,,SF6_Akuma_2lk.png,SF6_Akuma_2lk_hitbox.png,Chains into 5LP/2LP/2LK
11,Normals and Target Combos,ground_normal,akuma_2mk,2MK,Crouching Medium Kick,500,8,3,19,29,0,-6,L,Sp SA,13,,20% Starter,+4,-20,+10,+4,+4,-2,22,16,9,2000,[4000],1000,500 (350),250 (125),,,,1.473,,1,1,0,,,,SF6_Akuma_2mk.png,SF6_Akuma_2mk_hitbox.png,Extends a wide hurtbox 3f before startup and during recovery; special/DR cancel is delayed until after active frames; DI cancel can occur on 1st active frame
12,Normals and Target Combos,ground_normal,akuma_2hk,2HK,Low Cutter,900,9,3,23(29),34(38),KD +40(+37),-12,L,-,,,,HKD +47,-28,,,KD +40(+37),-8,,18,13,4000,[10000],3000,1000 (700),500 (250),,,,1.783,Moves forward during animation,1,1,2,,,,SF6_Akuma_2hk.png,SF6_Akuma_2hk_hitbox.png,"6f extra recovery on block; good range and hitbox priority; has some juggle potential (no Hard Knockdown when juggled into); KD +37 when juggled into (like after 214LK); on block, always plays out a fixed 29f recovery (cannot be made safer with meaty timing)"
13,Normals and Target Combos,air_normal,akuma_jlp,j.LP,Jumping Light Punch,300,4,10,3 land,,+4(+9),0(+5),H,-,,,,+8(+13),-7(-2),,,,,13,9,9,1500,[2000],500,300 (210),150 (75),,,,0.80,,1,1,0,,,,SF6_Akuma_jlp.png,SF6_Akuma_jlp_hitbox.png,Fast air-to-air; can be used as a fuzzy instant overhead
14,Normals and Target Combos,air_normal,akuma_jmp,j.MP,Jumping Medium Punch,700,8,4,3 land,,+9(+11),+5(+7),H,Sp SA1,,,,+13(+15),-4(-2),,,,,15,11,11,2500,[4000],1000,500 (350),250 (125),,,,0.97,,1,1,0,,,,SF6_Akuma_jmp.png,SF6_Akuma_jmp_hitbox.png,Puts airborne opponents into limited juggle state but no juggle potential on its own; lenient cancel window to juggle into j.214K/j.236P/Air SA1; lower body projectile invuln 8-23f (cannot be used to avoid the 2nd hit of JP's OD Amnesia bombs)
