row_order,section,move_type,move_id,input,name,damage,startup,active,recovery,total,hit_advantage,block_advantage,guard,cancel,hitconfirm,chip,damage_scaling,punish_advantage,perfect_parry_advantage,drive_rush_cancel_on_hit,drive_rush_cancel_on_block,after_drive_rush_on_hit,after_drive_rush_on_block,hitstun,blockstun,hitstop,drive_damage_block,drive_damage_hit,drive_gain,super_gain_hit,super_gain_block,invuln,armor,airborne,attack_range,range_notes,juggle_start,juggle_increase,juggle_limit,projectile_speed,pushback_hit,pushback_block,images,hitboxes,notes
1,Normals and Target Combos,ground_normal,guile_5lp,5LP,Standing Light Punch,300,5,3,7,14,+4,-2,LH,Chn Sp SA,13,,20% Starter,+8,-8,+4,-2,+8,+2,14,8,9,500,[2000],250,300 (210),150 (75),,,,1.07,Slightly more range than 2LP while still allowing link to 5HP,1,1,0,,,,SF6_Guile_5LP.png,SF6_Guile_5lp_hitbox.png,Chains into 5LP/2LP/2LK; SA2 cancel: +7/+1
2,Normals and Target Combos,ground_normal,guile_5mp,5MP,Standing Medium Punch,600,7,3,15,24,+6,0,LH,Sp SA TC,15 (17 TC),,,+10,-16,+14,+8,+10,+4,24,18,11,3000,[4000],1500,500 (350),250 (125),,,,0.94,,1,1,0,,,,SF6_Guile_5MP.png,SF6_Guile_5mp_hitbox.png,"Main combo starter, can chain into 4HP Target Combo; SA2 cancel: +17/+11"
3,Normals and Target Combos,ground_normal,guile_5hp,5HP,Standing Heavy Punch,900,7,3,23,32,-1,-6,LH,Sp SA,17,,20% Starter,+14 Stagger,-24,+15,+10,+3,-2,25,20,13,5000,[8000],2000,1000 (700),500 (250),,,,1.408 (1.251),,1,1,0,,,,SF6_Guile_5HP.png,"SF6_Guile_5hp_hitbox_preview.png, SF6_Guile_5hp_hitbox_1.png, SF6_Guile_5hp_hitbox_2.png",Stagger effect makes it useful as a whiff punish; extends a hurtbox 1f before active that is vulnerable to projectiles; SA2 cancel: +18/+13
4,Normals and Target Combos,ground_normal,guile_5lk,5LK,Standing Light Kick,300,5,2,12,18,+3,-1,LH,Sp SA,12 (DR: 13),,20% Starter,+7,-12,+5,+1,+7,+3,17,13,9,500,[2000],250,300 (210),150 (75),,,,1.27,,1,1,0,,,,SF6_Guile_5LK.png,SF6_Guile_5lk_hitbox.png,"Decent range light poke, but must let go of back charge before LK input making the execution a bit harder; SA2 cancel: +10/+6; DR cancel is delayed until after 1st recovery frame"
5,Normals and Target Combos,ground_normal,guile_5mk,5MK,Standing Medium Kick,700,7,5,18,29,+1,-4,LH,-,,,,+5,-21,,,+5,0,24,19,11,4000,[6000],2000,700 (490),350 (175),,,,1.436,,1,1,0,,,,SF6_Guile_5MK.png,SF6_Guile_5mk_hitbox.png,Solid anti-air
6,Normals and Target Combos,ground_normal,guile_5hk,5HK,Standing Heavy Kick,800,13,3,21,36,+4,-4,LH,SA,17,,20% Starter,+8,-22,,,+8,0,28,20,13,6000,[10000],3000,1000 (700),500 (250),,,,1.906,,1,1,1,,,,SF6_Guile_5HK.png,SF6_Guile_5hk_hitbox.png,"SA2 cancel: +21/+13; can link into 2LP at point blank, 2MP on close range Counter-hit, or 5HP on mid-range Punish Counter"
7,Normals and Target Combos,ground_normal,guile_2lp,2LP,Crouching Light Punch,300,4,3,8,14,+5,-2,LH,Chn Sp SA,13,,20% Starter,+9,-9,+4,-3,+9,+2,16,9,9,500,[2000],250,300 (210),150 (75),,,,1.03,,1,1,0,,0.468,0.389,SF6_Guile_2LP.png,SF6_Guile_2lp_hitbox.png,Chains into 5LP/2LP/2LK; SA2 cancel: +9/+2; DR cancel is delayed until after active frames; topmost hurtbox on frames 1-6 is vulnerable only to aerial strikes (preventing its use as an anti-air)
8,Normals and Target Combos,ground_normal,guile_2mp,2MP,Crouching Medium Punch,600,6,3,13(16),21(24),+4,-2,LH,Sp SA TC,15 (16 TC),,,+8,-14,+10,+4,+8,+2,20,14,11,3000,[4000],1500,500 (350),250 (125),,,,1.22,,1,1,0,,,,SF6_Guile_2MP.png,SF6_Guile_2mp_hitbox.png,3f extra recovery on whiff; low pushback on hit; chains into itself for a launching Target Combo; has an extended hurtbox on whiff until the end of recovery; SA2 cancel: +13/+7; topmost hurtbox on frames 1-8 is vulnerable only to aerial strikes (preventing its use as an anti-air)
9,Normals and Target Combos,ground_normal,guile_2hp,2HP,Crouching Heavy Punch,900,9,5,20,33,0,-9,LH,Sp SA,15,,,+4,-23,+15,+6,+4,-5,25,16,13,6000,[10000],3000,1000 (700),500 (250),,,,0.91,,1,1,0,,,,SF6_Guile_2HP.png,"SF6_Guile_2hp_hitbox_preview.png, SF6_Guile_2hp_hitbox_1.png, SF6_Guile_2hp_hitbox_2.png",Good vertical anti-air (cannot hit cross-up); forces stand on hit (useful to create consistent spacing in Sonic Boom loops); SA2 cancel: +18/+9
10,Normals and Target Combos,ground_normal,guile_2lk,2LK,Crouching Light Kick,200,5,2,12,18,+1,-3,L,Chn,,,20% Starter,+5,-12,,,+5,+1,15,11,9,500,[2000],250,300 (210),150 (75),,,,1.17,,1,1,0,,,,SF6_Guile_2LK.png,SF6_Guile_2lk_hitbox.png,Chains into 5LP/2LP/2LK
