row_order,section,move_type,move_id,input,name,damage,startup,active,recovery,total,hit_advantage,block_advantage,guard,cancel,hitconfirm,chip,damage_scaling,punish_advantage,perfect_parry_advantage,drive_rush_cancel_on_hit,drive_rush_cancel_on_block,after_drive_rush_on_hit,after_drive_rush_on_block,hitstun,blockstun,hitstop,drive_damage_block,drive_damage_hit,drive_gain,super_gain_hit,super_gain_block,invuln,armor,airborne,attack_range,range_notes,juggle_start,juggle_increase,juggle_limit,projectile_speed,pushback_hit,pushback_block,images,hitboxes,notes
71,Taunts,taunt,ingrid_5pppkkk,5PPPKKK,Neutral Taunt,-,1540 (total),-,-,1540,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SF6_Ingrid_5pppkkk.png,,"""Ahhh, time for a break I guess. Hmm? You too little one? Oh, you're such a little nice Monoid. Yes you are, yes you are, yes you are! See ya later!"""
72,Taunts,taunt,ingrid_6pppkkk,6PPPKKK,Forward Taunt,0,382(583),4,205,583(590),KD -99,-189,LH,-,,,,KD -95,-207,,,,,,20,3,,,,,,,,,,,,,,,,,SF6_Ingrid_6pppkkk.png,,"""My power howls! Face me! Just kidding.""; if opponent stands directly in front of Ingrid, she performs an attack that deals 0 damage but grants full Super gauge to the opponent on hit/block/parry; references M. Bison's back taunt"
73,Taunts,taunt,ingrid_4pppkkk,4PPPKKK,Back Taunt,-,425(914) (total),-,-,425(914),-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SF6_Ingrid_4pppkkk.png,,"""Oop, I forgot I have an urgent matter. You, babysit this one for a while.""; summons a controllable Monoid that cannot block and has access to 5 attacks; LP or LK is a divekick-like move that hits low, MP or MK is an overhead, HP or HK is a high strike, HP+HK performs a beam attack, and any button in the air performs an aerial strike; the Monoid is fully controllable mid-air; Ingrid comes back if the Monoid is hit or after not moving for ? frames; when Ingrid returns after standing idle and high fives the Monoid, input LP~LP~4~LK~HK (Modern: L~L~4~M~H) to absorb the Monoid and transform into a more powerful version (""Shin Ingrid""); this transformation also fully heals Ingrid, fills her Super gauge, and grants 4 Sun Crests; Shin Ingrid gains access to 2 new Hidden Art special moves (22PPP and 214214K) and a new SA2 (360+KK)"
74,Taunts,taunt,ingrid_2pppkkk,2PPPKKK,Down Taunt,-,123 (total),-,-,123,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SF6_Ingrid_2pppkkk.png,,"""You're done!"""
75,Specials,special,ingrid_22ppp,22PPP,Big Laser?,5000,61,50,25,135,KD +48,-14,LH,-,,2500,,KD +48,+101,,,,,,61 total,"1x15,0(8)",1000x16,,,300x16 (240x16),150x16 (75x16),,,,,,1,1x16,99,,,,SF6_Ingrid_22ppp.png,SF6_Ingrid_22ppp_hitbox.png,Shin Ingrid only; tall 16-hit beam projectile that reaches fullscreen; expands forward during the first 4 active frames before reaching full range on the 5th active frame; most/all hits will connect even if opponent falls into the late active frames; chip damage deals 50% of its base damage rather than the usual 25%
76,Specials,special,ingrid_214214k,214214K,Burnout Attack?,900x2,27,7,25,58,KD +27,-15,LH,-,,225,,KD +27,-30,,,,,,17,"3,18 (13)",4000,30000x2,2000x2,1000x2 (700x2),500 (250),,6-33; Break,,2.37 (1.87),,1,"1,1","10,10",,,,SF6_Ingrid_214214k.png,SF6_Ingrid_214214k_hitbox.png,Shin Ingrid only; immediately puts the opponent into Burnout on hit; cannot be canceled into from normals; hits twice on hit or once on block
77,Supers,super,ingrid_360kk,360+KK,Sun Octopus?,3500,6+0,2,101,108,HKD +36,-,T,-,,,40% Minimum; 10% Immediate,HKD +36,,,,,,,,,,10000,,-20000,,1-7 Full,,,1.225,,,,,,,,SF6_Ingrid_360kk.png,SF6_Ingrid_360kk_hitbox.png,Shin Ingrid only; command grab Super; opponent cannot jump after the freeze; can be comboed into on grounded opponents; cinematic time regenerates ~1.6 Drive bars for Ingrid
78,Specials,special,ingrid_monoid_l,LP or LK,Monoid Low Dive,300x3,38,"3,3,3",53,99,KD +8,-40,L,-,,,,KD +8,-53,,,,,,16x3 (22 total),"6,6,6",3000x3,[4000],1500x3,500x3 (350x3),250x3 (125x3),,,,1.48 (0.94),,1,1,0,,,,SF6_ingrid_monoid_l.png,SF6_ingrid_monoid_l_hitbox.png,Requires summoning the Monoid with Ingrid's Back Taunt; 3 hits (all hit low despite the divekick-like animation); can hold forward to steer and increase the attack's range; Modern Controls: L
79,Specials,special,ingrid_monoid_m,MP or MK,Monoid Overhead Hammer,600,37,2,41,79,KD +5,-27,H,-,,,,KD +5,-41,,,,,,16,11,3000,[4000],1500,500 (250),350 (125),,,,1.52 (0.98),,1,1,0,,,,SF6_ingrid_monoid_m.png,SF6_ingrid_monoid_m_hitbox.png,Requires summoning the Monoid with Ingrid's Back Taunt; can hold forward to steer and increase the attack's range; knocks down on grounded opponents and resets airborne opponents; Modern Controls: M
80,Specials,special,ingrid_monoid_h,HP or HK,Monoid Star Thrust,600,30,2,28,59,KD +31,-14,LH,-,,,,KD +31,-28,,,,,,16,11,3000,[4000],1500,500 (250),350 (125),,,,1.64 (1.01),,1,1,0,,,,SF6_ingrid_monoid_h.png,SF6_ingrid_monoid_h_hitbox.png,Requires summoning the Monoid with Ingrid's Back Taunt; can hold forward to steer and increase the attack's range; knocks down on grounded opponents and resets airborne opponents; Modern Controls: H
