official_row_order,official_category,official_move_name,official_input_display,official_input_signature,official_input_family,startup,active,recovery,damage,on_hit,on_block,cancel,match_status,match_method,candidate_count,supercombo_move_id,supercombo_move_type,supercombo_input,supercombo_name,supercombo_startup,supercombo_active,supercombo_recovery,supercombo_hit_advantage,supercombo_block_advantage,supercombo_cancel,supercombo_damage,field_comparisons_json
1,通常技,立ち弱P（ノーシ）,icon_punch_l 弱,5LP,5LP,6,6-8,10,300,4,-2,C,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,jp_5lp,ground_normal,5LP,Standing Light Punch,6,3,10,+4,-2,Chn Sp SA,300,"{""active_duration"": {""match"": true, ""official"": ""3"", ""supercombo"": ""3""}, ""damage"": {""match"": true, ""official"": ""300"", ""supercombo"": ""300""}, ""recovery"": {""match"": true, ""official"": ""10"", ""supercombo"": ""10""}, ""startup"": {""match"": true, ""official"": ""6"", ""supercombo"": ""6""}}"
2,通常技,立ち弱K（ニージニイ・ウダール）,icon_kick_l 弱,5LK,5LK,5,5-7,11,300,3,-2,C,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,jp_5lk,ground_normal,5LK,Standing Light Kick,5,3,11,+3,-2,Sp SA,300,"{""active_duration"": {""match"": true, ""official"": ""3"", ""supercombo"": ""3""}, ""damage"": {""match"": true, ""official"": ""300"", ""supercombo"": ""300""}, ""recovery"": {""match"": true, ""official"": ""11"", ""supercombo"": ""11""}, ""startup"": {""match"": true, ""official"": ""5"", ""supercombo"": ""5""}}"
3,通常技,立ち中P（シュトゥールム）,icon_punch_m 中,5MP,5MP,12,12-14,21,700,1,-6,※,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,jp_5mp,ground_normal,5MP,Standing Medium Punch,12,3,21,+1,-6,-,700,"{""active_duration"": {""match"": true, ""official"": ""3"", ""supercombo"": ""3""}, ""damage"": {""match"": true, ""official"": ""700"", ""supercombo"": ""700""}, ""recovery"": {""match"": true, ""official"": ""21"", ""supercombo"": ""21""}, ""startup"": {""match"": true, ""official"": ""12"", ""supercombo"": ""12""}}"
4,通常技,立ち中K（ウームヌィ・ウダール）,icon_kick_m 中,5MK,5MK,8,8-10,19,600,3,-3,C,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,jp_5mk,ground_normal,5MK,Standing Medium Kick,8,3,19,+3,-3,Sp SA,600,"{""active_duration"": {""match"": true, ""official"": ""3"", ""supercombo"": ""3""}, ""damage"": {""match"": true, ""official"": ""600"", ""supercombo"": ""600""}, ""recovery"": {""match"": true, ""official"": ""19"", ""supercombo"": ""19""}, ""startup"": {""match"": true, ""official"": ""8"", ""supercombo"": ""8""}}"
5,通常技,立ち強P（キンターヴル）,icon_punch_h 強,5HP,5HP,12,12-13,22,800,3,-3,C,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,jp_5hp,ground_normal,5HP,Standing Heavy Punch,12,2,22,+3,-3,Sp SA,800,"{""active_duration"": {""match"": true, ""official"": ""2"", ""supercombo"": ""2""}, ""damage"": {""match"": true, ""official"": ""800"", ""supercombo"": ""800""}, ""recovery"": {""match"": true, ""official"": ""22"", ""supercombo"": ""22""}, ""startup"": {""match"": true, ""official"": ""12"", ""supercombo"": ""12""}}"
6,通常技,立ち強K（オボロートニ）,icon_kick_h 強,5HK,5HK,12,12-15,17,800,7,2,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,jp_5hk,ground_normal,5HK,Standing Heavy Kick,12,4,17,+7,+2,TC,800,"{""active_duration"": {""match"": true, ""official"": ""4"", ""supercombo"": ""4""}, ""damage"": {""match"": true, ""official"": ""800"", ""supercombo"": ""800""}, ""recovery"": {""match"": true, ""official"": ""17"", ""supercombo"": ""17""}, ""startup"": {""match"": true, ""official"": ""12"", ""supercombo"": ""12""}}"
7,通常技,しゃがみ弱P（ブィストルイ・ウダール）,key-d key-plus icon_punch_l 弱,2LP,2LP,4,4-5,11,300,4,-1,C,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,jp_2lp,ground_normal,2LP,Crouching Light Punch,4,2,11,+4,-1,Chn Sp SA,300,"{""active_duration"": {""match"": true, ""official"": ""2"", ""supercombo"": ""2""}, ""damage"": {""match"": true, ""official"": ""300"", ""supercombo"": ""300""}, ""recovery"": {""match"": true, ""official"": ""11"", ""supercombo"": ""11""}, ""startup"": {""match"": true, ""official"": ""4"", ""supercombo"": ""4""}}"
8,通常技,しゃがみ弱K（リョーフキー・ウダール）,key-d key-plus icon_kick_l 弱,2LK,2LK,6,6-7,10,200,2,-2,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,jp_2lk,ground_normal,2LK,Crouching Light Kick,6,2,10,+2,-2,Chn,200,"{""active_duration"": {""match"": true, ""official"": ""2"", ""supercombo"": ""2""}, ""damage"": {""match"": true, ""official"": ""200"", ""supercombo"": ""200""}, ""recovery"": {""match"": true, ""official"": ""10"", ""supercombo"": ""10""}, ""startup"": {""match"": true, ""official"": ""6"", ""supercombo"": ""6""}}"
9,通常技,しゃがみ中P（ズミヤー）,key-d key-plus icon_punch_m 中,2MP,2MP,7,7-10,14,600,6,-2,C,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,jp_2mp,ground_normal,2MP,Crouching Medium Punch,7,4,14,+6,-2,Sp SA,600,"{""active_duration"": {""match"": true, ""official"": ""4"", ""supercombo"": ""4""}, ""damage"": {""match"": true, ""official"": ""600"", ""supercombo"": ""600""}, ""recovery"": {""match"": true, ""official"": ""14"", ""supercombo"": ""14""}, ""startup"": {""match"": true, ""official"": ""7"", ""supercombo"": ""7""}}"
10,通常技,しゃがみ中K（ズローバ）,key-d key-plus icon_kick_m 中,2MK,2MK,9,9-11,17,700,3,-3,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,jp_2mk,ground_normal,2MK,Crouching Medium Kick,9,3,17,+3,-3,-,700,"{""active_duration"": {""match"": true, ""official"": ""3"", ""supercombo"": ""3""}, ""damage"": {""match"": true, ""official"": ""700"", ""supercombo"": ""700""}, ""recovery"": {""match"": true, ""official"": ""17"", ""supercombo"": ""17""}, ""startup"": {""match"": true, ""official"": ""9"", ""supercombo"": ""9""}}"
11,通常技,しゃがみ強P（マリートヴァ）,key-d key-plus icon_punch_h 強,2HP,2HP,9,9-14,20,800,1,-6,C,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,jp_2hp,ground_normal,2HP,Crouching Heavy Punch,9,6,20,+1,-6,Sp SA,800,"{""active_duration"": {""match"": true, ""official"": ""6"", ""supercombo"": ""6""}, ""damage"": {""match"": true, ""official"": ""800"", ""supercombo"": ""800""}, ""recovery"": {""match"": true, ""official"": ""20"", ""supercombo"": ""20""}, ""startup"": {""match"": true, ""official"": ""9"", ""supercombo"": ""9""}}"
12,通常技,しゃがみ強K（ジョーキル）,key-d key-plus icon_kick_h 強,2HK,2HK,10,10-12,21,900,D,-6,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,jp_2hk,ground_normal,2HK,Crouching Heavy Kick,10,3,21,KD +27,-6,-,900,"{""active_duration"": {""match"": true, ""official"": ""3"", ""supercombo"": ""3""}, ""damage"": {""match"": true, ""official"": ""900"", ""supercombo"": ""900""}, ""recovery"": {""match"": true, ""official"": ""21"", ""supercombo"": ""21""}, ""startup"": {""match"": true, ""official"": ""10"", ""supercombo"": ""10""}}"
13,通常技,ジャンプ弱P（ルイースイ）,（ジャンプ中に） icon_punch_l 弱,j.LP,j.LP,5,5-14,着地後3,300,,,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+damage_match,1,jp_jlp,air_normal,j.LP,Jumping Light Punch,5,10,3 land,+8(+9),+4(+5),-,300,"{""active_duration"": {""match"": true, ""official"": ""10"", ""supercombo"": ""10""}, ""damage"": {""match"": true, ""official"": ""300"", ""supercombo"": ""300""}, ""startup"": {""match"": true, ""official"": ""5"", ""supercombo"": ""5""}}"
14,通常技,ジャンプ弱K（ヴァローナ）,（ジャンプ中に） icon_kick_l 弱,j.LK,j.LK,6,6-13,着地後3,300,,,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+damage_match,1,jp_jlk,air_normal,j.LK,Jumping Light Kick,6,8,3 land,+4(+10),+1(+7),-,300,"{""active_duration"": {""match"": true, ""official"": ""8"", ""supercombo"": ""8""}, ""damage"": {""match"": true, ""official"": ""300"", ""supercombo"": ""300""}, ""startup"": {""match"": true, ""official"": ""6"", ""supercombo"": ""6""}}"
15,通常技,ジャンプ中P（ローシャッチ）,（ジャンプ中に） icon_punch_m 中,j.MP,j.MP,12,12-14,着地後3,700,,,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+damage_match,1,jp_jmp,air_normal,j.MP,Jumping Medium Punch,12,3,3 land,+12(+13),+8(+9),-,700,"{""active_duration"": {""match"": true, ""official"": ""3"", ""supercombo"": ""3""}, ""damage"": {""match"": true, ""official"": ""700"", ""supercombo"": ""700""}, ""startup"": {""match"": true, ""official"": ""12"", ""supercombo"": ""12""}}"
16,通常技,ジャンプ中K（コンダ）,（ジャンプ中に） icon_kick_m 中,j.MK,j.MK,7,7-12,着地後3,600,,,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+damage_match,1,jp_jmk,air_normal,j.MK,Jumping Medium Kick,7,6,3 land,+9(+13),+5(+9),-,600,"{""active_duration"": {""match"": true, ""official"": ""6"", ""supercombo"": ""6""}, ""damage"": {""match"": true, ""official"": ""600"", ""supercombo"": ""600""}, ""startup"": {""match"": true, ""official"": ""7"", ""supercombo"": ""7""}}"
17,通常技,ジャンプ強P（イディナローク）,（ジャンプ中に） icon_punch_h 強,j.HP,j.HP,9,9-13,着地後3,800,,,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+damage_match,1,jp_jhp,air_normal,j.HP,Jumping Heavy Punch,9,5,3 land,+9(+15),+5(+11),-,800,"{""active_duration"": {""match"": true, ""official"": ""5"", ""supercombo"": ""5""}, ""damage"": {""match"": true, ""official"": ""800"", ""supercombo"": ""800""}, ""startup"": {""match"": true, ""official"": ""9"", ""supercombo"": ""9""}}"
18,通常技,ジャンプ強K（ジャール・プチーツァ）,（ジャンプ中に） icon_kick_h 強,j.HK,j.HK,11,11-16,着地後3,800,,,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+damage_match,1,jp_jhk,air_normal,j.HK,Jumping Heavy Kick,11,6,3 land,+9(+15),+5(+11),-,800,"{""active_duration"": {""match"": true, ""official"": ""6"", ""supercombo"": ""6""}, ""damage"": {""match"": true, ""official"": ""800"", ""supercombo"": ""800""}, ""startup"": {""match"": true, ""official"": ""11"", ""supercombo"": ""11""}}"
