row_order,section,move_type,move_id,input,name,damage,startup,active,recovery,total,hit_advantage,block_advantage,guard,cancel,hitconfirm,chip,damage_scaling,punish_advantage,perfect_parry_advantage,drive_rush_cancel_on_hit,drive_rush_cancel_on_block,after_drive_rush_on_hit,after_drive_rush_on_block,hitstun,blockstun,hitstop,drive_damage_block,drive_damage_hit,drive_gain,super_gain_hit,super_gain_block,invuln,armor,airborne,attack_range,range_notes,juggle_start,juggle_increase,juggle_limit,projectile_speed,pushback_hit,pushback_block,images,hitboxes,notes
1,Normals and Target Combos,ground_normal,jp_5lp,5LP,Standing Light Punch,300,6,3,10,18,+4,-2,LH,Chn Sp SA,13,,20% Starter,+8,-11,+6,0,+8,+2,17,11,9,500,[2000],250,300 (210),150 (75),,,,1.22,,1,1,0,,,,SF6_JP_5lp.png,SF6_JP_5lp_hitbox.png,Chains into 5LP/2LP/2LK; DR cancel is delayed until after 2nd active frame
2,Normals and Target Combos,ground_normal,jp_5mp,5MP,Standing Medium Punch,700,12,3,21,35,+1,-6,LH,-,15 (214HP),,,+5,-22,,,+5,-2,25,18,11,4000,[6000],3000,500 (250),350 (125),,,,1.90,,1,1,0,,,,SF6_JP_5mp.png,SF6_JP_5mp_hitbox.png,Long-range poke with great hitbox priority; cancelable into 214HP projectile when Departure portal is active
3,Normals and Target Combos,ground_normal,jp_5hp,5HP,Standing Heavy Punch,800,12,2,22,35,+3,-3,LH,Sp SA,16 (23 PC),,20% Starter,+25 Stagger,-22,+17,+11,+7,+1,27,21,13 (20 PC),5000,[8000],2000,1000 (700),500 (250),,,,1.58,,1,4,4,,,,SF6_JP_5hp.png,SF6_JP_5hp_hitbox.png,"JP's main combo/juggle/punish tool (essentially a cancelable version of 5MP with less range); Punish Counter allows a 1-bar Drive Rush follow-up, or a cancel into 214PP with enough frame advantage to link 2MP afterwards; has juggle potential even without Drive Rush; puts airborne opponents into a limited juggle state; extends a large hurtbox 1f before active that is vulnerable to projectiles; hurtbox is extended horizontally during all active and recovery frames for easier whiff punishability"
4,Normals and Target Combos,ground_normal,jp_5lk,5LK,Standing Light Kick,300,5,3,11,18,+3,-2,LH,Sp SA,13,,20% Starter,+7,-12,+6,+1,+7,+2,17,12,9,500,[2000],250,300 (210),150 (75),,,,1.12,JP's longest range 5f punish (among the shortest in the game),1,1,0,,,,SF6_JP_5lk.png,SF6_JP_5lk_hitbox.png,DR cancel is delayed until after 2nd active frame
5,Normals and Target Combos,ground_normal,jp_5mk,5MK,Standing Medium Kick,600,8,3,19,29,+3,-3,LH,Sp SA,15,,,+7,-20,+13,+7,+7,+1,25,19,11,3000,[4000],1500,500 (250),350 (125),,,,1.47,,1,1,0,,,,SF6_JP_5mk.png,SF6_JP_5mk_hitbox.png,Cancelable poke and combo tool; special/DR cancel is delayed until after active frames; foot hurtbox does not extend until frame 11 (useful vs. low pokes)
6,Normals and Target Combos,ground_normal,jp_5hk,5HK,Standing Heavy Kick,800,12,4,17,32,+7,+2,LH,TC,18 TC / 214HP,,,+11,-19,,,+11,+6,28,23,13,4000,[10000],3000,1000 (700),500 (250),"9-15 Air (Head), 12-17 Air (Leg)",,,1.62,,1,1,0,,,,SF6_JP_5hk.png,SF6_JP_5hk_hitbox.png,Useful anti-air and combo/pressure starter with a confirmable Target Combo follow-up; whiffs on crouching opponents from farther away unless they extend a vertical hurtbox; pushback on block keeps JP out of throw range even after Drive Rush; cancelable into 214HP projectile when Departure portal is active
7,Normals and Target Combos,ground_normal,jp_2lp,2LP,Crouching Light Punch,300,4,2,11,16,+4,-1,LH,Chn Sp SA,12,,20% Starter,+8,-11,+6,+1,+8,+3,17,12,9,500,[2000],250,300 (210),150 (75),,,,1.07,,1,1,0,,0.371,0.325,SF6_JP_2lp.png,SF6_JP_2lp_hitbox.png,"Chains into 5LP/2LP/2LK; JP's only 4f normal, making it an important defensive option; DR cancel is delayed until after 2nd active frame; topmost hurtbox on frames 1-5 is vulnerable only to aerial strikes (preventing its use as an anti-air)"
8,Normals and Target Combos,ground_normal,jp_2mp,2MP,Crouching Medium Punch,600,7,4,14,24,+6,-2,LH,Sp SA,16,,,+10,-16,+11,+3,+10,+2,24,16,11,3000,[4000],1500,500 (250),350 (125),,,,1.22,,1,1,0,,,,SF6_JP_2mp.png,SF6_JP_2mp_hitbox.png,Good poke and combo/buffer tool; special/DR cancel is delayed until after active frames; has an extended hurtbox on whiff until the end of recovery; topmost hurtbox on frames 1-10 is vulnerable only to aerial strikes (preventing its use as an anti-air)
9,Normals and Target Combos,ground_normal,jp_2hp,2HP,Crouching Heavy Punch,800,9,6,20,34,+1,-6,LH,Sp SA,20,,,+5,-24,+17,+10,+5,-2,27,20,13,5000,[8000],2000,1000 (700),500 (250),,,,0.87,,1,4,6,,,,SF6_JP_2hp.png,"SF6_JP_2hp_hitbox_preview.png, SF6_JP_2hp_hitbox_1.png, SF6_JP_2hp_hitbox_2.png","Solid anti-air but cannot hit cross-up; arm hurtbox is anti-air invuln on active frames 2-6; very short horizontal range; fastest of JP's heavy normals, making it useful in some Drive Rush combo routes; high juggle potential even without Drive Rush"
10,Normals and Target Combos,ground_normal,jp_2lk,2LK,Crouching Light Kick,200,6,2,10,17,+2,-2,L,Chn,12 (214HP),,20% Starter,+6,-10,,,+6,+2,14,10,9,500,[2000],250,300 (210),150 (75),,,,1.19,,1,1,0,,,,SF6_JP_2lk.png,SF6_JP_2lk_hitbox.png,Chains into 5LP/2LP/2LK; cancelable into 214HP projectile when Departure portal is active
