official_row_order,official_category,official_move_name,official_input_display,official_input_signature,official_input_family,startup,active,recovery,damage,on_hit,on_block,cancel,match_status,match_method,candidate_count,supercombo_move_id,supercombo_move_type,supercombo_input,supercombo_name,supercombo_startup,supercombo_active,supercombo_recovery,supercombo_hit_advantage,supercombo_block_advantage,supercombo_cancel,supercombo_damage,field_comparisons_json
1,通常技,立ち弱P（裏拳）,icon_punch_l 弱,5LP,5LP,5,5-6,8,270,5,-2,C,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,kimberly_5lp,ground_normal,5LP,Standing Light Punch,5,2,8,+5,-2,Chn Sp SA TC,270,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""2"", ""official_raw"": ""5-6"", ""supercombo"": ""2"", ""supercombo_raw"": ""2""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""270"", ""official_raw"": ""270"", ""supercombo"": ""270"", ""supercombo_raw"": ""270""}, ""recovery"": {""comparable"": true, ""match"": true, ""official"": ""8"", ""official_raw"": ""8"", ""supercombo"": ""8"", ""supercombo_raw"": ""8""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""5"", ""official_raw"": ""5"", ""supercombo"": ""5"", ""supercombo_raw"": ""5""}}"
2,通常技,立ち弱K（抜刀蹴）,icon_kick_l 弱,5LK,5LK,5,5-7,11,270,1,-3,C,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,kimberly_5lk,ground_normal,5LK,Standing Light Kick,5,3,11,+1,-3,Sp SA,270,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""3"", ""official_raw"": ""5-7"", ""supercombo"": ""3"", ""supercombo_raw"": ""3""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""270"", ""official_raw"": ""270"", ""supercombo"": ""270"", ""supercombo_raw"": ""270""}, ""recovery"": {""comparable"": true, ""match"": true, ""official"": ""11"", ""official_raw"": ""11"", ""supercombo"": ""11"", ""supercombo_raw"": ""11""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""5"", ""official_raw"": ""5"", ""supercombo"": ""5"", ""supercombo_raw"": ""5""}}"
3,通常技,立ち中P（胴突き）,icon_punch_m 中,5MP,5MP,6,6-8,18,540,3,-2,C,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,kimberly_5mp,ground_normal,5MP,Standing Medium Punch,6,3,18,+3,-2,Sp SA TC,540,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""3"", ""official_raw"": ""6-8"", ""supercombo"": ""3"", ""supercombo_raw"": ""3""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""540"", ""official_raw"": ""540"", ""supercombo"": ""540"", ""supercombo_raw"": ""540""}, ""recovery"": {""comparable"": true, ""match"": true, ""official"": ""18"", ""official_raw"": ""18"", ""supercombo"": ""18"", ""supercombo_raw"": ""18""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""6"", ""official_raw"": ""6"", ""supercombo"": ""6"", ""supercombo_raw"": ""6""}}"
4,通常技,立ち中K（刹那蹴り）,icon_kick_m 中,5MK,5MK,8,8-10,18,540,1,-4,C,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,kimberly_5mk,ground_normal,5MK,Standing Medium Kick,8,3,18,+1,-4,Sp SA,540,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""3"", ""official_raw"": ""8-10"", ""supercombo"": ""3"", ""supercombo_raw"": ""3""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""540"", ""official_raw"": ""540"", ""supercombo"": ""540"", ""supercombo_raw"": ""540""}, ""recovery"": {""comparable"": true, ""match"": true, ""official"": ""18"", ""official_raw"": ""18"", ""supercombo"": ""18"", ""supercombo_raw"": ""18""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""8"", ""official_raw"": ""8"", ""supercombo"": ""8"", ""supercombo_raw"": ""8""}}"
5,通常技,立ち強P（旋回手刀）,icon_punch_h 強,5HP,5HP,9,9-11,20,630,3,-4,C,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,kimberly_5hp,ground_normal,5HP,Standing Heavy Punch,9,3,20,+3,-4,Sp SA,630,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""3"", ""official_raw"": ""9-11"", ""supercombo"": ""3"", ""supercombo_raw"": ""3""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""630"", ""official_raw"": ""630"", ""supercombo"": ""630"", ""supercombo_raw"": ""630""}, ""recovery"": {""comparable"": true, ""match"": true, ""official"": ""20"", ""official_raw"": ""20"", ""supercombo"": ""20"", ""supercombo_raw"": ""20""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""9"", ""official_raw"": ""9"", ""supercombo"": ""9"", ""supercombo_raw"": ""9""}}"
6,通常技,立ち強K（旋風蹴り）,icon_kick_h 強,5HK,5HK,12,12-15,17,630,7,2,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,kimberly_5hk,ground_normal,5HK,Standing Heavy Kick,12,4,17,+7,+2,-,630,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""4"", ""official_raw"": ""12-15"", ""supercombo"": ""4"", ""supercombo_raw"": ""4""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""630"", ""official_raw"": ""630"", ""supercombo"": ""630"", ""supercombo_raw"": ""630""}, ""recovery"": {""comparable"": true, ""match"": true, ""official"": ""17"", ""official_raw"": ""17"", ""supercombo"": ""17"", ""supercombo_raw"": ""17""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""12"", ""official_raw"": ""12"", ""supercombo"": ""12"", ""supercombo_raw"": ""12""}}"
7,通常技,しゃがみ弱P（裏拳）,key-d key-plus icon_punch_l 弱,2LP,2LP,4,4-6,7,270,4,-1,C,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,kimberly_2lp,ground_normal,2LP,Crouching Light Punch,4,3,7,+4,-1,Chn Sp SA,270,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""3"", ""official_raw"": ""4-6"", ""supercombo"": ""3"", ""supercombo_raw"": ""3""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""270"", ""official_raw"": ""270"", ""supercombo"": ""270"", ""supercombo_raw"": ""270""}, ""recovery"": {""comparable"": true, ""match"": true, ""official"": ""7"", ""official_raw"": ""7"", ""supercombo"": ""7"", ""supercombo_raw"": ""7""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""4"", ""official_raw"": ""4"", ""supercombo"": ""4"", ""supercombo_raw"": ""4""}}"
8,通常技,しゃがみ弱K（連撃蹴）,key-d key-plus icon_kick_l 弱,2LK,2LK,5,5-7,7,180,4,-2,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,kimberly_2lk,ground_normal,2LK,Crouching Light Kick,5,3,7,+4,-2,Chn,180,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""3"", ""official_raw"": ""5-7"", ""supercombo"": ""3"", ""supercombo_raw"": ""3""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""180"", ""official_raw"": ""180"", ""supercombo"": ""180"", ""supercombo_raw"": ""180""}, ""recovery"": {""comparable"": true, ""match"": true, ""official"": ""7"", ""official_raw"": ""7"", ""supercombo"": ""7"", ""supercombo_raw"": ""7""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""5"", ""official_raw"": ""5"", ""supercombo"": ""5"", ""supercombo_raw"": ""5""}}"
9,通常技,しゃがみ中P（水平手刀）,key-d key-plus icon_punch_m 中,2MP,2MP,6,6-8,13,500,7,-1,C,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+damage_match,1,kimberly_2mp,ground_normal,2MP,Crouching Medium Punch,6,3,13(15),+7,-1,Sp SA,500,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""3"", ""official_raw"": ""6-8"", ""supercombo"": ""3"", ""supercombo_raw"": ""3""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""500"", ""official_raw"": ""500"", ""supercombo"": ""500"", ""supercombo_raw"": ""500""}, ""recovery"": {""comparable"": false, ""official"": ""13"", ""official_raw"": ""13"", ""reason"": ""condition_dependent_supercombo_field"", ""supercombo"": ""13"", ""supercombo_raw"": ""13(15)""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""6"", ""official_raw"": ""6"", ""supercombo"": ""6"", ""supercombo_raw"": ""6""}}"
10,通常技,しゃがみ中K（脛割り）,key-d key-plus icon_kick_m 中,2MK,2MK,7,7-9,16,540,5,1,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,kimberly_2mk,ground_normal,2MK,Crouching Medium Kick,7,3,16,+5,+1,-,540,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""3"", ""official_raw"": ""7-9"", ""supercombo"": ""3"", ""supercombo_raw"": ""3""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""540"", ""official_raw"": ""540"", ""supercombo"": ""540"", ""supercombo_raw"": ""540""}, ""recovery"": {""comparable"": true, ""match"": true, ""official"": ""16"", ""official_raw"": ""16"", ""supercombo"": ""16"", ""supercombo_raw"": ""16""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""7"", ""official_raw"": ""7"", ""supercombo"": ""7"", ""supercombo_raw"": ""7""}}"
