row_order,section,move_type,move_id,input,name,damage,startup,active,recovery,total,hit_advantage,block_advantage,guard,cancel,hitconfirm,chip,damage_scaling,punish_advantage,perfect_parry_advantage,drive_rush_cancel_on_hit,drive_rush_cancel_on_block,after_drive_rush_on_hit,after_drive_rush_on_block,hitstun,blockstun,hitstop,drive_damage_block,drive_damage_hit,drive_gain,super_gain_hit,super_gain_block,invuln,armor,airborne,attack_range,range_notes,juggle_start,juggle_increase,juggle_limit,projectile_speed,pushback_hit,pushback_block,images,hitboxes,notes
1,Normals and Target Combos,ground_normal,kimberly_5lp,5LP,Standing Light Punch,270,5,2,8,14,+5,-2,LH,Chn Sp SA TC,12,,20% Starter,+9,-8,+5,-2,+9,+2,15,8,9,500,[2000],250,300 (210),150 (75),,,,0.97,"Kimberly's shortest light punish, but links into 5HP on Punish Counter for stronger conversions",1,1,0,,,,SF6_Kimberly_5lp.png,SF6_Kimberly_5lp_hitbox.png,Chains into 5LP/2LP/2LK or into Bushin Prism Strikes; Run~Stop cancel: -8/-15 (OD: -5/-12)
2,Normals and Target Combos,ground_normal,kimberly_5mp,5MP,Standing Medium Punch,540,6,3,18,26,+3,-2,LH,Sp SA TC,15,,,+7,-19,+14,+9,+7,+2,24,19,11,2000,[4000],1000,500 (350),250 (125),,,,1.169,,1,1,0,,,,SF6_Kimberly_5mp.png,SF6_Kimberly_5mp_hitbox.png,"Important combo tool with a Target Combo follow-up; Run~Stop cancel: +1/-4 (OD: +4/-1); collision box extends forward, allowing Kimberly to set up a tricky auto-shimmy with whiffed 5MP on a knocked down opponent; cancel into Run~Stop leaves Kim at +0 oB vs. Burnout (against reversal Super, sets up timing to kara cancel her next attack into Parry/Super)"
3,Normals and Target Combos,ground_normal,kimberly_5hp,5HP,Standing Heavy Punch,630,9,3,20,31,+3,-4,LH,Sp SA,17 (27 PC),,,+23 Stagger,-21,+16,+9,+7,0,26,19,13 (25 PC),5000,[10000],2000,1000 (700),500 (250),,,,1.41,,1,1,0,,,,SF6_Kimberly_5hp.png,SF6_Kimberly_5hp_hitbox.png,"In punishes, can cancel to Run~Stop or Teleport to maintain close position, then link into 5HK or 5HP; single hit confirmable, but will not combo to 236HP on the final cancel frame; Run~Stop cancel: +3/-4 (OD: +6/-1); can frame trap into meterless Arc Step; edge of hitbox is raised to make the attack more vulnerable to low-profile attacks; extends a hurtbox 1f before active that is vulnerable to projectiles"
4,Normals and Target Combos,ground_normal,kimberly_5lk,5LK,Standing Light Kick,270,5,3,11,18,+1,-3,LH,Sp SA,13,,20% Starter,+5,-12,+5,+1,+5,+1,15,11,9,500,[2000],250,300 (210),150 (75),,,,1.20,,1,1,0,,,,SF6_Kimberly_5lk.png,SF6_Kimberly_5lk_hitbox.png,"Good range for a cancelable light normal; possible to chain 4 lights (2LP, 2LP, 5LP, 5LK) into 236LP/Super or into 214HK vs. standing; Run~Stop cancel: -8/-12 (OD: -5/-9)"
5,Normals and Target Combos,ground_normal,kimberly_5mk,5MK,Standing Medium Kick,540,8,3,18,28,+1,-4,LH,Sp SA,15,,15% Starter,+5,-19,+12,+7,+5,0,22,17,11,2000,[4000],1000,700 (490),350 (175),,,,1.458,,1,1,0,,,,SF6_Kimberly_5mk.png,SF6_Kimberly_5mk_hitbox.png,"Most important normal in footsies, particularly canceled into Drive Rush; Run~Stop cancel: -1/-6 (OD: +2/-3)"
6,Normals and Target Combos,ground_normal,kimberly_5hk,5HK,Standing Heavy Kick,630,12,4,17,32,+7,+2,LH,-,,,,+11,-19,,,+11,+6,28,23,13,5000,[10000],2500,1000 (700),500 (250),,,,1.42 (1.363),,1,1,0,,,,SF6_Kimberly_5hk.png,SF6_Kimberly_5hk_hitbox.png,"Whiffs vs. crouching opponents if not point blank unless they extend a vertical hurtbox; good combo and pressure starter; upper body is Air Invuln 10-15f (decent anti-air, but a little slow and cannot hit cross-up); the small hitbox on Kimberly's foot can only hit airborne opponents"
7,Normals and Target Combos,ground_normal,kimberly_2lp,2LP,Crouching Light Punch,270,4,3,7,13,+4,-1,LH,Chn Sp SA,13,,20% Starter,+8,-8,+4,-1,+8,+3,14,9,9,500,[2000],250,300 (210),150 (75),,,,1.01,,1,1,0,,0.289,0.259,SF6_Kimberly_2lp.png,SF6_Kimberly_2lp_hitbox.png,Chains into 5LP/2LP/2LK; Run~Stop cancel: -9/-14 (OD: -6/-11)
8,Normals and Target Combos,ground_normal,kimberly_2mp,2MP,Crouching Medium Punch,500,6,3,13(15),21(23),+7,-1,LH,Sp SA,15,,,+11,-14,+12,+4,+11,+3,23,15,11,2500,[5000],1200,600 (420),300 (150),,,,1.11,,1,1,0,,,,SF6_Kimberly_2mp.png,SF6_Kimberly_2mp_hitbox.png,"2f extra recovery on whiff; important combo tool; Run~Stop cancel: -1/-9 (OD: +2/-6); special/DR cancel is delayed until after 2nd active frame; extends a hurtbox on whiff until the end of recovery (feet 6-23f, arm 6-15f with partial retraction 16-23f)"
9,Normals and Target Combos,ground_normal,kimberly_2hp,2HP,Crouching Heavy Punch,720,8,6,17,30,+3,-2,LH,Sp SA,20,,,+7,-21,+16,+11,+7,+2,26,21,13,5000,[10000],2500,1000 (700),500 (250),,,,0.62,,1,1,0,,,,SF6_Kimberly_2hp.png,"SF6_Kimberly_2hp_hitbox_preview.png, SF6_Kimberly_2hp_hitbox_1.png, SF6_Kimberly_2hp_hitbox_2.png","Forces stand on hit; good anti-air but cannot hit cross-up; in Drive Rush juggles, opponent is kept high enough to connect instant j.236PP for a ground bounce; can be up to +8/+3 meaty; best button for Run pressure (cancel into Arc Step beats 4f light normals); Run~Stop cancel: +3/-2 (OD: +6/+1)"
10,Normals and Target Combos,ground_normal,kimberly_2lk,2LK,Crouching Light Kick,180,5,3,7,14,+4,-2,L,Chn,,,20% Starter,+8,-8,,,+8,+2,14,8,9,500,[2000],250,300 (210),150 (75),,,,1.03,,1,1,0,,,,SF6_Kimberly_2lk.png,SF6_Kimberly_2lk_hitbox.png,"Chains into 5LP/2LP/2LK; slightly more pushback than other combo-starting lights, but can still chain 3 lights if starting point blank; can link to 5MP/2MP on Counter-hit or into 2HP out of close range Drive rush"
