row_order,section,move_type,move_id,input,name,damage,startup,active,recovery,total,hit_advantage,block_advantage,guard,cancel,hitconfirm,chip,damage_scaling,punish_advantage,perfect_parry_advantage,drive_rush_cancel_on_hit,drive_rush_cancel_on_block,after_drive_rush_on_hit,after_drive_rush_on_block,hitstun,blockstun,hitstop,drive_damage_block,drive_damage_hit,drive_gain,super_gain_hit,super_gain_block,invuln,armor,airborne,attack_range,range_notes,juggle_start,juggle_increase,juggle_limit,projectile_speed,pushback_hit,pushback_block,images,hitboxes,notes
19,Normals and Target Combos,air_normal,kimberly_j2mp,j.2MP,Elbow Drop,540,13,until land,8 land,-,+4(+8),-3(+1),LH,-,,,,+8(+12),-11(-7),,,,,17,10,13,2500,[4000],1000,500 (350),250 (125),,,Until Land (FKD),0.60,,1,1,4,,,,SF6_Kimberly_j2mp.png,SF6_Kimberly_j2mp_hitbox.png,"Can only be performed from Forward Jump; spike KD vs. airborne opponents; stops Kimberly's air momentum (useful for baiting anti-airs); maximum advantage is only possible when input at the latest possible timing (frame 30 of jump; otherwise, connects with 2nd to last active frame); minimum advantage is more likely to apply to tall standing characters, but is usually at least +5/-2"
23,Normals and Target Combos,ground_normal,kimberly_6hk_8,6HK~8,Step Up (neutral hop),-,20,-,30+3,33,-10(-9),-22,-,-,,,,-6(-5),,,,,,,,,,,,,,,,Until Land (FKD),,,,,,,,,SF6_Kimberly_6hk_8.png,SF6_Kimberly_6hk_8_hitbox.png,Startup refers to earliest frame that Kimberly can perform air follow-ups after Hop
24,Normals and Target Combos,ground_normal,kimberly_6hk_9,6HK~9,Step Up (forward hop),-,20,-,30+3,33,-10(-9),-22,-,-,,,,-6(-5),,,,,,,,,,,,,,,,Until Land (FKD),,,,,,,,,SF6_Kimberly_6hk_9.png,SF6_Kimberly_6hk_9_hitbox.png,Crosses over the opponent; startup refers to earliest frame that Kimberly can perform air follow-ups after Hop
25,Normals and Target Combos,ground_normal,kimberly_6hk_7,6HK~7,Step Up (backward hop),-,16,-,30+3,33,-10(-9),-22,-,-,,,,-6(-5),,,,,,,,,,,,,,,,Until Land (FKD),,,,,,,,,SF6_Kimberly_6hk_7.png,SF6_Kimberly_6hk_7_hitbox.png,Startup refers to earliest frame that Kimberly can perform air follow-ups after Hop
52,Specials,special,kimberly_236k_lk,236K~LK,Torso Cleaver,900,8+21,7,16,43,KD +41 (KD +53~66),+1,LH,SA3,27,225,,KD +41 (KD +53~66),-21,,,,,,24,13,4000,[6000],2000,1200 (840),600 (300),,,,2.128 (+Run),,1,1,5,,,,SF6_Kimberly_236k_lk.png,"SF6_Kimberly_236k_lk_hitbox_1.png, SF6_Kimberly_236k_lk_hitbox_2.png, SF6_Kimberly_236k_lk_hitbox_3.png, SF6_Kimberly_236k_lk_hitbox_preview.png",Kicking legs are Anti-Air Invuln 18-27f (cannot hit cross-up); active frames 3-7 only hit airborne opponents above Kimberly (only active frames 1-2 are useful for meaty pressure); puts opponent into limited juggle state; () refers to higher KD advantage when juggled into
53,Specials,special,kimberly_236k_mk,236K~MK,Shadow Slide,720,8+10,12,19,40,KD +39~50 (KD +42~53),-12(-1),L,SA3,16,180,20% Starter,KD +39~50 (KD +42~53),-29(-18),,,,,,19,6,4000,[8000],2000,1000 (700),500 (250),,,,3.61 (2.08) (+Run),,1,1,3,,,,SF6_Kimberly_236k_mk.png,SF6_Kimberly_236k_mk_hitbox.png,6-21f low profile and upper body projectile invuln (only on the Slide itself); puts opponent into limited juggle state; advantage varies significantly depending on which active frame connects; () refers to KD advantage when juggled into (KD +47 from 5MP~HP unless delayed); cancel to SA3 can whiff when used from longer range
54,Specials,special,kimberly_236k_hk,236K~HK,Neck Hunter,900,8+19,5,19,42,KD +23,-3,H,SA3,,225,,KD +23,-22,,,,,,21,13,4000,[8000],2000,1200 (840),600 (300),,,,2.287 (+Run),,1,1,10,,,,SF6_Kimberly_236k_hk.png,SF6_Kimberly_236k_hk_hitbox.png,"SA3 cancel can only combo in high connect juggles, or if overhead is absorbed by armor"
55,Specials,special,kimberly_236k_p,236K~P,Emergency Stop,-,8+14,-,-,22,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SF6_Kimberly_236k_p.png,SF6_Kimberly_236k_p_hitbox.png,Latest possible stop occurs after 41f (55f total animation); shortest Run~Stop distance: 1.64
56,Specials,special,kimberly_236k_prox,236K (close),Arc Step,"270,180 (450)",15+6,2(6)2 (Whiff: 1),26+4 land (Whiff: 25),46(60),+3,-6,LH,-,,"67,45 (112)",,+3,-30,,,,,43 total,34 total,"6,12(6)",1500x2,[2500x2],500x2,100x2 (70x2),50x2 (25x2),,,"22-56 (FKD), hit/block only",,,1/0,1/0,1/2,,,,SF6_Kimberly_236k_prox.png,SF6_Kimberly_236k_prox_hitbox.png,"Can frame trap vs. 4f normals when canceled from 2HP, 5HP, or 5MP; only comes out if there is an opponent at close range on or near the ground after the 15th frame of Sprint; if opponent becomes airborne after startup, the whiffed attack has 1f active + 25f recovery; if Perfect Parried, Kimberly becomes airborne before opponent can Throw punish (can be punished with Drive Impact airborne connect or a Forced Knockdown normal up to 6f startup)"
57,Specials,special,kimberly_236k_prox_k,236K (close)~K,Bushin Hojin Kick,630,8+15+13,6,20 land,38,KD +29(+31),-8,LH,-,,157,,KD +29(+31),-21,,,,,,15,13,5000,[10000],2000,1000 (700),500 (250),,,Until Land (FKD),,,1,1,3,,,,SF6_Kimberly_236k_prox_k.png,SF6_Kimberly_236k_prox_k_hitbox.png,"KD Adv. is +31 if Arc Step is blocked, +30 on hit midscreen, +29 on hit in the corner"
