row_order,section,move_type,move_id,input,name,damage,startup,active,recovery,total,hit_advantage,block_advantage,guard,cancel,hitconfirm,chip,damage_scaling,punish_advantage,perfect_parry_advantage,drive_rush_cancel_on_hit,drive_rush_cancel_on_block,after_drive_rush_on_hit,after_drive_rush_on_block,hitstun,blockstun,hitstop,drive_damage_block,drive_damage_hit,drive_gain,super_gain_hit,super_gain_block,invuln,armor,airborne,attack_range,range_notes,juggle_start,juggle_increase,juggle_limit,projectile_speed,pushback_hit,pushback_block,images,hitboxes,notes
1,Normals and Target Combos,ground_normal,mai_5lp,5LP,Standing Light Punch,300,4,3,7,13,+5,-2,LH,Chn Sp SA,13,,20% Starter,+9,-8,+5,-2,+9,+2,15,8,9,500,[2000],250,300 (210),150 (75),,,,0.97,,1,1,0,,0.320,0.315,SF6_Mai_5lp.png,SF6_Mai_5lp_hitbox.png,"Chains into 5LP/2LP/2LK; useful in combos due to its extra 1f hitstun over 2LP (combos naturally into 214LP/MP, 236KK, and has more utility in CH/PC/DR routes)"
2,Normals and Target Combos,ground_normal,mai_5mp,5MP,Standing Medium Punch,600,8,4,15,26,+2,-3,LH,Sp SA,16,,,+6,-17,+11,+6,+6,+1,21,16,11,3000,[4000],1500,600 (420),300 (150),,,,1.46 (1.408),,1,1,0,,,,SF6_Mai_5mp.png,"SF6_Mai_5mp_hitbox.png, SF6_Mai_5mp_hitbox_2.png, SF6_Mai_5mp_hitbox_3.png",Great range for a cancelable poke; solid hitbox priority; important combo tool from Punish Counter 2LP (works from max range); has an extended hurtbox on whiff until the end of recovery
3,Normals and Target Combos,ground_normal,mai_5hp,5HP,Standing Heavy Punch,800,9,3,21,32,+1(+3),-3(-1),LH,Sp SA,17,,,+5(+7),-22(-20),+15,+11,+5(+7),+1(+3),25,21,13,4000,[8000],2000,800 (560),400 (200),,,,1.613 (1.467),,1,1,0,,,,SF6_Mai_5hp.png,"SF6_Mai_5hp_hitbox.png, SF6_Mai_5hp_hitbox_2.png",Very long range for a cancelable poke; great for combos and whiff punishing; combos from PC/DR 5LP for optimal conversions; slightly less pushback on Counter-hit/Punish Counter (makes some ranged 214P cancels more reliable)
4,Normals and Target Combos,ground_normal,mai_5lk,5LK,Standing Light Kick,300,4,3,8,14,+1,-1,LH,Sp SA TC,14 Sp/TC,,20% Starter,+5,-9,+2,0,+5,+3,12,10,10,500,[2000],250,300 (210),150 (75),,,,0.77,,1,1,0,,0.325,0.330,SF6_Mai_5lk.png,SF6_Mai_5lk_hitbox.png,Very short range (only combos naturally from point blank 5LP/2LP); only useful for 5LK~LK~LK Target Combo
5,Normals and Target Combos,ground_normal,mai_5mk,5MK,Standing Medium Kick,700,9,3,18,29,+5,-4,LH,-,,,,+9,-19,,,+9,0,26,17,11,3000,[4000],1500,700 (490),350 (175),,,,1.58,,1,1,0,,,,SF6_Mai_5mk.png,SF6_Mai_5mk_hitbox.png,Solid poke with good hitbox priority that can lead to combos with CH/PC/DR; links consistently into SA2 when used as a whiff punish; Mai lifts up her front hurtbox on frames 4-17 making it useful vs. low attacks
6,Normals and Target Combos,ground_normal,mai_5hk,5HK,Standing Heavy Kick,900,14,3,19(22),35(38),+3,-3,LH,-,,,20% Starter,KD +61 Crumple,-20,,,+7,+1,25,19,13,6000,[10000],4000,1000 (700),500 (250),,,,1.97,,1 [-1 PC],1,0,,,,SF6_Mai_5hk.png,SF6_Mai_5hk_hitbox.png,"3f extra recovery on whiff; Great range for a safe poke; Mai lifts up her leg hurtbox on frames 10-16 making it decent vs. low attacks; grounded Punish Counter causes a crumple state (opponent is airborne for all follow-up hits); airborne Punish Counter puts opponents into limited juggle state; extends a hurtbox 1f before active that is vulnerable to projectiles; extends a hurtbox at mid-height for the first 17 recovery frames, making it more whiff punishable by standing or high-angled crouching buttons"
7,Normals and Target Combos,ground_normal,mai_2lp,2LP,Crouching Light Punch,300,4,3,7,13,+4,-1,LH,Chn Sp SA,13,,20% Starter,+8,-8,+4,-1,+8,+3,14,9,9,500,[2000],250,300 (210),150 (75),,,,1.03,,1,1,0,,0.321,0.311,SF6_Mai_2lp.png,SF6_Mai_2lp_hitbox.png,Chains into 5LP/2LP/2LK; longest range of Mai's light normals; topmost hurtbox on frames 1-6 is vulnerable only to aerial strikes (preventing its use as an anti-air)
8,Normals and Target Combos,ground_normal,mai_2mp,2MP,Crouching Medium Punch,600,6,4,15(17),24(26),+5,-3,LH,Sp SA,16,,,+9,-17,+14,+6,+9,+1,24,16,11,3000,[4000],1500,600 (420),300 (150),,,,1.23 (1.207),,1,1,0,,,,SF6_Mai_2mp.png,SF6_Mai_2mp_hitbox.png,2f extra recovery on whiff; good range for a cancelable 6f medium; the forward movement makes it riskier to whiff than similar attacks
9,Normals and Target Combos,ground_normal,mai_2hp,2HP,Crouching Heavy Punch,400x2,10,2(8)3,19,41,+4,-3,"LH,LH",-,,,,+8,-20,,,+8,+1,36(26),29(19),"5,9",2500x2,[4000x2],1000x2,"600,400 (420,280)","300,200 (150,100)",,,,1.605 (1.294),,"1,1","0,0","0,1",,,,"SF6_Mai_2hp.png, SF6_Mai_2hp_2.png","SF6_Mai_2hp_hitbox.png, SF6_Mai_2hp_2_hitbox.png",2 hits; first hit has great hitbox priority for counter-poking and pulls the opponent closer on hit/block; useful as an approach or combo extension with Drive Rush; Counter-hit/Punish Counter advantage carries through both hits
10,Normals and Target Combos,ground_normal,mai_2lk,2LK,Crouching Light Kick,200,5,3,8,15,+2,-2,L,Chn,,,20% Starter,+6,-9,,,+6,+2,13,9,9,500,[2000],250,300 (210),150 (75),,,,0.99,,1,1,0,,,,SF6_Mai_2lk.png,SF6_Mai_2lk_hitbox.png,Chains into 5LP/2LP/2LK
