official_row_order,official_category,official_move_name,official_input_display,official_input_signature,official_input_family,startup,active,recovery,damage,on_hit,on_block,cancel,match_status,match_method,candidate_count,supercombo_move_id,supercombo_move_type,supercombo_input,supercombo_name,supercombo_startup,supercombo_active,supercombo_recovery,supercombo_hit_advantage,supercombo_block_advantage,supercombo_cancel,supercombo_damage,field_comparisons_json
1,通常技,立ち弱P（ジャブ）,icon_punch_l 弱,5LP,5LP,4,4-6,7,300,4,-1,C,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,ryu_5lp,ground_normal,5LP,Standing Light Punch,4,3,7,+4,-1,Chn Sp SA,300,"{""active_duration"": {""match"": true, ""official"": ""3"", ""supercombo"": ""3""}, ""damage"": {""match"": true, ""official"": ""300"", ""supercombo"": ""300""}, ""recovery"": {""match"": true, ""official"": ""7"", ""supercombo"": ""7""}, ""startup"": {""match"": true, ""official"": ""4"", ""supercombo"": ""4""}}"
2,通常技,立ち弱K（ローキック）,icon_kick_l 弱,5LK,5LK,5,5-7,11,300,2,-4,C,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,ryu_5lk,ground_normal,5LK,Standing Light Kick,5,3,11,+2,-4,Sp SA,300,"{""active_duration"": {""match"": true, ""official"": ""3"", ""supercombo"": ""3""}, ""damage"": {""match"": true, ""official"": ""300"", ""supercombo"": ""300""}, ""recovery"": {""match"": true, ""official"": ""11"", ""supercombo"": ""11""}, ""startup"": {""match"": true, ""official"": ""5"", ""supercombo"": ""5""}}"
3,通常技,立ち中P（鉤突き）,icon_punch_m 中,5MP,5MP,6,6-9,11,600,7,-1,C,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+damage_match,1,ryu_5mp,ground_normal,5MP,Standing Medium Punch,6,4,11(13),+7,-1,Sp SA TC,600,"{""active_duration"": {""match"": true, ""official"": ""4"", ""supercombo"": ""4""}, ""damage"": {""match"": true, ""official"": ""600"", ""supercombo"": ""600""}, ""startup"": {""match"": true, ""official"": ""6"", ""supercombo"": ""6""}}"
4,通常技,立ち中K（横蹴り）,icon_kick_m 中,5MK,5MK,9,9-11,18,700,4,-4,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,ryu_5mk,ground_normal,5MK,Standing Medium Kick,9,3,18,+4,-4,-,700,"{""active_duration"": {""match"": true, ""official"": ""3"", ""supercombo"": ""3""}, ""damage"": {""match"": true, ""official"": ""700"", ""supercombo"": ""700""}, ""recovery"": {""match"": true, ""official"": ""18"", ""supercombo"": ""18""}, ""startup"": {""match"": true, ""official"": ""9"", ""supercombo"": ""9""}}"
5,通常技,立ち強P（正拳突き）,icon_punch_h 強,5HP,5HP,10,10-14,18,800,4,-2,C,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,ryu_5hp,ground_normal,5HP,Standing Heavy Punch,10,5,18,+4,-2,Sp SA TC,800,"{""active_duration"": {""match"": true, ""official"": ""5"", ""supercombo"": ""5""}, ""damage"": {""match"": true, ""official"": ""800"", ""supercombo"": ""800""}, ""recovery"": {""match"": true, ""official"": ""18"", ""supercombo"": ""18""}, ""startup"": {""match"": true, ""official"": ""10"", ""supercombo"": ""10""}}"
6,通常技,立ち強K（後ろ回し蹴り）,icon_kick_h 強,5HK,5HK,12,12-15,20,900,9,1,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+damage_match,1,ryu_5hk,ground_normal,5HK,Standing Heavy Kick,12,4,20(22),+9,+1,-,900,"{""active_duration"": {""match"": true, ""official"": ""4"", ""supercombo"": ""4""}, ""damage"": {""match"": true, ""official"": ""900"", ""supercombo"": ""900""}, ""startup"": {""match"": true, ""official"": ""12"", ""supercombo"": ""12""}}"
7,通常技,しゃがみ弱P（ジャブ）,key-d key-plus icon_punch_l 弱,2LP,2LP,4,4-5,9,300,4,-1,C,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,ryu_2lp,ground_normal,2LP,Crouching Light Punch,4,2,9,+4,-1,Chn Sp SA,300,"{""active_duration"": {""match"": true, ""official"": ""2"", ""supercombo"": ""2""}, ""damage"": {""match"": true, ""official"": ""300"", ""supercombo"": ""300""}, ""recovery"": {""match"": true, ""official"": ""9"", ""supercombo"": ""9""}, ""startup"": {""match"": true, ""official"": ""4"", ""supercombo"": ""4""}}"
8,通常技,しゃがみ弱K（キック）,key-d key-plus icon_kick_l 弱,2LK,2LK,5,5-6,10,200,3,-1,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,ryu_2lk,ground_normal,2LK,Crouching Light Kick,5,2,10,+3,-1,Chn,200,"{""active_duration"": {""match"": true, ""official"": ""2"", ""supercombo"": ""2""}, ""damage"": {""match"": true, ""official"": ""200"", ""supercombo"": ""200""}, ""recovery"": {""match"": true, ""official"": ""10"", ""supercombo"": ""10""}, ""startup"": {""match"": true, ""official"": ""5"", ""supercombo"": ""5""}}"
9,通常技,しゃがみ中P（ストレート）,key-d key-plus icon_punch_m 中,2MP,2MP,6,6-9,13,600,5,0,C,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+damage_match,1,ryu_2mp,ground_normal,2MP,Crouching Medium Punch,6,4,13(15),+5,0,Sp SA,600,"{""active_duration"": {""match"": true, ""official"": ""4"", ""supercombo"": ""4""}, ""damage"": {""match"": true, ""official"": ""600"", ""supercombo"": ""600""}, ""startup"": {""match"": true, ""official"": ""6"", ""supercombo"": ""6""}}"
10,通常技,しゃがみ中K（くるぶしキック）,key-d key-plus icon_kick_m 中,2MK,2MK,8,8-10,19,500,1,-6,C,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,ryu_2mk,ground_normal,2MK,Crouching Medium Kick,8,3,19,+1,-6,Sp SA,500,"{""active_duration"": {""match"": true, ""official"": ""3"", ""supercombo"": ""3""}, ""damage"": {""match"": true, ""official"": ""500"", ""supercombo"": ""500""}, ""recovery"": {""match"": true, ""official"": ""19"", ""supercombo"": ""19""}, ""startup"": {""match"": true, ""official"": ""8"", ""supercombo"": ""8""}}"
11,通常技,しゃがみ強P（突き上げアッパー）,key-d key-plus icon_punch_h 強,2HP,2HP,9,9-14,22,800,1,-7,C,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+damage_match,1,ryu_2hp,ground_normal,2HP,Crouching Heavy Punch,9,6,21(22),+1,-7,Sp SA,800,"{""active_duration"": {""match"": true, ""official"": ""6"", ""supercombo"": ""6""}, ""damage"": {""match"": true, ""official"": ""800"", ""supercombo"": ""800""}, ""startup"": {""match"": true, ""official"": ""9"", ""supercombo"": ""9""}}"
12,通常技,しゃがみ強K（回転足払い）,key-d key-plus icon_kick_h 強,2HK,2HK,9,9-11,23,900,D,-12,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+damage_match,1,ryu_2hk,ground_normal,2HK,Low Spinning Sweep,9,3,23(29),KD +40,-12,-,900,"{""active_duration"": {""match"": true, ""official"": ""3"", ""supercombo"": ""3""}, ""damage"": {""match"": true, ""official"": ""900"", ""supercombo"": ""900""}, ""startup"": {""match"": true, ""official"": ""9"", ""supercombo"": ""9""}}"
13,通常技,ジャンプ弱P（肘落とし）,（ジャンプ中に） icon_punch_l 弱,j.LP,j.LP,4,4-13,着地後3,300,,,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+damage_match,1,ryu_jlp,air_normal,j.LP,Jumping Light Punch,4,10,3 land,+4(+9),0(+5),-,300,"{""active_duration"": {""match"": true, ""official"": ""10"", ""supercombo"": ""10""}, ""damage"": {""match"": true, ""official"": ""300"", ""supercombo"": ""300""}, ""startup"": {""match"": true, ""official"": ""4"", ""supercombo"": ""4""}}"
14,通常技,ジャンプ弱K（ひざ蹴り）,（ジャンプ中に） icon_kick_l 弱,j.LK,j.LK,6,6-15,着地後3,300,,,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+damage_match,1,ryu_jlk,air_normal,j.LK,Jumping Light Kick,6,10,3 land,+5(+10),+1(+6),-,300,"{""active_duration"": {""match"": true, ""official"": ""10"", ""supercombo"": ""10""}, ""damage"": {""match"": true, ""official"": ""300"", ""supercombo"": ""300""}, ""startup"": {""match"": true, ""official"": ""6"", ""supercombo"": ""6""}}"
15,通常技,ジャンプ中P（すくい突き）,（ジャンプ中に） icon_punch_m 中,j.MP,j.MP,8,8-12,着地後3,700,,,C,matched,exact_input+family_input+same_family+category_move_type+startup_match,1,ryu_jmp,air_normal,j.MP,Jumping Medium Punch,8,"2,3",3 land,+10(+13),+6(+9),Sp,350x2,"{""startup"": {""match"": true, ""official"": ""8"", ""supercombo"": ""8""}}"
16,通常技,ジャンプ中K（飛び蹴り）,（ジャンプ中に） icon_kick_m 中,j.MK,j.MK,7,7-12,着地後3,500,,,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+damage_match,1,ryu_jmk,air_normal,j.MK,Jumping Medium Kick,7,6,3 land,+8(+13),+4(+9),-,500,"{""active_duration"": {""match"": true, ""official"": ""6"", ""supercombo"": ""6""}, ""damage"": {""match"": true, ""official"": ""500"", ""supercombo"": ""500""}, ""startup"": {""match"": true, ""official"": ""7"", ""supercombo"": ""7""}}"
17,通常技,ジャンプ強P（ストレート）,（ジャンプ中に） icon_punch_h 強,j.HP,j.HP,9,9-14,着地後3,800,,,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+damage_match,1,ryu_jhp,air_normal,j.HP,Jumping Heavy Punch,9,6,3 land,+8(+15),+4(+11),-,800,"{""active_duration"": {""match"": true, ""official"": ""6"", ""supercombo"": ""6""}, ""damage"": {""match"": true, ""official"": ""800"", ""supercombo"": ""800""}, ""startup"": {""match"": true, ""official"": ""9"", ""supercombo"": ""9""}}"
18,通常技,ジャンプ強K（跳び前蹴り）,（ジャンプ中に） icon_kick_h 強,j.HK,j.HK,10,10-17,着地後3,800,,,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+damage_match,1,ryu_jhk,air_normal,j.HK,Jumping Heavy Kick,10,8,3 land,+9(+15),+5(+11),-,800,"{""active_duration"": {""match"": true, ""official"": ""8"", ""supercombo"": ""8""}, ""damage"": {""match"": true, ""official"": ""800"", ""supercombo"": ""800""}, ""startup"": {""match"": true, ""official"": ""10"", ""supercombo"": ""10""}}"
19,特殊技,鎖骨割り,key-r key-plus icon_punch_m 中,6MP,6MP,20,20-23,19,600,3,-3,,matched,exact_input+family_input+same_family+category_move_type+startup_match+recovery_match,1,ryu_6mp,ground_normal,6MP,Collarbone Breaker,20,"1,3",19,+3,-3,-,300x2,"{""recovery"": {""match"": true, ""official"": ""19"", ""supercombo"": ""19""}, ""startup"": {""match"": true, ""official"": ""20"", ""supercombo"": ""20""}}"
20,特殊技,鳩尾砕き,key-r key-plus icon_punch_h 強,6HP,6HP,20,20-24,16,800,6,3,,matched,exact_input+family_input+same_family+category_move_type+startup_match+recovery_match,1,ryu_6hp,ground_normal,6HP,Solar Plexus Strike,20,"2,3",16,+6,+3,-,400x2,"{""recovery"": {""match"": true, ""official"": ""16"", ""supercombo"": ""16""}, ""startup"": {""match"": true, ""official"": ""20"", ""supercombo"": ""20""}}"
21,特殊技,上げ突き,key-l key-plus icon_punch_h 強,4HP,4HP,7,7-10,26,800,1,-13,C,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+damage_match,1,ryu_4hp,ground_normal,4HP,Short Uppercut,7,4,25(26),+1,-13,Sp SA,800,"{""active_duration"": {""match"": true, ""official"": ""4"", ""supercombo"": ""4""}, ""damage"": {""match"": true, ""official"": ""800"", ""supercombo"": ""800""}, ""startup"": {""match"": true, ""official"": ""7"", ""supercombo"": ""7""}}"
22,特殊技,かかと落とし,key-l key-plus icon_kick_h 強,4HK,4HK,10,10-23,21,800,0,-4,C,matched,exact_input+family_input+same_family+category_move_type+recovery_match,1,ryu_4hk,ground_normal,4HK,Axe Kick,10(20),5(5)3,21,0,-4,Sp SA,400x2,"{""recovery"": {""match"": true, ""official"": ""21"", ""supercombo"": ""21""}}"
23,特殊技,旋風脚,key-r key-plus icon_kick_h 強,6HK,6HK,16,16-19,20,800,2,-4,※,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,ryu_6hk,ground_normal,6HK,Whirlwind Kick,16,4,20,+2,-4,Sp*,800,"{""active_duration"": {""match"": true, ""official"": ""4"", ""supercombo"": ""4""}, ""damage"": {""match"": true, ""official"": ""800"", ""supercombo"": ""800""}, ""recovery"": {""match"": true, ""official"": ""20"", ""supercombo"": ""20""}, ""startup"": {""match"": true, ""official"": ""16"", ""supercombo"": ""16""}}"
