row_order,section,move_type,move_id,input,name,damage,startup,active,recovery,total,hit_advantage,block_advantage,guard,cancel,hitconfirm,chip,damage_scaling,punish_advantage,perfect_parry_advantage,drive_rush_cancel_on_hit,drive_rush_cancel_on_block,after_drive_rush_on_hit,after_drive_rush_on_block,hitstun,blockstun,hitstop,drive_damage_block,drive_damage_hit,drive_gain,super_gain_hit,super_gain_block,invuln,armor,airborne,attack_range,range_notes,juggle_start,juggle_increase,juggle_limit,projectile_speed,pushback_hit,pushback_block,images,hitboxes,notes
1,Normals and Target Combos,ground_normal,ryu_5lp,5LP,Standing Light Punch,300,4,3,7,13,+4,-1,LH,Chn Sp SA,13,,20% Starter,+8,-8,+4,-1,+8,+3,14,9,9,500,[2000],250,300 (210),150 (75),,,,1.01,,1,1,0,,0.289,0.378,SF6_Ryu_5lp.png,SF6_Ryu_5lp_hitbox.png,Chains into 5LP/2LP/2LK
2,Normals and Target Combos,ground_normal,ryu_5mp,5MP,Standing Medium Punch,600,6,4,11(13),20(22),+7,-1,LH,Sp SA TC,16 (18 TC),,,+11,-13,+12,+4,+11,+3,22,14,11,3000,[4000],1500,500 (350),250 (125),,,,1.01,,1,1,0,,,,SF6_Ryu_5mp.png,SF6_Ryu_5mp_hitbox.png,2f extra recovery on whiff; useful combo tool with a Target Combo follow-up; extends a wider body hurtbox until the end of recovery
3,Normals and Target Combos,ground_normal,ryu_5hp,5HP,Standing Heavy Punch,800,10,5,18,32,+4,-2,LH,Sp SA TC,19 (22 TC),,,+8,-21,+17,+11,+8,+2,27,21,13,5000,[8000],2000,1000 (700),500 (250),,,,1.545,,1,1,0,,,,SF6_Ryu_5hp.png,SF6_Ryu_5hp_hitbox.png,"Forces stand on hit (allowing Target Combo follow-up to work on crouching opponents); good poke with hitbox priority, many active frames, and a reactable hitconfirm window"
4,Normals and Target Combos,ground_normal,ryu_5lk,5LK,Standing Light Kick,300,5,3,11,18,+2,-4,LH,Sp SA,13,,20% Starter,+6,-12,+5,-1,+6,0,16,10,9,500,[2000],250,300 (210),150 (75),,,,1.30,,1,1,0,,,,SF6_Ryu_5lk.png,SF6_Ryu_5lk_hitbox.png,Good range for a 5f light (useful in punishes and neutral buffers); DR cancel is delayed until after 2nd active frame
5,Normals and Target Combos,ground_normal,ryu_5mk,5MK,Standing Medium Kick,700,9,3,18,29,+4,-4,LH,-,,,,+8,-19,,,+8,0,25,17,11,4000,[6000],2000,700 (490),350 (175),,,,1.568,,1,1,0,,,,SF6_Ryu_5mk.png,SF6_Ryu_5mk_hitbox.png,Solid poke; front leg hurtbox is raised on frames 4-11 (can avoid low pokes)
6,Normals and Target Combos,ground_normal,ryu_5hk,5HK,Standing Heavy Kick,900,12,4,20(22),35,+9,+1,LH,-,,,,KD +84 Crumple,-21,,,+13,+5,33,24,13,6000,[10000],3000,1000 (700),500 (250),,,,1.572,,1 [-1 PC Ground],1,0,,,,SF6_Ryu_5hk.png,SF6_Ryu_5hk_hitbox.png,Whiffs on crouching opponents unless they extend a vertical hurtbox; 2 extra recovery frames on block; good horizontal anti-air that puts airborne opponents into limited juggle state (higher launch on Punish Counter juggle); +11 before Punish Counter crumple state goes airborne; extends a hurtbox 1f before active that is vulnerable to projectiles
7,Normals and Target Combos,ground_normal,ryu_2lp,2LP,Crouching Light Punch,300,4,2,9,14,+4,-1,LH,Chn Sp SA,11,,20% Starter,+8,-9,+5,0,+8,+3,15,10,9,500,[2000],250,300 (210),150 (75),,,,0.94,,1,1,0,,0.277,0.330,SF6_Ryu_2lp.png,SF6_Ryu_2lp_hitbox.png,Chains into 5LP/2LP/2LK; topmost hurtbox on frames 1-5 is vulnerable only to aerial strikes (preventing its use as an anti-air)
8,Normals and Target Combos,ground_normal,ryu_2mp,2MP,Crouching Medium Punch,600,6,4,13(15),22(24),+5,0,LH,Sp SA,16,,,+9,-15,+12,+7,+9,+4,22,17,11,3000,[4000],1500,500 (350),250 (125),,,,1.14,,1,1,0,,,,SF6_Ryu_2mp.png,SF6_Ryu_2mp_hitbox.png,2f extra recovery on whiff; combo and pressure tool; topmost hurtbox on frames 1-9 is vulnerable only to aerial strikes (preventing its use as an anti-air); extends a wider hurtbox until the end of recovery
9,Normals and Target Combos,ground_normal,ryu_2hp,2HP,Crouching Heavy Punch,800,9,6,21(22),35,+1,-7,LH,Sp SA,18,,,+5,-24,+17,+9,+5,-3,27(22),19,13,7500,[10000],3000,1200 (840),600 (300),,,,1.137,,1,1,0,,,,SF6_Ryu_2hp.png,"SF6_Ryu_2hp_hitbox_preview.png, SF6_Ryu_2hp_hitbox_1.png, SF6_Ryu_2hp_hitbox_2.png, SF6_Ryu_2hp_hitbox_3.png",Forces stand on hit; decent anti-air; cannot hit cross-ups; fist hurtbox is invincible to air strikes on frame 9; head hurtbox is invincible to air strikes on frames 10-14; only 1st active frame is cancelable (extends a combo-only hitbox to match the range of the 2nd active frame for combo consistency); () refers to hit/block recovery on 1st active frame only; 5f less hitstun on active frames 2-5 (can be punishable on meaty timing)
10,Normals and Target Combos,ground_normal,ryu_2lk,2LK,Crouching Light Kick,200,5,2,10,16,+3,-1,L,Chn,,,20% Starter,+7,-10,,,+7,+3,15,11,9,500,[2000],250,300 (210),150 (75),,,,1.05,,1,1,0,,,,SF6_Ryu_2lk.png,SF6_Ryu_2lk_hitbox.png,Chains into 5LP/2LP/2LK
11,Normals and Target Combos,ground_normal,ryu_2mk,2MK,Crouching Medium Kick,500,8,3,19,29,+1,-6,L,Sp SA,13,,20% Starter,+5,-20,+11,+4,+5,-2,23,16,9,2000,[4000],1000,500 (350),250 (125),,,,1.482,,1,1,0,,,,SF6_Ryu_2mk.png,SF6_Ryu_2mk_hitbox.png,Range: 1.482; DR cancel is delayed until after active frames
12,Normals and Target Combos,ground_normal,ryu_2hk,2HK,Low Spinning Sweep,900,9,3,23(29),34(40),KD +40,-12,L,-,,,,HKD +47,-28,,,KD +40,-8,,19,13,4000,[10000],3000,1000 (700),500 (250),,,,1.793,,1,1,5,,,,SF6_Ryu_2hk.png,SF6_Ryu_2hk_hitbox.png,"Good range and hitbox priority; has some juggle potential; on block, always plays out a fixed 29f recovery (cannot be made safer with meaty timing)"
13,Normals and Target Combos,air_normal,ryu_jlp,j.LP,Jumping Light Punch,300,4,10,3 land,-,+4(+9),0(+5),H,-,,,,+8(+13),-7(-2),,,,,13,9,9,1500,[2000],500,300 (210),150 (75),,,,0.80,,1,1,0,,,,SF6_Ryu_jlp.png,SF6_Ryu_jlp_hitbox.png,Can be used as a fuzzy instant overhead
14,Normals and Target Combos,air_normal,ryu_jmp,j.MP,Jumping Medium Punch,350x2,8,"2,3",3 land,-,+10(+13),+6(+9),H,Sp,,,,+14(+17),-5(-2),,,,,"15,17 (19)","11,13 (15)","8,10",1500x2,[2500x2],500x2,250x2 (175x2),125x2 (62x2),,,,0.85,,"1,1 Air","1,1","6,7",,,,SF6_Ryu_jmp.png,"SF6_Ryu_jmp_hitbox_preview.png, SF6_Ryu_jmp_hitbox_1.png, SF6_Ryu_jmp_hitbox_2.png","Both hits are cancelable to Air Tatsu and put airborne opponents into a limited juggle state; if 1st hit is stand blocked, the 2nd hit will not hit overhead against crouch block; lower body projectile invuln 8-22f (if used immediately on the way up, can avoid the 2nd hit of JP's OD Amnesia bombs)"
15,Normals and Target Combos,air_normal,ryu_jhp,j.HP,Jumping Heavy Punch,800,9,6,3 land,-,+8(+15),+4(+11),H,-,,,,+12(+19),-9(-2),,,,,19,15,13,4000,[5000],2000,1000 (700),500 (250),,,,1.06,,1,0,0,,,,SF6_Ryu_jhp.png,SF6_Ryu_jhp_hitbox.png,Spike knockdown on counter hit/Punish Counter vs. airborne opponents; lower body projectile invuln 9-23f except around attack hitbox (cannot be used to avoid the 2nd hit of JP's OD Amnesia bombs)
16,Normals and Target Combos,air_normal,ryu_jlk,j.LK,Jumping Light Kick,300,6,10,3 land,-,+5(+10),+1(+6),H,-,,,,+9(+14),-7(-2),,,,,14,10,9,1500,[2000],500,300 (210),150 (75),,,,0.55,,1,1,0,,,,SF6_Ryu_jlk.png,SF6_Ryu_jlk_hitbox.png,Cross-up
17,Normals and Target Combos,air_normal,ryu_jmk,j.MK,Jumping Medium Kick,500,7,6,3 land,-,+8(+13),+4(+9),H,-,,,,+12(+17),-7(-2),,,,,17,13,11,2500,[4000],1000,500 (350),250 (125),,,,1.15,,1,1,0,,,,SF6_Ryu_jmk.png,SF6_Ryu_jmk_hitbox.png,"Cross-up; lower body projectile invuln 7-20f (if used immediately on the way up, can avoid the 2nd hit of JP's OD Amnesia bombs)"
18,Normals and Target Combos,air_normal,ryu_jhk,j.HK,Jumping Heavy Kick,800,10,8,3 land,-,+9(+15),+5(+11),H,-,,,,+13(+19),-8(-2),,,,,19,15,13,4000,[5000],2000,1000 (700),500 (250),,,,1.20,,1,0,0,,,,SF6_Ryu_jhk.png,SF6_Ryu_jhk_hitbox.png,Strong jump-in from mid to long range; lower body projectile invuln 10-17f except around attack hitbox (cannot be used to avoid the 2nd hit of JP's OD Amnesia bombs)
19,Normals and Target Combos,ground_normal,ryu_6mp,6MP,Collarbone Breaker,300x2,20,"1,3",19,42,+3,-3,"H,H",-,,,,+7,-21,,,+7,+3,"17,25 (26)","17,19 (20)","8,10",1250x2,[2500x2],750x2,250x2 (175x2),125x2 (62x2),,,,1.701 (1.552),,1,"1,1","0,0",,,,SF6_Ryu_6mp.png,"SF6_Ryu_6mp_hitbox_preview.png, SF6_Ryu_6mp_hitbox_1.png, SF6_Ryu_6mp_hitbox_2.png",Counter-hit/Punish Counter/Drive Rush frame advantage applies to both hits; 2nd hit is no longer an overhead if the first hit connects; up to +5 on hit with meaty timing for a meterless combo extension
