official_row_order,official_category,official_move_name,official_input_display,official_input_signature,official_input_family,startup,active,recovery,damage,on_hit,on_block,cancel,match_status,match_method,candidate_count,supercombo_move_id,supercombo_move_type,supercombo_input,supercombo_name,supercombo_startup,supercombo_active,supercombo_recovery,supercombo_hit_advantage,supercombo_block_advantage,supercombo_cancel,supercombo_damage,field_comparisons_json
1,通常技,立ち弱P（タイガージャブ）,icon_punch_l 弱,5LP,5LP,5,5-7,11,300,4,-3,C,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,sagat_5lp,ground_normal,5LP,Standing Light Punch,5,3,11,+4,-3,"Chn, Sp, SA",300,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""3"", ""official_raw"": ""5-7"", ""supercombo"": ""3"", ""supercombo_raw"": ""3""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""300"", ""official_raw"": ""300"", ""supercombo"": ""300"", ""supercombo_raw"": ""300""}, ""recovery"": {""comparable"": true, ""match"": true, ""official"": ""11"", ""official_raw"": ""11"", ""supercombo"": ""11"", ""supercombo_raw"": ""11""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""5"", ""official_raw"": ""5"", ""supercombo"": ""5"", ""supercombo_raw"": ""5""}}"
2,通常技,立ち弱K（ローキック）,icon_kick_l 弱,5LK,5LK,7,7-8,15,400,-1,-4,C,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+damage_match,1,sagat_5lk,ground_normal,5LK,Standing Light Kick,7,2,15(17),-1,-4,Sp SA,400,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""2"", ""official_raw"": ""7-8"", ""supercombo"": ""2"", ""supercombo_raw"": ""2""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""400"", ""official_raw"": ""400"", ""supercombo"": ""400"", ""supercombo_raw"": ""400""}, ""recovery"": {""comparable"": false, ""official"": ""15"", ""official_raw"": ""15"", ""reason"": ""condition_dependent_supercombo_field"", ""supercombo"": ""15"", ""supercombo_raw"": ""15(17)""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""7"", ""official_raw"": ""7"", ""supercombo"": ""7"", ""supercombo_raw"": ""7""}}"
3,通常技,立ち中P（タイガーソーク）,icon_punch_m 中,5MP,5MP,6,6-9,15,600,6,2,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,sagat_5mp,ground_normal,5MP,Standing Medium Punch,6,4,15,+6,+2,-,600,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""4"", ""official_raw"": ""6-9"", ""supercombo"": ""4"", ""supercombo_raw"": ""4""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""600"", ""official_raw"": ""600"", ""supercombo"": ""600"", ""supercombo_raw"": ""600""}, ""recovery"": {""comparable"": true, ""match"": true, ""official"": ""15"", ""official_raw"": ""15"", ""supercombo"": ""15"", ""supercombo_raw"": ""15""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""6"", ""official_raw"": ""6"", ""supercombo"": ""6"", ""supercombo_raw"": ""6""}}"
4,通常技,立ち中K（ミドルキック）,icon_kick_m 中,5MK,5MK,11,11-14,19,700,3,-3,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,sagat_5mk,ground_normal,5MK,Standing Medium Kick,11,4,19,+3,-3,TC,700,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""4"", ""official_raw"": ""11-14"", ""supercombo"": ""4"", ""supercombo_raw"": ""4""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""700"", ""official_raw"": ""700"", ""supercombo"": ""700"", ""supercombo_raw"": ""700""}, ""recovery"": {""comparable"": true, ""match"": true, ""official"": ""19"", ""official_raw"": ""19"", ""supercombo"": ""19"", ""supercombo_raw"": ""19""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""11"", ""official_raw"": ""11"", ""supercombo"": ""11"", ""supercombo_raw"": ""11""}}"
5,通常技,立ち強P（タイガーストレート）,icon_punch_h 強,5HP,5HP,15,15-18,22,800,0,-5,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+damage_match,1,sagat_5hp,ground_normal,5HP,Standing Heavy Punch,15,4,22(25),0,-5,TC,800,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""4"", ""official_raw"": ""15-18"", ""supercombo"": ""4"", ""supercombo_raw"": ""4""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""800"", ""official_raw"": ""800"", ""supercombo"": ""800"", ""supercombo_raw"": ""800""}, ""recovery"": {""comparable"": false, ""official"": ""22"", ""official_raw"": ""22"", ""reason"": ""condition_dependent_supercombo_field"", ""supercombo"": ""22"", ""supercombo_raw"": ""22(25)""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""15"", ""official_raw"": ""15"", ""supercombo"": ""15"", ""supercombo_raw"": ""15""}}"
6,通常技,立ち強K（ハイキック）,icon_kick_h 強,5HK,5HK,10,10-15,21,900,1,-5,C,matched,exact_input+family_input+same_family+category_move_type,1,sagat_5hk,ground_normal,5HK,Standing Heavy Kick,10(12),"2,4",21(25),+1,-5(-7),Sp SA,"600,300","{""active_duration"": {""comparable"": false, ""official"": ""6"", ""official_raw"": ""10-15"", ""reason"": ""supercombo_uncomparable"", ""supercombo"": """", ""supercombo_raw"": ""2,4""}, ""damage"": {""comparable"": false, ""official"": ""900"", ""official_raw"": ""900"", ""reason"": ""supercombo_uncomparable"", ""supercombo"": """", ""supercombo_raw"": ""600,300""}, ""recovery"": {""comparable"": false, ""official"": ""21"", ""official_raw"": ""21"", ""reason"": ""condition_dependent_supercombo_field"", ""supercombo"": ""21"", ""supercombo_raw"": ""21(25)""}, ""startup"": {""comparable"": false, ""official"": ""10"", ""official_raw"": ""10"", ""reason"": ""condition_dependent_supercombo_field"", ""supercombo"": ""10"", ""supercombo_raw"": ""10(12)""}}"
7,通常技,しゃがみ弱P（ローナックル）,key-d key-plus icon_punch_l 弱,2LP,2LP,4,4-5,10,300,5,-1,C,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,sagat_2lp,ground_normal,2LP,Crouching Light Punch,4,2,10,+5,-1,Chn Sp SA,300,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""2"", ""official_raw"": ""4-5"", ""supercombo"": ""2"", ""supercombo_raw"": ""2""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""300"", ""official_raw"": ""300"", ""supercombo"": ""300"", ""supercombo_raw"": ""300""}, ""recovery"": {""comparable"": true, ""match"": true, ""official"": ""10"", ""official_raw"": ""10"", ""supercombo"": ""10"", ""supercombo_raw"": ""10""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""4"", ""official_raw"": ""4"", ""supercombo"": ""4"", ""supercombo_raw"": ""4""}}"
8,通常技,しゃがみ弱K（ローカーフ）,key-d key-plus icon_kick_l 弱,2LK,2LK,5,5-7,12,200,1,-3,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,sagat_2lk,ground_normal,2LK,Crouching Light Kick,5,3,12,+1,-3,Chn,200,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""3"", ""official_raw"": ""5-7"", ""supercombo"": ""3"", ""supercombo_raw"": ""3""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""200"", ""official_raw"": ""200"", ""supercombo"": ""200"", ""supercombo_raw"": ""200""}, ""recovery"": {""comparable"": true, ""match"": true, ""official"": ""12"", ""official_raw"": ""12"", ""supercombo"": ""12"", ""supercombo_raw"": ""12""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""5"", ""official_raw"": ""5"", ""supercombo"": ""5"", ""supercombo_raw"": ""5""}}"
9,通常技,しゃがみ中P（ミドルフック）,key-d key-plus icon_punch_m 中,2MP,2MP,7,7-9,16,600,4,-1,C,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+damage_match,1,sagat_2mp,ground_normal,2MP,Crouching Medium Punch,7,3,16(17/19),+4,-1,Sp SA TC,600,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""3"", ""official_raw"": ""7-9"", ""supercombo"": ""3"", ""supercombo_raw"": ""3""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""600"", ""official_raw"": ""600"", ""supercombo"": ""600"", ""supercombo_raw"": ""600""}, ""recovery"": {""comparable"": false, ""official"": ""16"", ""official_raw"": ""16"", ""reason"": ""condition_dependent_supercombo_field"", ""supercombo"": ""16"", ""supercombo_raw"": ""16(17/19)""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""7"", ""official_raw"": ""7"", ""supercombo"": ""7"", ""supercombo_raw"": ""7""}}"
10,通常技,しゃがみ中K（タイガースラストキック）,key-d key-plus icon_kick_m 中,2MK,2MK,9,9-11,18,600,5,-2,,matched,exact_input+family_input+same_family+category_move_type+startup_match+active_duration_match+recovery_match+damage_match,1,sagat_2mk,ground_normal,2MK,Crouching Medium Kick,9,3,18,+5,-2,-,600,"{""active_duration"": {""comparable"": true, ""match"": true, ""official"": ""3"", ""official_raw"": ""9-11"", ""supercombo"": ""3"", ""supercombo_raw"": ""3""}, ""damage"": {""comparable"": true, ""match"": true, ""official"": ""600"", ""official_raw"": ""600"", ""supercombo"": ""600"", ""supercombo_raw"": ""600""}, ""recovery"": {""comparable"": true, ""match"": true, ""official"": ""18"", ""official_raw"": ""18"", ""supercombo"": ""18"", ""supercombo_raw"": ""18""}, ""startup"": {""comparable"": true, ""match"": true, ""official"": ""9"", ""official_raw"": ""9"", ""supercombo"": ""9"", ""supercombo_raw"": ""9""}}"
