row_order,section,move_type,move_id,input,name,damage,startup,active,recovery,total,hit_advantage,block_advantage,guard,cancel,hitconfirm,chip,damage_scaling,punish_advantage,perfect_parry_advantage,drive_rush_cancel_on_hit,drive_rush_cancel_on_block,after_drive_rush_on_hit,after_drive_rush_on_block,hitstun,blockstun,hitstop,drive_damage_block,drive_damage_hit,drive_gain,super_gain_hit,super_gain_block,invuln,armor,airborne,attack_range,range_notes,juggle_start,juggle_increase,juggle_limit,projectile_speed,pushback_hit,pushback_block,images,hitboxes,notes
1,Normals and Target Combos,ground_normal,sagat_5lp,5LP,Standing Light Punch,300,5,3,11,18,+4,-3,LH,"Chn, Sp, SA",13 (DR: 15),,20% Starter,+8,-12,+4,-3,+8,+1,18,11,9,500,[2000],250,300 (210),150 (75),,,,1.26,,1,1,0,,,,SF6_Sagat_5lp.png,SF6_Sagat_5lp_hitbox.png,Chains into 5LP/2LP/2LK; great range for a chainable 5f jab (but slightly shorter than a standard shoto 5LK); DR cancel is delayed until after 2nd recovery frame; Sagat's only light normal that combos naturally into 214LK
2,Normals and Target Combos,ground_normal,sagat_5mp,5MP,Standing Medium Punch,600,6,4,15,24,+6,+2,LH,-,,,,+10,-17,,,+10,+6,25,21,11,3000,[4000],2000,700 (490),350 (175),,,,1.08,,1,1,0,,,,SF6_Sagat_5mp.png,SF6_Sagat_5mp_hitbox.png,"Core pressure tool for frame traps (5MPx2 sets up a trade combo vs. most reversal 4f normals); pushback on block is too far for a throw mixup without Drive Rush; links consistently into 2MP on counter-hit or into 5HK on Punish Counter (very strong Drive Reversal punish option); on regular hit can lead to 5MP, 5MP, 5LP combo"
3,Normals and Target Combos,ground_normal,sagat_5hp,5HP,Standing Heavy Punch,800,15,4,22(25),40(43),0,-5,LH,TC,19,,,+4,-24,,,+4,-1,26,21,13,6000,[8000],3000,1000 (700),500 (250),,,,2.17,,1,1,0,,,,SF6_Sagat_5hp.png,SF6_Sagat_5hp_hitbox.png,3f extra recovery on whiff; huge range poke with a hitconfirmable TC follow-up; the first 10 recovery frames extend a wide arm-height hurtbox making it easily whiff punished by standing normals
4,Normals and Target Combos,ground_normal,sagat_5lk,5LK,Standing Light Kick,400,7,2,15(17),23(25),-1,-4,LH,Sp SA,12 (DR: 14),,20% Starter,+3,-15,+3,0,+3,0,16,13,9,500,[2000],250,300 (210),150 (75),,,,1.56,,1,1,0,,,,SF6_Sagat_5lk.png,SF6_Sagat_5lk_hitbox.png,Long range but slow startup (more comparable to a medium normal); 2f extra recovery on whiff; great whiff punish tool that combos consistently into 623HP on Punish Counter; input overlap with 6LK Step Low Kick makes it harder to walk forward and poke in neutral; DR cancel is delayed until after 2nd recovery frame
5,Normals and Target Combos,ground_normal,sagat_5mk,5MK,Standing Medium Kick,700,11,4,19,33,+3,-3,LH,TC,16,,,+7,-21,,,+7,+1,26,20,11,4000,[6000],2000,700 (490),350 (175),,,,1.87,,1,1,0,,,,SF6_Sagat_5mk.png,SF6_Sagat_5mk_hitbox.png,Very long poke with a semi-hitconfirmable TC follow-up; more range vs. standing opponents (the tip of the hitbox whiffs on crouching opponents); the first 10 recovery frames extend a wide leg hurtbox making it more easily whiff punished by standing normals
6,Normals and Target Combos,ground_normal,sagat_5hk,5HK,Standing Heavy Kick,"600,300",10(12),"2,4",21(25),36(40),+1,-5(-7),LH,Sp SA,33 / 16 (1st) / 18 (2nd),,20% Starter,+5,-25(-23),+20/+16,+10/+10,+5,-1(-3),"30,26 (28 total)","20,20 (22 total)","13,13",3000x2 / 6000,"[2000,6000 / 8000]",1000x2 / 2000,500x2 / 1000 (350x2 / 700),250x2 / 500 (125x2 / 250),,,,1.96 (1.25),,"0,1","1,1","0,1(0)",,,,SF6_Sagat_5hk.png,"SF6_Sagat_5hk_hitbox_1.png, SF6_Sagat_5hk_hitbox_2.png","Upper Body/Leg hurtbox is anti-air invincible on frames 9-15 (solid anti-air against midrange jumps); cannot hit cross-up; 1st hit forces stand on hit; 2nd hit whiffs on crouching opponents (2f worse on block); 4f extra recovery if both hits whiff; 1st hit deals extra hitstun, allowing a natural combo into 214HK; deals full damage / Drive damage / Meter gain even if only the 2nd hit connects; 1st hit puts airborne opponents into a free juggle state (limited juggle if comboed from a wallsplat or airborne crumple), then air resets on the 2nd hit; 2nd hit only has juggle potential after the 1st hit connects; the first 11 recovery frames extend a wide leg hurtbox making it more easily whiff punished by standing normals; carries counter-hit/Punish Counter advantage through both hits"
7,Normals and Target Combos,ground_normal,sagat_2lp,2LP,Crouching Light Punch,300,4,2,10,15,+5,-1,LH,Chn Sp SA,12 (DR: 15),,20% Starter,+9,-10,+4,-2,+9,+3,17,11,9,500,[2000],250,300 (210),150 (75),,,,1.20,,1,1,0,,0.487,0.415,SF6_Sagat_2lp.png,SF6_Sagat_2lp_hitbox.png,"Chains into 5LP/2LP/2LK; excellent range for a 4f jab; high pushback makes tick throw and counter-hit pressure weaker, but also allows Sagat to space himself outside the opponent's reversal normals on block; DR cancel is delayed until after 2nd~3rd recovery frame; topmost hurtbox on frames 1-5 is vulnerable only to aerial strikes (preventing its use as an anti-air)"
8,Normals and Target Combos,ground_normal,sagat_2mp,2MP,Crouching Medium Punch,600,7,3,16(17/19),25(26/28),+4,-1,LH,Sp SA TC,15 / 16(~HK) / 19(~HP),,,+8,-18,+13,+9,+8,+3,23,19,11,3000,[4000],1500,500 (350),250 (125),,,,1.48 (1.36),,1,1,0,,,,SF6_Sagat_2mp.png,"SF6_Sagat_2mp_hitbox_1.png, SF6_Sagat_2mp_hitbox_2.png","Solid mid-range cancelable poke and buffer tool; 1f extra recovery on block; 3f extra recovery on whiff; significantly more range on active frames 2-3 (more effective linking from +8 or punishing -8 moves); cancelable into 2 different Target Combo follow-ups with different hitconfirm timings (requires Punish Counter or Drive Rush for 2MP~HP combo); topmost hurtbox is vulnerable only to aerial strikes on frames 1-9 (preventing its use as an anti-air), and is projectile invincible on frames 1-14 to avoid High Tiger Shot (frames 15-26 are still vulnerable)"
9,Normals and Target Combos,ground_normal,sagat_2hp,2HP,Crouching Heavy Punch,800,11,4,21,35,+1,-5,LH,Sp SA,18,,,+5,-23,+16,+10,+5,-1,26,20,13,5000,[8000],2000,1000 (700),500 (250),,,,1.65 (1.51),,1,1,0,,,,SF6_Sagat_2hp.png,"SF6_Sagat_2hp_hitbox_1.png, SF6_Sagat_2hp_hitbox_2.png","Very long range for a cancelable and hitconfirmable poke; significantly more range on active frames 3-4; topmost hurtbox is vulnerable only to aerial strikes on frames 1-14 (preventing its use as an anti-air), and is projectile invincible on frames 1-19 to avoid High Tiger Shot (frames 20-35 are still vulnerable)"
10,Normals and Target Combos,ground_normal,sagat_2lk,2LK,Crouching Light Kick,200,5,3,12,19,+1,-3,L,Chn,,,20% Starter,+5,-13,,,+5,+1,16,12,9,500,[2000],250,300 (210),150 (75),,,,1.22,,1,1,0,,,,SF6_Sagat_2lk.png,SF6_Sagat_2lk_hitbox.png,Chains into 5LP/2LP/2LK; low starter that can combo into any 3-light chain from close range
11,Normals and Target Combos,ground_normal,sagat_2mk,2MK,Crouching Medium Kick,600,9,3,18,29,+5,-2,L,-,,,20% Starter,+9,-19,,,+8,+2,26,19,11,4000,[6000],2000,600 (420),300 (150),,,,1.66,,1,1,0,,,,SF6_Sagat_2mk.png,SF6_Sagat_2mk_hitbox.png,"Amazing hitbox priority as a neutral poke; can link to 5LP at closer ranges, or into 2MP/5LK on Counter-hit; useful combo/pressure starter out of Drive Rush (but has poor link options near its max range)"
12,Normals and Target Combos,ground_normal,sagat_2hk,2HK,Tiger Kick,900,11,3,26,39,KD +29,-12,L,-,,,,HKD +45,-27,,,KD +29,-8,,17,13,4000,[10000],3000,1000 (700),500 (250),,,,1.91,,1,1,3,,,,SF6_Sagat_2hk.png,"SF6_Sagat_2hk_hitbox.png, SF6_Sagat_2hk_hitbox_2.png",Has some juggle potential; great range and hitbox priority; can be punished on block by most other sweeps in the game
13,Normals and Target Combos,air_normal,sagat_jlp,j.LP,Jumping Light Punch,300,4,7,3 land,-,+6(+9),+2(+5),H,-,,,,+10(+13),-5(-2),,,,,13,9,9,1500,[2000],500,300 (210),150 (75),,,,1.14,,3,3,1,,,,SF6_Sagat_jlp.png,SF6_Sagat_jlp_hitbox.png,Fast air-to-air with solid horizontal range
