row_order,section,move_type,move_id,input,name,damage,startup,active,recovery,total,hit_advantage,block_advantage,guard,cancel,hitconfirm,chip,damage_scaling,punish_advantage,perfect_parry_advantage,drive_rush_cancel_on_hit,drive_rush_cancel_on_block,after_drive_rush_on_hit,after_drive_rush_on_block,hitstun,blockstun,hitstop,drive_damage_block,drive_damage_hit,drive_gain,super_gain_hit,super_gain_block,invuln,armor,airborne,attack_range,range_notes,juggle_start,juggle_increase,juggle_limit,projectile_speed,pushback_hit,pushback_block,images,hitboxes,notes
1,Normals and Target Combos,ground_normal,m.bison_5lp,5LP,Standing Light Punch,300,5,2,11,17,+4,-3,LH,Chn Sp SA,12 (DR: 13),,20% Starter,+8,-11,+5,-2,+8,+1,17,10,9,500,[2000],250,300 (210),150 (75),,,,1.26,,1,1,0,,,,SF6_Mbison_5lp.png,SF6_Mbison_5lp_hitbox.png,"Chains into 5LP/2LP/2LK; good range for a 5f jab; DR cancel is delayed until after 1st recovery frame; when 5LP is chained into, a follow-up chain occurs 1f earlier than usual (e.g. 5LP~5LP has 2f blockstring gap, but 5LP~5LP~5LP has 1f gap between the 2nd/3rd hits)"
2,Normals and Target Combos,ground_normal,m.bison_5mp,5MP,Standing Medium Punch,600,8,3,15,25,+6,0,LH,Sp SA TC,15,,,+10,-16,+14,+8,+10,+4,24,18,11,3000,[4000],1500,500 (350),250 (125),,,,1.288,,1,1,0,,,,SF6_Mbison_5mp.png,SF6_Mbison_5mp_hitbox.png,Counter-hit required to combo into 6HP Target Combo; combo and pressure starter
3,Normals and Target Combos,ground_normal,m.bison_5hp,5HP,Standing Heavy Punch,1000,19,3,17(20),38(41),+4(+6),+1(+3),LH,SA,17 (29 PC),,20% Starter,+17(+19),-18(-16),,,+8(+10),+5(+7),24,21,13,5000,[10000],2000,1000 (700),500 (250),,,,2.071 (1.822),,1,1,10,,,,SF6_Mbison_5hp.png,"SF6_Mbison_5hp_hitbox_preview.png, SF6_Mbison_5hp_hitbox_1.png, SF6_Mbison_5hp_hitbox_2.png",Slow advancing poke with good hitbox priority; 3f extra recovery on whiff/armor; can be spaced for better frame advantage; can be hitconfirmed into Super; slams airborne opponents down into limited juggle OTG state (higher bounce on Punish Counter allows more juggle follow-ups); extends a hurtbox 1f before active that is vulnerable to projectiles
4,Normals and Target Combos,ground_normal,m.bison_5lk,5LK,Standing Light Kick,300,4,2,10,15,+3,-1,LH,Sp SA,12,,20% Starter,+7,-10,+5,+1,+7,+3,15,11,9,500,[2000],250,300 (210),150 (75),,,,1.097,,1,1,0,,0.213,0.218,SF6_Mbison_5lk.png,SF6_Mbison_5lk_hitbox.png,"Good light string ender that moves Bison forward (keeps him closer after a cancel, allowing more consistent combos like 2LK, 2LP, 5LK > 214LP); rare light normal that is plus after DR Cancel on block"
5,Normals and Target Combos,ground_normal,m.bison_5mk,5MK,Standing Medium Kick,700,10,3,17,29,+2,-3,LH,-,,,,+6,-18,,,+6,+1,22,17,11,4000,[6000],2000,700 (490),350 (175),,,,1.729,,1,1,0,,,,SF6_Mbison_5mk.png,SF6_Mbison_5mk_hitbox.png,Poke with great range and hitbox priority; extends a wider hurtbox until the end of recovery
6,Normals and Target Combos,ground_normal,m.bison_5hk,5HK,Standing Heavy Kick,900,13,4,19,35,+6,-2,LH,-,,,,KD +73 Crumple,-21,,,+10,+2,29,21,13,5000,[10000],3000,1000 (700),500 (250),,,,1.59,,1,1,1,,,,SF6_Mbison_5hk.png,SF6_Mbison_5hk_hitbox.png,Punish Counter crumple is +7 before opponent goes airborne; extended foot hurtbox is anti-air invuln while active on frames 13-16; whiffs on crouching opponents at longer ranges; puts airborne opponents into limited juggle state (much higher launch on Punish Counter); extends a hurtbox 1f before active that is vulnerable to projectiles
7,Normals and Target Combos,ground_normal,m.bison_2lp,2LP,Crouching Light Punch,300,4,2,10,15,+4,-2,LH,Chn Sp SA,12,,20% Starter,+8,-10,+5,-1,+8,+2,16,10,9,500,[2000],250,300 (210),150 (75),,,,1.06,,1,1,0,,0.404,0.385,SF6_Mbison_2lp.png,SF6_Mbison_2lp_hitbox.png,Chains into 5LP/2LP/2LK; DR cancel is delayed until after active frames; topmost hurtbox on frames 1-5 is vulnerable only to aerial strikes (preventing its use as an anti-air)
8,Normals and Target Combos,ground_normal,m.bison_2mp,2MP,Crouching Medium Punch,600,6,3,14(17),22(25),+5,-1,LH,Sp SA,15,,,+9,-15,+12,+6,+9,+3,22,16,11,3000,[4000],1500,500 (350),250 (125),,,,1.30,,1,1,0,,,,SF6_Mbison_2mp.png,SF6_Mbison_2mp_hitbox.png,3f extra recovery on whiff; great range for a 6f medium (great for buffers and combos); topmost hurtbox on frames 1-8 is vulnerable only to aerial strikes (preventing its use as an anti-air)
9,Normals and Target Combos,ground_normal,m.bison_2hp,2HP,Crouching Heavy Punch,900,10,6,21,36,0,-9,LH,Sp SA,16,,,+4,-25,+17,+8,+4,-5,27,18,13,5000,[8000],2000,1000 (700),500 (250),,,,0.80,,1,1,0,,,,SF6_Mbison_2hp.png,"SF6_Mbison_2hp_hitbox_preview.png, SF6_Mbison_2hp_hitbox_1.png, SF6_Mbison_2hp_hitbox_2.png",Forces stand; puts airborne opponents into limited juggle state on Counter-hit/Punish Counter; slow anti-air with good vertical hitbox priority on frames 12-15 but cannot hit cross-up; only first 2 active frames are cancelable
10,Normals and Target Combos,ground_normal,m.bison_2lk,2LK,Crouching Light Kick,200,5,2,10,16,+4,-2,L,Chn,,,20% Starter,+8,-10,,,+8,+2,16,10,9,500,[2000],250,300 (210),150 (75),,,,1.05,,1,1,0,,,,SF6_Mbison_2lk.png,SF6_Mbison_2lk_hitbox.png,Chains into 5LP/2LP/2LK; links naturally into 4f lights without chaining and can link to 2MP on counter-hit (rare for a 2LK)
